,values,Group,Cluster
1,-0.509602131955247,Naive,Cluster 1
2,-1.13821982361475,Naive,Cluster 1
3,-1.55154441897414,Naive,Cluster 1
4,-0.971390401711442,Naive,Cluster 1
5,-0.823050982078701,Naive,Cluster 1
6,-1.12383251512312,Naive,Cluster 1
7,-1.23667550479671,Naive,Cluster 1
8,-1.11221933432837,Naive,Cluster 1
9,-0.727572340263486,Naive,Cluster 1
10,-1.02991206210413,Naive,Cluster 1
11,-1.20411935845403,Naive,Cluster 1
12,-0.75195093563453,Naive,Cluster 1
13,-0.914064820652873,Naive,Cluster 1
14,0.432383979306906,Naive,Cluster 1
15,-1.15542960347293,Naive,Cluster 1
16,-1.30979365149326,Naive,Cluster 1
17,-1.1494432129555,Naive,Cluster 1
18,-0.994609432108115,Naive,Cluster 1
19,-1.14521968817242,Naive,Cluster 1
20,-0.988276284330771,Naive,Cluster 1
21,-1.0408112675348,Naive,Cluster 1
22,-1.1527848930266,Naive,Cluster 1
23,-1.13919915197108,Naive,Cluster 1
24,-0.478222109379551,Naive,Cluster 1
25,-1.16583636011616,Naive,Cluster 1
26,-1.17340777761138,Naive,Cluster 1
27,-1.24942198550621,Naive,Cluster 1
28,-1.38541853187587,Naive,Cluster 1
29,-0.852614284779971,Naive,Cluster 1
30,-0.376767478174277,Naive,Cluster 1
31,-1.2904169188131,Naive,Cluster 1
32,-1.16905863916409,Naive,Cluster 1
33,-1.21407544894938,Naive,Cluster 1
34,-1.18829532077558,Naive,Cluster 1
35,-0.968799905819057,Naive,Cluster 1
36,-1.10472884521571,Naive,Cluster 1
37,-1.05115169798337,Naive,Cluster 1
38,-0.317768738503061,Naive,Cluster 1
39,-1.39509242345186,Naive,Cluster 1
40,-1.01306994886707,Naive,Cluster 1
41,-1.36303614523503,Naive,Cluster 1
42,-0.248597606858358,Naive,Cluster 1
43,-1.2137052141647,Naive,Cluster 1
44,-1.19026724795322,Naive,Cluster 1
45,-0.802273621723621,Naive,Cluster 1
46,-0.932384339304435,Naive,Cluster 1
47,-0.93469338961882,Naive,Cluster 1
48,0.169887414366917,Naive,Cluster 1
49,-0.932767035152636,Naive,Cluster 1
50,-1.22989130127792,Naive,Cluster 1
51,-1.00003573923706,Naive,Cluster 1
52,-0.801357134026334,Naive,Cluster 1
53,-1.25137578438954,Naive,Cluster 1
54,-1.16360588783723,Naive,Cluster 1
55,-1.22292188606474,Naive,Cluster 1
56,-1.18526494489733,Naive,Cluster 1
57,-1.2689769745171,Naive,Cluster 1
58,-1.01462015144133,Naive,Cluster 1
59,-1.17873017500878,Naive,Cluster 1
60,-0.988659836265723,Naive,Cluster 1
61,-0.447456996934466,Naive,Cluster 1
62,-1.35622185520156,Naive,Cluster 1
63,-0.996026393084487,Naive,Cluster 1
64,-0.988171448414597,Naive,Cluster 1
65,-1.20021624658654,Naive,Cluster 1
66,-1.02919586739495,Naive,Cluster 1
67,-1.08343269023544,Naive,Cluster 1
68,-1.12065454677872,Naive,Cluster 1
69,-1.20167249588063,Naive,Cluster 1
70,-1.00937263605661,Naive,Cluster 1
71,-1.17667746918845,Naive,Cluster 1
72,-0.854210583055228,Naive,Cluster 1
73,-1.33548388943314,Naive,Cluster 1
74,-0.812360228262818,Naive,Cluster 1
75,-1.07389819549099,Naive,Cluster 1
76,-0.819628969910799,Naive,Cluster 1
77,-1.11223016796923,Naive,Cluster 1
78,-0.950222284507392,Naive,Cluster 1
79,-0.968957771764088,Naive,Cluster 1
80,-0.905568222663237,Naive,Cluster 1
81,-1.03757054975613,Naive,Cluster 1
82,-0.344903139189342,Naive,Cluster 1
83,-0.316776403430776,Naive,Cluster 1
84,-0.490174943939343,Naive,Cluster 1
85,-0.900229961117266,Naive,Cluster 1
86,-0.947552532318734,Naive,Cluster 1
87,-0.615109040690862,Naive,Cluster 1
88,-0.666074618663229,Naive,Cluster 1
89,-0.9944541872656,Naive,Cluster 1
90,-0.398066023594597,Naive,Cluster 1
91,-0.100955789696118,Naive,Cluster 1
92,0.0982838795118669,Naive,Cluster 1
93,-0.817936217868338,Naive,Cluster 1
94,-0.384043426245795,Naive,Cluster 1
95,-0.779125344870945,Naive,Cluster 1
96,-0.966608559434288,Naive,Cluster 1
97,-0.708724518965475,Naive,Cluster 1
98,-0.277467902023512,Naive,Cluster 1
99,-1.11270116101758,Naive,Cluster 1
100,-1.21719399465433,Naive,Cluster 1
101,-1.18373601751888,Naive,Cluster 1
102,-1.09797414855062,Naive,Cluster 1
103,-0.97029910776196,Naive,Cluster 1
104,-0.612387127587562,Naive,Cluster 1
105,-1.31710516233788,Naive,Cluster 1
106,-1.18828070535079,Naive,Cluster 1
107,-1.14727143897121,Naive,Cluster 1
108,-1.03870425372741,Naive,Cluster 1
109,-1.26478034441549,Naive,Cluster 1
110,-0.654435656873607,Naive,Cluster 1
111,-0.905102387432727,Naive,Cluster 1
112,-1.00784588953935,Naive,Cluster 1
113,-0.704723963702592,Naive,Cluster 1
114,-1.16463091773405,Naive,Cluster 1
115,-1.12686900321535,Naive,Cluster 1
116,-0.649066692999304,Naive,Cluster 1
117,-1.16882385183662,Naive,Cluster 1
118,-1.02515845249459,Naive,Cluster 1
119,-0.472812883272684,Naive,Cluster 1
120,-1.10996117920966,Naive,Cluster 1
121,-1.03542420482306,Naive,Cluster 1
122,-0.839786882811127,Naive,Cluster 1
123,-1.13583283606966,Naive,Cluster 1
124,-1.11448079445888,Naive,Cluster 1
125,-1.3280858899288,Naive,Cluster 1
126,-0.946445401887642,Naive,Cluster 1
127,-0.558719327956822,Naive,Cluster 1
128,-0.187954040328985,Naive,Cluster 1
129,-1.17417273663372,Naive,Cluster 1
130,-1.09155061526467,Naive,Cluster 1
131,-1.28384412907164,Naive,Cluster 1
132,-0.979754172888565,Naive,Cluster 1
133,-0.361059138743408,Naive,Cluster 1
134,-1.08744443870415,Naive,Cluster 1
135,-0.757422324711545,Naive,Cluster 1
136,-0.972532951262359,Naive,Cluster 1
137,-0.96708160684549,Naive,Cluster 1
138,-0.714097914006094,Naive,Cluster 1
139,-0.631346568552635,Naive,Cluster 1
140,-1.21763820739413,Naive,Cluster 1
141,-1.14739505765203,Naive,Cluster 1
142,-0.989374913258004,Naive,Cluster 1
143,-1.20805209206983,Naive,Cluster 1
144,-1.01608089561315,Naive,Cluster 1
145,-1.08107965242316,Naive,Cluster 1
146,-1.41828432032568,Naive,Cluster 1
147,-1.09518735581007,Naive,Cluster 1
148,-1.01162927979775,Naive,Cluster 1
149,-0.696095991368794,Naive,Cluster 1
150,-0.178526597859699,Naive,Cluster 1
151,0.0499352743096037,Naive,Cluster 1
152,-1.00392098324868,Naive,Cluster 1
153,-0.967581811568665,Naive,Cluster 1
154,-0.849074263209429,Naive,Cluster 1
155,-0.868024987425301,Naive,Cluster 1
156,0.0213340100196832,Naive,Cluster 1
157,-0.915042262479894,Naive,Cluster 1
158,-0.941484948550349,Naive,Cluster 1
159,0.189748668140819,Naive,Cluster 1
160,-1.14577046996608,Naive,Cluster 1
161,-0.922968051846119,Naive,Cluster 1
162,0.19548675900609,Naive,Cluster 1
163,-0.800172926420421,Naive,Cluster 1
164,-1.40464506419313,Naive,Cluster 1
165,-0.467176988668376,Naive,Cluster 1
166,-1.07570606164997,Naive,Cluster 1
167,-1.7235519522753,Naive,Cluster 1
168,-1.1374817190408,Naive,Cluster 1
169,-1.07799313346988,Naive,Cluster 1
170,-0.976751967680435,Naive,Cluster 1
171,-0.943383578984691,Naive,Cluster 1
