"","gene","cluster4"
"ENSMUSG00000103495","ENSMUSG00000103495",1
"Gm7593_1","Gm7593_1",1
"Smap1","Smap1",1
"Gm19430","Gm19430",1
"Zap70","Zap70",1
"ENSMUSG00000086064_1","ENSMUSG00000086064_1",1
"ENSMUSG00000102985","ENSMUSG00000102985",1
"Il1rl1","Il1rl1",1
"Il18rap","Il18rap",1
"ENSMUSG00000094497","ENSMUSG00000094497",1
"ENSMUSG00000094497_1","ENSMUSG00000094497_1",1
"ENSMUSG00000103945_1","ENSMUSG00000103945_1",1
"ENSMUSG00000103424_1","ENSMUSG00000103424_1",1
"Gm17767_2","Gm17767_2",1
"ENSMUSG00000101628_4","ENSMUSG00000101628_4",1
"ENSMUSG00000101628_5","ENSMUSG00000101628_5",1
"Gm3940","Gm3940",1
"Gm3940_1","Gm3940_1",1
"Gm23460","Gm23460",1
"Gm23460_1","Gm23460_1",1
"Gm23460_2","Gm23460_2",1
"ENSMUSG00000101674","ENSMUSG00000101674",1
"Rpl17-ps1","Rpl17-ps1",1
"Rpl10a-ps1","Rpl10a-ps1",1
"Gm15826","Gm15826",1
"Gm24160","Gm24160",1
"ENSMUSG00000104497","ENSMUSG00000104497",1
"Cul3","Cul3",1
"ENSMUSG00000094834","ENSMUSG00000094834",1
"ENSMUSG00000100791","ENSMUSG00000100791",1
"ENSMUSG00000100546","ENSMUSG00000100546",1
"ENSMUSG00000099624_1","ENSMUSG00000099624_1",1
"ENSMUSG00000099624_2","ENSMUSG00000099624_2",1
"Gal3st2c","Gal3st2c",1
"Nckap5","Nckap5",1
"Tmem163","Tmem163",1
"ENSMUSG00000099403","ENSMUSG00000099403",1
"ENSMUSG00000099403_2","ENSMUSG00000099403_2",1
"Il20","Il20",1
"Il19","Il19",1
"Il19_1","Il19_1",1
"ENSMUSG00000101549","ENSMUSG00000101549",1
"Mir6903","Mir6903",1
"Gm18970_3","Gm18970_3",1
"Fmod","Fmod",1
"ENSMUSG00000104291_3","ENSMUSG00000104291_3",1
"ENSMUSG00000099459","ENSMUSG00000099459",1
"Atp6v1g3","Atp6v1g3",1
"ENSMUSG00000099510","ENSMUSG00000099510",1
"ENSMUSG00000099510_1","ENSMUSG00000099510_1",1
"ENSMUSG00000099510_3","ENSMUSG00000099510_3",1
"ENSMUSG00000103850","ENSMUSG00000103850",1
"Rgs13_2","Rgs13_2",1
"Rgs13_3","Rgs13_3",1
"Rgs13_4","Rgs13_4",1
"Rbm6-ps2_1","Rbm6-ps2_1",1
"ENSMUSG00000103928","ENSMUSG00000103928",1
"ENSMUSG00000100357","ENSMUSG00000100357",1
"ENSMUSG00000100357_1","ENSMUSG00000100357_1",1
"ENSMUSG00000103840","ENSMUSG00000103840",1
"Gm6652","Gm6652",1
"ENSMUSG00000101880","ENSMUSG00000101880",1
"ENSMUSG00000089353_4","ENSMUSG00000089353_4",1
"ENSMUSG00000089353_7","ENSMUSG00000089353_7",1
"Dpt","Dpt",1
"Dpt_1","Dpt_1",1
"Dpt_2","Dpt_2",1
"Dpt_3","Dpt_3",1
"ENSMUSG00000089291_1","ENSMUSG00000089291_1",1
"Mael_1","Mael_1",1
"F11r","F11r",1
"ENSMUSG00000094668_1","ENSMUSG00000094668_1",1
"Mptx2","Mptx2",1
"Ifi207","Ifi207",1
"Vmn1r1_2","Vmn1r1_2",1
"Fbxo28_1","Fbxo28_1",1
"ENSMUSG00000102841","ENSMUSG00000102841",1
"ENSMUSG00000087079_1","ENSMUSG00000087079_1",1
"ENSMUSG00000086618","ENSMUSG00000086618",1
"ENSMUSG00000086618_1","ENSMUSG00000086618_1",1
"Gm13321_1","Gm13321_1",1
"Cubn","Cubn",1
"Nebl_1","Nebl_1",1
"ENSMUSG00000082413_1","ENSMUSG00000082413_1",1
"ENSMUSG00000082413_2","ENSMUSG00000082413_2",1
"ENSMUSG00000082413_3","ENSMUSG00000082413_3",1
"ENSMUSG00000082413_4","ENSMUSG00000082413_4",1
"ENSMUSG00000082413_5","ENSMUSG00000082413_5",1
"Rapgef1","Rapgef1",1
"Gm14487","Gm14487",1
"Gm14487_1","Gm14487_1",1
"Cstad","Cstad",1
"Tor1a","Tor1a",1
"Usp20_2","Usp20_2",1
"ENSMUSG00000103175_1","ENSMUSG00000103175_1",1
"St6galnac6_1","St6galnac6_1",1
"Cfap157","Cfap157",1
"Cutal_1","Cutal_1",1
"9030204H09Rik","9030204H09Rik",1
"ENSMUSG00000085950","ENSMUSG00000085950",1
"Arhgap15os","Arhgap15os",1
"Mir5129","Mir5129",1
"ENSMUSG00000089609_1","ENSMUSG00000089609_1",1
"ENSMUSG00000083195","ENSMUSG00000083195",1
"Itgb6","Itgb6",1
"Grb14_2","Grb14_2",1
"G6pc2","G6pc2",1
"Ubr3","Ubr3",1
"ENSMUSG00000083976","ENSMUSG00000083976",1
"Sp9_2","Sp9_2",1
"Scrn3","Scrn3",1
"Scrn3_1","Scrn3_1",1
"Scrn3_2","Scrn3_2",1
"Ube2e3","Ube2e3",1
"ENSMUSG00000102286_1","ENSMUSG00000102286_1",1
"ENSMUSG00000080984_3","ENSMUSG00000080984_3",1
"Slc43a1","Slc43a1",1
"Olfr1274","Olfr1274",1
"Trp53i11","Trp53i11",1
"Tspan18","Tspan18",1
"Tspan18_1","Tspan18_1",1
"ENSMUSG00000093614_2","ENSMUSG00000093614_2",1
"Rag2","Rag2",1
"Slc1a2","Slc1a2",1
"Gm13872","Gm13872",1
"Gm13872_2","Gm13872_2",1
"Cat_1","Cat_1",1
"Cat_2","Cat_2",1
"Abtb2","Abtb2",1
"Fbxo3_1","Fbxo3_1",1
"Gm22676","Gm22676",1
"Mir674_2","Mir674_2",1
"ENSMUSG00000081842","ENSMUSG00000081842",1
"Slc28a2b_1","Slc28a2b_1",1
"Itpripl1","Itpripl1",1
"ENSMUSG00000085750","ENSMUSG00000085750",1
"ENSMUSG00000086879","ENSMUSG00000086879",1
"ENSMUSG00000086879_1","ENSMUSG00000086879_1",1
"ENSMUSG00000086879_2","ENSMUSG00000086879_2",1
"Polr1b","Polr1b",1
"Pcsk2os2","Pcsk2os2",1
"Pcsk2os2_3","Pcsk2os2_3",1
"Snx5","Snx5",1
"Crnkl1","Crnkl1",1
"Gm14117","Gm14117",1
"LOC100125594_1","LOC100125594_1",1
"Csnk2a1","Csnk2a1",1
"Rem1","Rem1",1
"H13","H13",1
"Mmp24","Mmp24",1
"Mroh8","Mroh8",1
"Mir7003","Mir7003",1
"ENSMUSG00000096635","ENSMUSG00000096635",1
"ENSMUSG00000087617","ENSMUSG00000087617",1
"ENSMUSG00000085129","ENSMUSG00000085129",1
"Gm14267","Gm14267",1
"Gm14267_2","Gm14267_2",1
"ENSMUSG00000086098","ENSMUSG00000086098",1
"Rnf114_1","Rnf114_1",1
"Chrna4_1","Chrna4_1",1
"Chrna4_2","Chrna4_2",1
"Kcnq2","Kcnq2",1
"Gm7132_1","Gm7132_1",1
"ENSMUSG00000089149_1","ENSMUSG00000089149_1",1
"Dnajc5b_2","Dnajc5b_2",1
"Dnajc5b_3","Dnajc5b_3",1
"Gyg_1","Gyg_1",1
"ENSMUSG00000101897","ENSMUSG00000101897",1
"Tbl1xr1","Tbl1xr1",1
"Tbl1xr1_1","Tbl1xr1_1",1
"ENSMUSG00000102369_1","ENSMUSG00000102369_1",1
"ENSMUSG00000097599_1","ENSMUSG00000097599_1",1
"Gpr171","Gpr171",1
"P2ry13","P2ry13",1
"ENSMUSG00000103440","ENSMUSG00000103440",1
"ENSMUSG00000103440_1","ENSMUSG00000103440_1",1
"Mlf1","Mlf1",1
"ENSMUSG00000103094","ENSMUSG00000103094",1
"Gm17836","Gm17836",1
"Gm24150_5","Gm24150_5",1
"Tmem131l_1","Tmem131l_1",1
"Arfip1_1","Arfip1_1",1
"Tigd4_1","Tigd4_1",1
"Fbxw7","Fbxw7",1
"Fcrl5","Fcrl5",1
"Lrrc71","Lrrc71",1
"Lrrc71_2","Lrrc71_2",1
"Pmf1","Pmf1",1
"ENSMUSG00000102476","ENSMUSG00000102476",1
"ENSMUSG00000104135","ENSMUSG00000104135",1
"Pdzk1","Pdzk1",1
"Gm25802","Gm25802",1
"ENSMUSG00000082415_2","ENSMUSG00000082415_2",1
"Tspan2_1","Tspan2_1",1
"ENSMUSG00000085754","ENSMUSG00000085754",1
"ENSMUSG00000085754_4","ENSMUSG00000085754_4",1
"ENSMUSG00000101641","ENSMUSG00000101641",1
"ENSMUSG00000101641_1","ENSMUSG00000101641_1",1
"Gm24223","Gm24223",1
"Kcna2","Kcna2",1
"Csf1","Csf1",1
"Csf1_2","Csf1_2",1
"ENSMUSG00000081499","ENSMUSG00000081499",1
"ENSMUSG00000080676_2","ENSMUSG00000080676_2",1
"ENSMUSG00000080676_9","ENSMUSG00000080676_9",1
"Gm26544_1","Gm26544_1",1
"Synpo2_3","Synpo2_3",1
"ENSMUSG00000089510_2","ENSMUSG00000089510_2",1
"Cenpe_2","Cenpe_2",1
"Ppp3ca","Ppp3ca",1
"ENSMUSG00000094856","ENSMUSG00000094856",1
"ENSMUSG00000094856_1","ENSMUSG00000094856_1",1
"Mttp","Mttp",1
"Mir1956","Mir1956",1
"Bmpr1b_8","Bmpr1b_8",1
"Ctbs","Ctbs",1
"ENSMUSG00000065270_1","ENSMUSG00000065270_1",1
"Ptgfr","Ptgfr",1
"AI115009","AI115009",1
"AI115009_2","AI115009_2",1
"Ptger3","Ptger3",1
"Tox","Tox",1
"Rps18-ps2_2","Rps18-ps2_2",1
"Virma_1","Virma_1",1
"Gem_1","Gem_1",1
"Cdh17","Cdh17",1
"ENSMUSG00000083872","ENSMUSG00000083872",1
"Gm11929","Gm11929",1
"Gm13306;Ccl27b;Ccl27a","Gm13306;Ccl27b;Ccl27a",1
"Unc13b","Unc13b",1
"Anp32b","Anp32b",1
"Gm23745","Gm23745",1
"Ugcg_2","Ugcg_2",1
"Rgs3","Rgs3",1
"Rgs3_2","Rgs3_2",1
"Rgs3_3","Rgs3_3",1
"ENSMUSG00000085177","ENSMUSG00000085177",1
"ENSMUSG00000085177_1","ENSMUSG00000085177_1",1
"ENSMUSG00000096801_1","ENSMUSG00000096801_1",1
"ENSMUSG00000081169_1","ENSMUSG00000081169_1",1
"Mllt3_2","Mllt3_2",1
"Mllt3_3","Mllt3_3",1
"Mllt3_4","Mllt3_4",1
"ENSMUSG00000085569","ENSMUSG00000085569",1
"ENSMUSG00000085569_1","ENSMUSG00000085569_1",1
