Cluster 1,,,,,,,,Cluster 2,,,,,,,,Cluster 3,,,,,,,,Cluster 4,,,,,,
Na夫e,NPPB,NPP5,SUB,SPPB,SPP5,SPP7,,Na夫e,NPPB,NPP5,SUB,SPPB,SPP5,SPP7,,Na夫e,NPPB,NPP5,SUB,SPPB,SPP5,SPP7,,Na夫e,NPPB,NPP5,SUB,SPPB,SPP5,SPP7
-0.509602132,-1.066043482,-0.965471322,1.201904183,-0.273821123,0.35508075,0.622673891,,1.114134034,0.695007307,0.828057068,0.342442971,-0.124876033,-0.522774146,-1.672691599,,-0.352195705,-0.760270322,-0.626195331,-0.750269581,-0.332303814,1.579483744,0.807085669,,0.922723005,0.712052367,0.648066742,0.644162155,-0.441689482,-0.220316827,-1.694287431
-1.138219824,-1.137617432,-0.979682901,0.098070942,0.155088671,1.04894344,1.139537064,,0.663809768,1.066738327,1.111814027,0.272416333,-0.326310107,-0.75449347,-1.323384347,,-0.753126146,-0.878821344,-0.50000377,-0.518189136,-0.393088081,1.753603529,0.756637133,,1.263637966,0.199892093,0.034683022,1.092531996,-0.30168791,-0.300604178,-1.613899719
-1.551544419,-0.864929688,-0.854802102,0.295129091,0.022147774,1.110332169,1.025848122,,1.118629734,0.996032718,0.852102418,-0.162172223,0.000824274,-0.828460849,-1.235264855,,-0.664215499,-0.91721159,-0.488031749,-0.373337649,-0.570122937,1.487644953,1.007909761,,1.575170479,-0.868403708,-0.241271977,0.388083936,0.17009693,-0.545844364,-0.361457599
-0.971390402,-1.088823419,-1.166275695,-0.005089826,0.14080769,0.998835001,1.285314272,,0.603330782,1.025601498,1.187596688,0.016037402,-0.112765288,-0.6408623,-1.37480654,,-0.590311261,-0.644833886,-0.416787422,-0.702515254,-0.587470871,1.494326488,1.034609064,,0.933002037,0.722381483,0.88708843,0.040616974,-0.782337174,0.198124124,-1.363257886
-0.823050982,-1.364366762,-1.071977355,-0.152228544,0.53967503,0.827917188,1.22918265,,0.554561996,0.937584789,1.358315649,0.115328607,-0.225971242,-0.55985781,-1.467346381,,-0.821325241,-0.814246796,-0.819963416,-0.565364268,-0.065873465,1.233299942,1.23958938,,0.1460759,-0.26953403,0.397447237,1.175004375,0.535484702,-1.219793444,-0.696187464
-1.123832515,-1.035091305,-1.038222898,-0.192463092,0.590789076,0.692924031,1.306610023,,0.793618997,0.810537623,0.897721958,0.378262252,-0.017333696,-0.848235114,-1.389102375,,-0.606831309,-0.634291685,-0.574690327,-0.626044645,-0.454370035,1.757422433,0.684852237,,1.177241151,0.697576094,0.289536792,0.804265315,-0.337987413,-0.346192576,-1.743350854
-1.236675505,-1.223945844,-1.124852549,0.248357987,0.606411981,0.714772023,1.119563431,,0.80234626,1.0722341,0.922212759,0.353756065,-0.277876754,-0.611463616,-1.562010535,,-0.245695597,-1.177211318,-0.607197442,-0.580478898,-0.157099738,1.560461751,0.699695153,,0.88872889,-0.315256168,-0.093122511,1.14709597,0.546121444,-0.910023966,-1.143456106
-1.112219334,-1.129899995,-1.053564204,0.169856692,0.148731,1.201295675,0.951879282,,0.587957266,0.940868801,0.832760593,0.642842781,-0.243685558,-1.043921978,-1.126425241,,-1.20372979,-1.195904407,-0.635642342,-0.387981005,0.217428725,1.155777741,1.291231944,,1.49878758,0.256385155,0.406329418,0.375771521,0.26625609,-0.741985286,-1.521168939
-0.72757234,-1.694783722,-0.916077748,0.560934475,0.600517149,0.698940762,0.643432972,,0.366360967,1.300303981,1.008985753,0.121489186,-0.116562984,-0.929381454,-1.082282774,,-0.588358035,-1.078641057,-1.0719269,-0.293599855,-0.071023222,1.107115724,1.311701847,,1.369059157,0.615742914,0.729804236,0.464046064,-0.598363389,-0.593114061,-1.308523345
-1.029912062,-0.96919392,-1.047322314,-0.016906983,0.942116354,0.241651417,1.117960434,,0.978311208,1.174762542,1.001770276,0.047087432,-0.255626023,-0.857673054,-1.299921374,,0.408975106,-0.549021187,-0.635399551,-0.37718453,-0.607659723,1.483110383,0.083318094,,1.150717256,0.3005426,0.444380142,0.893821461,-0.360898868,-0.578398272,-1.37625432
-1.204119358,-1.096352885,-1.011801019,-0.166674938,0.556768792,0.87719716,1.216913934,,0.92427421,1.202166277,0.950238195,-0.115229386,-0.47822522,-0.885042391,-0.829012014,,-0.437534557,-0.258256987,-0.512774159,-0.275165699,-0.671510343,1.491383089,0.361717231,,1.401695044,0.006901974,0.250289656,0.397228882,-0.251842732,0.116765326,-1.506316482
-0.751950936,-1.286639819,-1.031482943,0.474211882,0.627259789,0.723743001,0.4773406,,1.104795952,1.153191006,0.98449734,-0.152109184,-0.308304477,-1.028119317,-0.943330245,,-0.175184085,-0.990425997,-0.699207418,-0.528712248,-0.384244299,1.053398839,1.258170833,,0.18517705,0.670100077,0.961215357,0.997262428,-0.658421954,-0.513157401,-1.188052436
-0.914064821,-1.168294592,-0.993206946,-0.018439777,0.996058525,0.166576027,1.162479995,,1.083477793,0.741593751,0.941478406,0.285116154,-0.161272549,-1.177499426,-1.021256641,,0.012587386,-0.656222122,-0.130808629,0.676065736,-0.86046282,1.593358162,-0.828128554,,1.135977087,0.617736601,0.572346689,0.701400703,-0.374228869,-0.438341815,-1.633375301
