Cluster 1,Cluster 2,Cluster 3,Cluster 4
Exo1,Mettl21c,Ncf2,Niban1
Sccpdh,ENSMUSG00000102133,Fam124b,2810414N06Rik
Arfgef1,ENSMUSG00000103163,Rgs16,ENSMUSG00000098447
Itpkb,Zbtb18,ENSMUSG00000104181,Ptpn4
ENSMUSG00000104388,ENSMUSG00000082395,ENSMUSG00000100170,ENSMUSG00000073628
Sctr,Hspe1,Psen2,ENSMUSG00000100108
Nab1,Gm6136,ENSMUSG00000118590,Ccdc150
Wdr26,ENSMUSG00000086825,Gm53056,Tnn
ENSMUSG00000100302,Cd55,Msc,Fasl
Inpp1,ENSMUSG00000102139,Gm7592,Fmo1
1700019D03Rik,Dusp10,Gm16107,Gm19589
Ormdl1,4930523C07Rik,ENSMUSG00000104378,Hsd11b1
Cab39,Vash2,Cryzl2,ENSMUSG00000102202
Gm4956,Arl4c,ENSMUSG00000093963,ENSMUSG00000102401
ENSMUSG00000104121,Sell,ENSMUSG00000104138,Btg2
ENSMUSG00000102145,Atp1b1,4930558J18Rik,Pogk
ENSMUSG00000097283,Eef1b2,ENSMUSG00000103783,ENSMUSG00000103973
Smap1,Rcsd1,ENSMUSG00000104435,Atf6
Il10,Klf7,ENSMUSG00000101586,Fcrlb
Rabgap1l,4930594C11Rik,Icos,Fcgr2b
ENSMUSG00000103693,Fcgr3,Plekhb2,ENSMUSG00000104340
ENSMUSG00000104020,Rpl31,Lax1,Il18r1
ENSMUSG00000103432,Tbc1d8,ENSMUSG00000100426,Il18rap
ENSMUSG00000102172,Fcer1g,Gm20743,Cd48
ENSMUSG00000103632,ENSMUSG00000098104,Chit1,ENSMUSG00000087004
ENSMUSG00000104053,Bcl2,Gm23402,Stkld1
Tnfsf4,Rpl37a,Fam78b,Srxn1
Bmpr2,ENSMUSG00000103403,Map2,Trib3
Sh3bp4,Tagln2,3110045C21Rik,Ifih1
Abi2,Ifi208,Pdcd1,Tyro3
Raph1,Id1,ENSMUSG00000103046,ENSMUSG00000085471
Cd28,Slc17a9,Il1r2,Slco4a1
Ctla4,ENSMUSG00000103546,Gpr45,Gata3
Xcl1,Abcb11,Aspm,Vim
1700029M03Rik,ENSMUSG00000085735,Tns1,Nr1h3
Atp2b4,Pdk1,Ifi211,Nebl
ENSMUSG00000102509,Rapgef4,Edn3,Scrn3
ENSMUSG00000101168,ENSMUSG00000081219,Tpx2,Enkur
Pask,ENSMUSG00000102323,Col9a3,1700001O22Rik
ENSMUSG00000086064,Slc28a2b,Ythdf1,Serinc3
Acadl,Sqor,ENSMUSG00000070461,ENSMUSG00000080984
