genename,change
Prr5l,Up
Tnfsf11,Up
Plscr4,Up
Ccdc17,Up
Gucy1a1,Up
ENSMUSG00000108090,Up
Enpp2,Up
Ces2c,Up
ENSMUSG00000110647,Up
ENSMUSG00000113669,Up
Reep2,Up
Cd80,Up
Crppa,Up
Hyal2,Up
Niban2,Up
Slco4a1,Up
Ptrh1,Up
ENSMUSG00000115969,Up
Tlcd2,Up
Cnih2,Up
Gstt3,Up
2900005J15Rik,Up
1500009L16Rik,Up
Pvrig,Up
Pla2g15,Up
Maged2,Up
Slc9b2,Up
Tnfrsf13c,Up
Ccrl2,Up
ENSMUSG00000073274,Up
Zfp93,Up
Ly6a2,Up
Nlrc4,Up
ENSMUSG00002074862,Up
Etv5,Up
Maged1,Up
A930001A20Rik,Up
Caskin2,Up
Olfr157,Up
Hmox1,Up
ENSMUSG00000054418,Up
Poglut3,Up
ENSMUSG00000106940,Up
Fuom,Up
Trav9d-1,Up
Mt1,Up
Cldn12,Up
Efemp2,Up
Tpmt,Up
Fam160a1,Up
Pask,Up
Tmem231,Up
ENSMUSG00000090559,Up
Gm23656,Up
Vsig10,Up
Trim42,Up
Mfsd13a,Up
Tmem176a,Up
Bspry,Up
Dusp18,Up
Ttc39c,Up
ENSMUSG00000111792,Up
Igkv1-117,Up
Stox1,Up
ENSMUSG00000116624,Up
Ripor3,Up
Cetn4,Up
Tyro3,Up
Paqr3,Up
Rasl11a,Up
Kifc5b,Up
Cpa6,Up
Cpne2,Up
ENSMUSG00000105646,Up
Gm10505,Up
Pheta1,Up
ENSMUSG00000073628,Up
Scn11a,Up
Tmprss13,Up
ENSMUSG00000104546,Up
Bik,Up
Entpd1,Up
Map10,Up
Irag1,Up
ENSMUSG00000106553,Up
Hgfac,Up
Gm1070,Up
Tlr4,Up
Mccc1os,Up
ENSMUSG00000084068,Up
ENSMUSG00000115087,Up
ENSMUSG00000083718,Up
Vangl1,Up
Fam81a,Up
Mrgpre,Up
Cybb,Up
Fam78b,Up
ENSMUSG00000114302,Up
Aifm2,Up
Inca1,Up
Kcnb1,Up
ENSMUSG00000116600,Up
Kctd11,Up
Hrh4,Up
Fbxo40,Up
ENSMUSG00000106061,Up
Nudt17,Up
Ppm1n,Up
ENSMUSG00000086312,Up
Kif9,Up
Ccser1,Up
Aebp1,Up
Tigd3,Up
Ccdc40,Up
ENSMUSG00000115543,Up
Spin4,Up
Col9a3,Up
ENSMUSG00000098041,Up
ENSMUSG00000103532,Up
Ddah2,Up
4930544D05Rik,Up
Ttyh1,Up
Nebl,Up
4921511I17Rik,Up
Shcbp1l,Up
Zfp939,Up
ENSMUSG00000113927,Up
ENSMUSG00000097784,Up
ENSMUSG00000106184,Up
D930048N14Rik,Up
Tmem51,Up
Myadm,Up
ENSMUSG00000083995,Up
ENSMUSG00000108219,Up
ENSMUSG00000055323,Up
S100a6,Up
Klhl29,Up
Gm10640,Up
Tshz2,Up
Trpm3,Up
Gnaq,Up
Gucy1b1,Up
Dram1,Up
Comp,Up
1700029M03Rik,Up
ENSMUSG00000086953,Up
ENSMUSG00000111006,Up
Susd2,Up
ENSMUSG00000086683,Up
Gm31108,Up
ENSMUSG00000097998,Up
Ptprj,Up
ENSMUSG00000106197,Up
ENSMUSG00000103973,Up
Ccl1,Up
Gm4787,Up
ENSMUSG00000104181,Up
E230016M11Rik,Up
Metrnl,Up
Cd22,Up
2610528A11Rik,Up
Pilrb1,Up
Gm17546,Up
Itgax,Up
ENSMUSG00000107728,Up
4930451E10Rik,Up
Atp2a1,Up
2210417A02Rik,Up
Zfp947,Up
Purg,Up
ENSMUSG00000107881,Up
ENSMUSG00000103261,Up
Cct6b,Up
ENSMUSG00000106441,Up
Naip2,Up
Mxra8,Up
ENSMUSG00000109574,Up
F730043M19Rik,Up
Ppbp,Up
Adrb1,Up
Ropn1l,Up
Eno2,Up
Pla2g4c,Up
ENSMUSG00000100108,Up
Pard6b,Up
Dnah7c,Up
Selenon,Up
ENSMUSG00000103703,Up
Dpysl3,Up
ENSMUSG00000083210,Up
Tigd5,Up
2810414N06Rik,Up
ENSMUSG00000117805,Up
Ifi211,Up
Ttc16,Up
Gdpd3,Up
