genename,change
Cttnbp2nl,Down
Fcrlb,Down
Spsb1,Down
Cfap44,Down
Acoxl,Down
Klra13-ps,Down
Fam240a,Down
Sqor,Down
Gpr83,Down
Lrg1,Down
Gm30948,Down
ENSMUSG00000109629,Down
Spag6l,Down
Sh3yl1,Down
Drc1,Down
ENSMUSG00000087685,Down
ENSMUSG00000103473,Down
Pak1,Down
ENSMUSG00000105472,Down
Cyp2s1,Down
Rnf152,Down
ENSMUSG00000108891,Down
Tspan9,Down
B430306N03Rik,Down
ENSMUSG00000102139,Down
Morc4,Down
Atf3,Down
Cdkn2b,Down
Col27a1,Down
Ppp1r3b,Down
Atp6v0a1,Down
Vmn2r44,Down
Ceacam1,Down
Trav7d-3,Down
Rps6ka6,Down
Zfp516,Down
Ddah1,Down
Drp2,Down
Ncr1,Down
Nox4,Down
ENSMUSG00000055216,Down
Rtn2,Down
ENSMUSG00000090939,Down
Prl2c3,Down
Spata6l,Down
Cyp39a1,Down
Id1,Down
Pnck,Down
Adam6b,Down
Acvrl1,Down
ENSMUSG00000085735,Down
Scart1,Down
Stkld1,Down
Tmod4,Down
Syde2,Down
Sirpb1a,Down
Lrrc27,Down
Vmn1r81,Down
Trib3,Down
Rnf17,Down
ENSMUSG00000114005,Down
Asphd2,Down
Dennd2c,Down
Smtn,Down
Cacna1e,Down
ENSMUSG00000085417,Down
Rnf183,Down
Heph,Down
Mm2pr,Down
ENSMUSG00000100548,Down
ENSMUSG00000107266,Down
Stap2,Down
ENSMUSG00000097100,Down
ENSMUSG00000102323,Down
Rps4l,Down
Klrb1a,Down
F730035M05Rik,Down
Tshb,Down
Cux2,Down
Vill,Down
Fggy,Down
Lpcat2,Down
ENSMUSG00000110986,Down
Bcar3,Down
Dyrk4,Down
Rragd,Down
Col4a1,Down
Pde6b,Down
Lrp11,Down
Tmc1,Down
ENSMUSG00000098447,Down
ENSMUSG00000104283,Down
Thnsl2,Down
ENSMUSG00000082395,Down
Plaur,Down
Fes,Down
Tlr11,Down
ENSMUSG00000102808,Down
Abcb11,Down
Ssc5d,Down
Padi4,Down
Slc6a19,Down
ENSMUSG00000101595,Down
ENSMUSG00000102786,Down
Eef2k,Down
Fgd6,Down
Spata7,Down
Trdv2-2,Down
ENSMUSG00000111664,Down
Ifngr1,Down
Tnn,Down
Ptk2,Down
ENSMUSG00000104876,Down
Bbc3,Down
ENSMUSG00000097793,Down
Dntt,Down
Il7r,Down
Map9,Down
Optn,Down
Gm33104,Down
Txk,Down
Vipr1,Down
Phka1,Down
Nfib,Down
ENSMUSG00000104339,Down
ENSMUSG00000103358,Down
Ifi208,Down
Plac8,Down
ENSMUSG00000085651,Down
ENSMUSG00000115801,Down
Lrp1b,Down
Tbc1d16,Down
Ly6c2,Down
Tsc22d3,Down
Apol7b,Down
Igf2bp2,Down
Ccdc162,Down
ENSMUSG00000104214,Down
ENSMUSG00000102212,Down
Atp6v0d2,Down
ENSMUSG00000104392,Down
Cd7,Down
Scarf1,Down
Tle1,Down
Kcnh3,Down
Kalrn,Down
Cxcr6,Down
Dnajc15,Down
Slc16a5,Down
Tcf7l2,Down
Lcn4,Down
Klhl6,Down
Macir,Down
Pltp,Down
Tdrkh,Down
Sgip1,Down
Epsti1,Down
ENSMUSG00000113631,Down
S1pr1,Down
Bambi,Down
Irgc1,Down
Cyp2d22,Down
Trav7-3,Down
Gm19585,Down
Fn1,Down
Amigo2,Down
Impg2,Down
Trbv1,Down
Dusp16,Down
Tbc1d8,Down
Emb,Down
Plekha6,Down
ENSMUSG00000054351,Down
Gm11714,Down
Klf7,Down
ENSMUSG00000103779,Down
Txnip,Down
ENSMUSG00000117013,Down
Prag1,Down
Rgcc,Down
ENSMUSG00000105008,Down
Bcl2,Down
ENSMUSG00000085340,Down
Fam78a,Down
Pag1,Down
Trav16n,Down
Btg2,Down
Ppp1r3e,Down
ENSMUSG00000081078,Down
Lef1,Down
Arl6ip5,Down
Elovl7,Down
Gramd3,Down
Slco3a1,Down
Prkd3,Down
Pik3r5,Down
Smad3,Down
1700113A16Rik,Down
Ly6c1,Down
Ccr9,Down
Igfbp4,Down
Fmo1,Down
Ssh2,Down
Jmjd8,Down
Slc28a2b,Down
Apol7e,Down
Gm5424,Down
Hecw2,Down
Trio,Down
Pxylp1,Down
ENSMUSG00000085603,Down
Klf13,Down
Il4ra,Down
Klrd1,Down
Adrb2,Down
Adgrg5,Down
Slc2a3,Down
Nedd4,Down
Ppp3ca,Down
Il18r1,Down
Ccr7,Down
Tagln2,Down
Mettl1,Down
Selplg,Down
Zfp36,Down
Mfsd11,Down
Grap2,Down
Siah1a,Down
Slc11a2,Down
ENSMUSG00000107029,Down
Ifit1bl1,Down
Klf2,Down
Hsd11b1,Down
Gramd1a,Down
Sema4a,Down
Sell,Down
Pde4b,Down
Zyx,Down
Pik3r1,Down
Fli1,Down
Arl4c,Down
Snora31,Down
Myc,Down
Add3,Down
4930523C07Rik,Down
Snhg12,Down
Nrros,Down
4930453N24Rik,Down
Cyth1,Down
Ywhaq,Down
Neat1,Down
Haao,Down
Tpst2,Down
Ass1,Down
Slc17a9,Down
Pik3ip1,Down
Mfng,Down
AI467606,Down
ENSMUSG00000070729,Down
Cdipt,Down
Snrpd3,Down
