genename,change
Serpina9,Up
Aif1,Up
Pon3,Up
Csf1,Up
Gstt1,Up
ENSMUSG00000093963,Up
Grhl1,Up
Cd81,Up
Tmem205,Up
Slc22a17,Up
ENSMUSG00000102984,Up
Pex11a,Up
Atcay,Up
ENSMUSG00000106739,Up
4933431E20Rik,Up
Tex13d,Up
Ddias,Up
Gipc2,Up
ENSMUSG00000105846,Up
Sema6d,Up
Trav9n-1,Up
Gm14139,Up
ENSMUSG00000109108,Up
ENSMUSG00000087060,Up
Gm15708,Up
2900026A02Rik,Up
Zfp975,Up
Arhgef9,Up
Gm20517,Up
Trav6-1,Up
Gm22430,Up
Ripply3,Up
ENSMUSG00000107801,Up
ENSMUSG00000102172,Up
ENSMUSG00000110433,Up
T2,Up
Slc30a3,Up
ENSMUSG00000104378,Up
Zfp345,Up
Plpp2,Up
Ighd,Up
Pitpnm2os2,Up
Slc46a1,Up
ENSMUSG00000056257,Up
Wdr72,Up
ENSMUSG00000110670,Up
Zfta,Up
ENSMUSG00000103163,Up
4930404I05Rik,Up
Dnph1,Up
Exo1,Up
ENSMUSG00000103898,Up
Fam124b,Up
ENSMUSG00000094249,Up
1700001G11Rik,Up
ENSMUSG00000109031,Up
Miat,Up
Hic1,Up
Atp9a,Up
C1qc,Up
Sh3d21,Up
ENSMUSG00000106798,Up
Lbp,Up
4931431B13Rik,Up
Zfp704,Up
Areg,Up
Gm6238,Up
Epb41l1,Up
Trgc2,Up
ENSMUSG00000113086,Up
Dixdc1,Up
ENSMUSG00000085903,Up
ENSMUSG00000081894,Up
ENSMUSG00000117440,Up
Hebp1,Up
Gorasp1,Up
ENSMUSG00000109314,Up
Cxcl13,Up
ENSMUSG00000108465,Up
ENSMUSG00000110301,Up
Zfp647,Up
ENSMUSG00000109555,Up
Efnb2,Up
ENSMUSG00000114535,Up
ENSMUSG00000082487,Up
Fam229b,Up
ENSMUSG00000097685,Up
ENSMUSG00000075511,Up
ENSMUSG00000084884,Up
Olfml3,Up
Cryzl2,Up
Spaca1,Up
Rsad1,Up
Igkv4-55,Up
C1qb,Up
Camk1,Up
ENSMUSG00000103360,Up
ENSMUSG00000118239,Up
D430020J02Rik,Up
Capn5,Up
ENSMUSG00000073590,Up
Gm16107,Up
ENSMUSG00000101586,Up
Gm2869,Up
Mfsd2a,Up
Pyroxd2,Up
Lrrtm2,Up
Pif1,Up
ENSMUSG00000117333,Up
Arl13a,Up
Itgb1bp2,Up
Trav10d,Up
Il7,Up
ENSMUSG00000117335,Up
Gm15746,Up
Pax6,Up
ENSMUSG00000114638,Up
Ston1,Up
ENSMUSG00000105776,Up
Tgfb3,Up
ENSMUSG00000102133,Up
4930565N06Rik,Up
Chdh,Up
Fads6,Up
Egln3,Up
Prickle1,Up
ENSMUSG00000102875,Up
Wfs1,Up
Ston2,Up
Apold1,Up
Zfp820,Up
Plxna3,Up
Brdt,Up
1810012K16Rik,Up
ENSMUSG00000104597,Up
Styk1,Up
Gm12057,Up
Vash2,Up
Tmem17,Up
Sptb,Up
ENSMUSG00000113841,Up
Setbp1,Up
Chrdl1,Up
ENSMUSG00000111968,Up
ENSMUSG00000112728,Up
Pik3r3,Up
Mmp11,Up
Derl3,Up
ENSMUSG00000090628,Up
ENSMUSG00000114612,Up
Slc7a7,Up
Cpsf4l,Up
ENSMUSG00000108067,Up
Art3,Up
Gng11,Up
ENSMUSG00000113141,Up
ENSMUSG00000112105,Up
Shtn1,Up
Ror1,Up
Ophn1,Up
