genename,change
Tnfsf4,Up
Ccdc141,Up
Penk,Up
Prnp,Up
B4galt4,Up
Map6,Up
Coch,Up
Il10,Up
Ighg3,Up
Pdzk1ip1,Up
ENSMUSG00000110597,Up
Tppp3,Up
Ccr6,Up
Asns,Up
Hmgn3,Up
ENSMUSG00000109759,Up
1110046J04Rik,Up
Glt28d2,Up
Gja5,Up
Zfp612,Up
Mpp2,Up
Lratd1,Up
Xkr6,Up
Siglecf,Up
ENSMUSG00000112734,Up
ENSMUSG00000108214,Up
Lif,Up
Slc29a4,Up
Itgb1,Up
Trgc3,Up
Echdc2,Up
Edn3,Up
Gprasp2,Up
Hip1,Up
Nrp1,Up
Igkv1-110,Up
ENSMUSG00000117250,Up
Pde1c,Up
Naip5,Up
Slc1a2,Up
Cttn,Up
6330403K07Rik,Up
Vcam1,Up
Hpse,Up
Myo1e,Up
Tm4sf5,Up
Gm13673,Up
Trgv3,Up
Ccn4,Up
Ly6d,Up
ENSMUSG00000106024,Up
Lag3,Up
Sema7a,Up
Msc,Up
Rnf128,Up
Dusp14,Up
Fkbp10,Up
Dio3os,Up
Khdc3,Up
Spp1,Up
D830035M03Rik,Up
ENSMUSG00002075479,Up
Stmn2,Up
ENSMUSG00000076614,Up
ENSMUSG00000107647,Up
ENSMUSG00000107696,Up
Il21,Up
Pdcd1,Up
Sostdc1,Up
Ralyl,Up
1700084J12Rik,Up
ENSMUSG00000104138,Up
Mmp10,Up
5033406O09Rik,Up
Wnt3,Up
ENSMUSG00000097604,Up
Zfp229,Up
D630039A03Rik,Up
ENSMUSG00000113649,Up
ENSMUSG00000111739,Up
Tbc1d4,Up
Syngr3,Up
Cebpd,Up
Foxp3,Up
D430019H16Rik,Up
ENSMUSG00000107448,Up
Gstm5,Up
Ptms,Up
Spag4,Up
Olfr176,Up
Pipox,Up
Ocln,Up
Mettl24,Up
Gm18042,Up
ENSMUSG00000115735,Up
1700019D03Rik,Up
Bace2,Up
ENSMUSG00000097223,Up
ENSMUSG00000086184,Up
Ighg2b,Up
Igsf9b,Up
Gm19187,Up
Ptpn13,Up
Dok4,Up
Eea1,Up
Xcl1,Up
F830016B08Rik,Up
Gpr45,Up
ENSMUSG00000112317,Up
Dmwd,Up
ENSMUSG00000118437,Up
Spns3,Up
ENSMUSG00000097874,Up
Rnf144b,Up
ENSMUSG00000114893,Up
Flvcr2,Up
ENSMUSG00000085546,Up
Trim72,Up
Gpm6b,Up
Cacna1d,Up
ENSMUSG00000103432,Up
Tigit,Up
Cd200,Up
Spry1,Up
Gm2237,Up
ENSMUSG00000110697,Up
Six5,Up
ENSMUSG00000086152,Up
Pou2f2,Up
Nrn1,Up
Itgb8,Up
Tnfrsf4,Up
Rph3a,Up
Ptpn11,Up
Gm4956,Up
Maf,Up
Zbtb32,Up
Slamf6,Up
Nfatc1,Up
Nfat5,Up
Lclat1,Up
Ctla4,Up
Tox,Up
Icos,Up
Tnip2,Up
Spock2,Up
Lax1,Up
2310001H17Rik,Up
Casp3,Up
Hivep3,Up
Nek7,Up
Fyn,Up
Itgav,Up
Trps1,Up
Sh3bgrl,Up
Hif1a,Up
Adam19,Up
Crtam,Up
Prkca,Up
Eif4enif1,Up
Samsn1,Up
Adamts6,Up
Syt11,Up
Rasa1,Up
Nsmaf,Up
Mllt3,Up
Sh2d1a,Up
Rabgap1l,Up
