,gene,Geneid,genename,change,log2FC,padj,Change Metric
1,1,ENSMUSG00000032841,Prr5l,Up,22.9039276365794,1.85637402295119e-44,1001.61932123945
2,2,ENSMUSG00000022015,Tnfsf11,Up,23.8395810283231,1.964783336735e-29,684.355351068768
3,3,ENSMUSG00000032377,Plscr4,Up,21.5269867699682,3.18468946431135e-29,613.453097713656
4,4,ENSMUSG00000034035,Ccdc17,Up,22.7987778793949,2.57644424957149e-27,606.196231974019
5,5,ENSMUSG00000033910,Gucy1a1,Up,23.3327131992362,6.67893903220816e-26,587.4078800974
6,6,ENSMUSG00000022425,Enpp2,Up,22.2737682905305,6.30302645089669e-24,516.761466921718
7,7,ENSMUSG00000061825,Ces2c,Up,22.4756056747657,2.83224103308134e-22,484.301424520276
8,8,ENSMUSG00000110647,ENSMUSG00000110647,Up,21.3536357239122,4.43624784497718e-23,477.317481919573
9,9,ENSMUSG00000113669,ENSMUSG00000113669,Up,20.683593860356,4.08669203336657e-22,442.393696618921
10,10,ENSMUSG00000038555,Reep2,Up,21.1948412241356,3.9779723578519e-21,432.381929894862
11,11,ENSMUSG00000075122,Cd80,Up,21.2701807300651,7.27423961140969e-20,407.073236545356
12,12,ENSMUSG00000043153,Crppa,Up,22.9876409762185,3.35083748185553e-18,401.705500565924
13,13,ENSMUSG00000010047,Hyal2,Up,21.7416137447539,4.32201819590709e-18,377.528195082373
14,14,ENSMUSG00000026796,Niban2,Up,21.3870998420719,4.32201819590709e-18,371.372304568338
15,15,ENSMUSG00000038963,Slco4a1,Up,20.8831790264521,8.93370219468491e-17,335.153482977798
16,16,ENSMUSG00000053746,Ptrh1,Up,21.1645269696858,1.95541920543915e-16,332.468477297162
17,17,ENSMUSG00000115969,ENSMUSG00000115969,Up,21.5257890961414,8.7971280209166e-16,324.08494222906
18,18,ENSMUSG00000038217,Tlcd2,Up,22.4305909209105,8.09056950399515e-15,316.092356210479
19,19,ENSMUSG00000024873,Cnih2,Up,20.8841799050187,1.63362987382339e-15,308.811159053312
20,20,ENSMUSG00000001665,Gstt3,Up,20.8050378532228,3.6946777594664e-15,300.267115851735
21,21,ENSMUSG00000043833,2900005J15Rik,Up,22.0830561672728,4.0254455139049e-14,295.806645854479
22,22,ENSMUSG00000087651,1500009L16Rik,Up,20.6133310136717,1.14013422264999e-14,287.412581685417
23,23,ENSMUSG00000109713,Pvrig,Up,18.778928381614,6.40461151955771e-16,285.317783721642
24,24,ENSMUSG00000031903,Pla2g15,Up,20.7653792650909,2.11895011021693e-14,283.943289034397
25,25,ENSMUSG00000025268,Maged2,Up,22.0704998637722,3.83867702700454e-13,274.023318888033
26,26,ENSMUSG00000037994,Slc9b2,Up,22.7106565104655,9.24894727907249e-13,273.297944165134
27,27,ENSMUSG00000068105,Tnfrsf13c,Up,21.9973054166238,9.98465446113521e-13,263.982336325808
28,28,ENSMUSG00000043953,Ccrl2,Up,21.0768984158202,4.52530922246315e-13,260.18064761895
