genename,change
Slc6a19,Down
ENSMUSG00000114390,Down
Gm29036,Down
BC106179,Down
Fam240a,Down
ENSMUSG00000114235,Down
Fbxo17,Down
Septin8,Down
Bach2os,Down
ENSMUSG00000100302,Down
Gm15706,Down
Cep131,Down
Gm34121,Down
ENSMUSG00000084775,Down
ENSMUSG00000102139,Down
Trav7d-4,Down
ENSMUSG00000104078,Down
ENSMUSG00000101462,Down
Cdr2l,Down
Pigw,Down
ENSMUSG00000098062,Down
ENSMUSG00000106859,Down
ENSMUSG00000087436,Down
Trav7d-3,Down
Gm371,Down
ENSMUSG00000085526,Down
Tas1r3,Down
ENSMUSG00000107583,Down
Selenbp1,Down
Id1,Down
Adam6b,Down
1700102P08Rik,Down
Traj58,Down
Pard6g,Down
ENSMUSG00000102960,Down
ENSMUSG00000087347,Down
Emid1,Down
Lrrc27,Down
D830039M14Rik,Down
Gm17995,Down
Gm12709,Down
Tdgf1,Down
Rnf183,Down
ENSMUSG00000085417,Down
4930451G09Rik,Down
ENSMUSG00000074178,Down
Stap2,Down
ENSMUSG00000097488,Down
Zcchc3,Down
Rps4l,Down
Dynlt4,Down
ENSMUSG00000102929,Down
F730035M05Rik,Down
Tshb,Down
Ajuba,Down
Zfp661,Down
ENSMUSG00000110986,Down
ENSMUSG00000109244,Down
Rragd,Down
ENSMUSG00000104947,Down
ENSMUSG00000105550,Down
ENSMUSG00000055494,Down
Il7r,Down
Fam83f,Down
Zfp2,Down
ENSMUSG00000082395,Down
Riiad1,Down
Ankrd13b,Down
Fes,Down
Gm6787,Down
Gpr15,Down
ENSMUSG00000097271,Down
ENSMUSG00000089936,Down
Ckap4,Down
Slc28a2b,Down
Lcn4,Down
Emb,Down
Siah3,Down
Gm18911,Down
6030442K20Rik,Down
Cnn3,Down
ENSMUSG00000103105,Down
ENSMUSG00000107266,Down
Igfbp4,Down
ENSMUSG00000115771,Down
Zfp580,Down
ENSMUSG00000107894,Down
Trav10,Down
Bbc3,Down
ENSMUSG00000107254,Down
Dbndd1,Down
Eya2,Down
ENSMUSG00000103358,Down
Ccr7,Down
Treml2,Down
Cd79a,Down
Gm3716,Down
Slc6a19os,Down
Vipr1,Down
ENSMUSG00000103779,Down
ENSMUSG00000117059,Down
Trav7-5,Down
Sgip1,Down
Slc35g2,Down
ENSMUSG00000105784,Down
ENSMUSG00000085340,Down
Ifi208,Down
Oas2,Down
Sox4,Down
Slc39a14,Down
ENSMUSG00000109137,Down
Trav6-3,Down
ENSMUSG00000117013,Down
Gm35315,Down
Slc25a27,Down
Gm7432,Down
Tgtp1,Down
ENSMUSG00000102744,Down
Scarf1,Down
Qser1,Down
Ssbp2,Down
ENSMUSG00000093677,Down
Cyp2d22,Down
Trav7-3,Down
Il2,Down
Atp1b1,Down
Dmrta1,Down
Plaur,Down
St8sia1,Down
Fam78a,Down
Trav13-1,Down
Bcl2,Down
Qrfp,Down
ENSMUSG00000086395,Down
Slco3a1,Down
Pcsk4,Down
Rsf1os2,Down
Stx1a,Down
Tdrp,Down
ENSMUSG00000097443,Down
Gm30948,Down
Apol7b,Down
ENSMUSG00000113052,Down
Maff,Down
Tnfrsf22,Down
Rgs10,Down
Txk,Down
Txnip,Down
Trav8d-2,Down
Sh3bp5,Down
Ampd3,Down
Slc17a9,Down
ENSMUSG00000105008,Down
Myc,Down
ENSMUSG00000108393,Down
Trav9-1,Down
Mrpl23,Down
Reck,Down
Sell,Down
Aqp3,Down
Prss12,Down
ENSMUSG00000104876,Down
Cnr2,Down
Fam241a,Down
Pik3ip1,Down
Mettl1,Down
Slc49a4,Down
Tmem63b,Down
Siah1a,Down
Pde4b,Down
Gpr183,Down
Letm2,Down
Gm5424,Down
Gm25939,Down
Tnfrsf25,Down
Smad7,Down
Tsc22d3,Down
Sidt1,Down
Snhg12,Down
ENSMUSG00000084788,Down
A930005H10Rik,Down
Tanc2,Down
Mrps27,Down
Gm19705,Down
Tgtp2,Down
Dnajc15,Down
Nup210l,Down
Rps19,Down
Slc11a2,Down
Klf7,Down
Dzip1,Down
ENSMUSG00000103630,Down
Scml4,Down
Ssh2,Down
Ttyh3,Down
Dyrk2,Down
Ly6e,Down
Focad,Down
Rcl1,Down
Il4ra,Down
Kbtbd3,Down
Ccdc107,Down
Plac8,Down
Rgcc,Down
Klhl6,Down
Wwp1,Down
Dmap1,Down
Cpne3,Down
Hs3st3b1,Down
Sgms1,Down
Nt5e,Down
Pdlim1,Down
Ly6c2,Down
Dennd4c,Down
Rmdn1,Down
Dph5,Down
Arl4c,Down
Evl,Down
Snhg8,Down
6820431F20Rik,Down
Taf11,Down
4930523C07Rik,Down
Ass1,Down
Agk,Down
Pag1,Down
Abhd11,Down
Rpl36a-ps2,Down
Neurl3,Down
ENSMUSG00000111594,Down
Mfng,Down
Ifngr1,Down
Resf1,Down
Rpl36a,Down
Gpr18,Down
Slc12a7,Down
Zfp36l2,Down
Vars,Down
Gnl3,Down
