genename,change
Serpina9,Up
Gstt1,Up
Aif1,Up
Pon3,Up
Gm20517,Up
Csf1,Up
Cd81,Up
4933431E20Rik,Up
ENSMUSG00000093963,Up
ENSMUSG00000106739,Up
Grhl1,Up
Gipc2,Up
Ddias,Up
ENSMUSG00000105846,Up
Atcay,Up
Pex11a,Up
Tmem205,Up
Sptb,Up
Tex13d,Up
Trav9n-1,Up
Ripply3,Up
ENSMUSG00000109108,Up
Gm15708,Up
Ighd,Up
T2,Up
Sema6d,Up
Trav6-1,Up
Arhgef9,Up
2900026A02Rik,Up
1700001G11Rik,Up
ENSMUSG00000110433,Up
ENSMUSG00000087060,Up
ENSMUSG00000103898,Up
ENSMUSG00000110670,Up
Gm14139,Up
ENSMUSG00000104378,Up
Wdr72,Up
Slc22a17,Up
ENSMUSG00000056257,Up
ENSMUSG00000107801,Up
Slc30a3,Up
Dixdc1,Up
Zfp975,Up
Plpp2,Up
Gm22430,Up
Zfta,Up
4931431B13Rik,Up
Gm2869,Up
4930404I05Rik,Up
ENSMUSG00000102172,Up
Exo1,Up
ENSMUSG00000102984,Up
ENSMUSG00000109031,Up
ENSMUSG00000094249,Up
Trgc2,Up
Atp9a,Up
Dnph1,Up
Areg,Up
Fam124b,Up
ENSMUSG00000101586,Up
Slc46a1,Up
Pitpnm2os2,Up
Hebp1,Up
Sh3d21,Up
Miat,Up
Il7,Up
ENSMUSG00000110301,Up
ENSMUSG00000103163,Up
ENSMUSG00000109555,Up
ENSMUSG00000113086,Up
Klra14-ps,Up
Pimreg,Up
Hic1,Up
ENSMUSG00000105776,Up
Ptpdc1,Up
ENSMUSG00000097685,Up
Plxna3,Up
Capn5,Up
Zfp345,Up
ENSMUSG00000117440,Up
Trav10d,Up
4930594C11Rik,Up
Epb41l1,Up
Adamts20,Up
Sdk2,Up
ENSMUSG00000117335,Up
Gm16107,Up
Klra6,Up
ENSMUSG00000084884,Up
Gm6238,Up
ENSMUSG00000108465,Up
Tagln3,Up
Cryzl2,Up
Ston2,Up
C1qb,Up
Mfsd2a,Up
Ophn1,Up
ENSMUSG00000106798,Up
Shtn1,Up
Ston1,Up
Efnb2,Up
C1qc,Up
1810012K16Rik,Up
Pcsk2,Up
ENSMUSG00000075511,Up
Gm14137,Up
ENSMUSG00000114535,Up
Pif1,Up
Slc7a7,Up
ENSMUSG00000102607,Up
Zfp704,Up
D430020J02Rik,Up
ENSMUSG00000117333,Up
Gorasp1,Up
Lrrtm2,Up
ENSMUSG00000102133,Up
Apold1,Up
Spaca1,Up
Lbp,Up
Gask1a,Up
Camk1,Up
Cct8l1,Up
ENSMUSG00000113012,Up
Chrdl1,Up
Rsad1,Up
ENSMUSG00000082487,Up
Efna4,Up
Olfml3,Up
Ap1m2,Up
Pax6,Up
1810020O05Rik,Up
Pyroxd2,Up
Arl13a,Up
1700042O10Rik,Up
ENSMUSG00000118239,Up
Gdap1,Up
ENSMUSG00000111968,Up
ENSMUSG00000112728,Up
F8,Up
Ror1,Up
4930565N06Rik,Up
Trnp1,Up
ENSMUSG00000104597,Up
ENSMUSG00000085354,Up
ENSMUSG00000112105,Up
Itgb1bp2,Up
Prickle1,Up
Vash2,Up
ENSMUSG00000103360,Up
Gng11,Up
Brdt,Up
Zfp820,Up
Tmem63c,Up
Igkv4-55,Up
Gm15746,Up
ENSMUSG00000113841,Up
Fads6,Up
Mmp11,Up
ENSMUSG00000081894,Up
Setbp1,Up
ENSMUSG00000109314,Up
Slc37a2,Up
ENSMUSG00000105890,Up
ENSMUSG00000104576,Up
Zfp647,Up
ENSMUSG00000114665,Up
Ces2e,Up
ENSMUSG00000116659,Up
Tgm4,Up
ENSMUSG00000108830,Up
Tgfb3,Up
ENSMUSG00000090628,Up
ENSMUSG00000114612,Up
Gm10037,Up
ENSMUSG00000073590,Up
Ncf2,Up
ENSMUSG00000114638,Up
Neil3,Up
Derl3,Up
Egln3,Up
Wfs1,Up
ENSMUSG00000105694,Up
Rnf225,Up
Cpsf4l,Up
Trip6,Up
ENSMUSG00000102875,Up
Aspm,Up
Dpysl5,Up
Styk1,Up
Kcnj16,Up
Ccnb2,Up
Fam71e1,Up
Chdh,Up
Chst2,Up
Cnnm2,Up
Fbxo48,Up
ENSMUSG00000107750,Up
Tmem17,Up
ENSMUSG00000097709,Up
Trav13n-1,Up
Naip6,Up
Tox2,Up
Sdc4,Up
Traj52,Up
Dennd2c,Up
ENSMUSG00000087574,Up
ENSMUSG00000108067,Up
Art3,Up
Havcr2,Up
Ifi27l2a,Up
Serinc5,Up
Klri2,Up
ENSMUSG00000106678,Up
Il1r2,Up
Trgj2,Up
Gstm4,Up
Npdc1,Up
ENSMUSG00000106758,Up
Ephb6,Up
Usp46,Up
ENSMUSG00000114981,Up
Ncapg2,Up
Bend3,Up
Rnf43,Up
Magee1,Up
Ogn,Up
Trgv2,Up
Prdm5,Up
Coro2b,Up
ENSMUSG00000085335,Up
Enpp5,Up
Ckap2,Up
Ptcd1,Up
Tfdp1,Up
ENSMUSG00000103507,Up
Tpx2,Up
ENSMUSG00000110972,Up
Ect2,Up
Gm13546,Up
Mid2,Up
ENSMUSG00000083774,Up
Ccr8,Up
Iqank1,Up
ENSMUSG00000108526,Up
L2hgdh,Up
Enpp6,Up
Trgc4,Up
Itih5,Up
ENSMUSG00000113687,Up
Gm41790,Up
Slc25a14,Up
Glrx,Up
Med7,Up
Erp27,Up
Ica1,Up
ENSMUSG00000084277,Up
ENSMUSG00000107168,Up
Izumo1r,Up
Cd83,Up
Lhfpl2,Up
4930598N05Rik,Up
Pdgfb,Up
Xlr4e-ps,Up
Phactr2,Up
Gzma,Up
9530034E10Rik,Up
Cenpa,Up
Fgf2,Up
Klrh1,Up
Fxyd7,Up
ENSMUSG00000085687,Up
Gnb4,Up
ENSMUSG00000057160,Up
Plag1,Up
Slc16a3,Up
ENSMUSG00000102145,Up
Mlf1,Up
Cand2,Up
ENSMUSG00000105418,Up
6720489N17Rik,Up
ENSMUSG00000103739,Up
E130308A19Rik,Up
Pfkfb4,Up
Hepacam2,Up
ENSMUSG00000090397,Up
Sccpdh,Up
Hmgb2,Up
Ypel2,Up
Zfp239,Up
Oprm1,Up
ENSMUSG00000117628,Up
Pycard,Up
ENSMUSG00000114023,Up
Dcun1d4,Up
Fchsd1,Up
Stk39,Up
Irf4,Up
Gzmb,Up
Tank,Up
Rgs16,Up
Crmp1,Up
ENSMUSG00000104235,Up
ENSMUSG00000076479,Up
Mki67,Up
Serpinb6b,Up
Prex1,Up
Knl1,Up
Ppfibp1,Up
Mms22l,Up
Atpif1,Up
Gm7776,Up
ENSMUSG00000082520,Up
ENSMUSG00000083879,Up
Cdkn2c,Up
ENSMUSG00000110545,Up
1110008P14Rik,Up
Asap1,Up
Ttc3,Up
ENSMUSG00000112808,Up
Diaph3,Up
Cd68,Up
Pyroxd1,Up
Irf8,Up
Gm29257,Up
Top2a,Up
Ptprs,Up
Cbx5,Up
Klre1,Up
ENSMUSG00000097777,Up
Gzmk,Up
Exoc6,Up
Pon2,Up
Nrip1,Up
ENSMUSG00000076490,Up
Calm3,Up
Gdi2,Up
Etaa1,Up
Sdf2l1,Up
Tut7,Up
Nab2,Up
Usp45,Up
Gimap7,Up
Dleu2,Up
Anapc4,Up
Tmem254a,Up
Lrmp,Up
Hmgn2,Up
Zranb1,Up
Fkbp5,Up
Mtf2,Up
Cks2,Up
Ybx3,Up
Smc2,Up
Ccdc25,Up
Sugp2,Up
Atox1,Up
Ehbp1l1,Up
Ndfip2,Up
Gm10282,Up
Tuba1c,Up
Reep5,Up
