genename,change
B4galt4,Up
Map6,Up
Il10,Up
Penk,Up
Fkbp10,Up
Mpp2,Up
ENSMUSG00000117250,Up
Coch,Up
Tppp3,Up
Trgv3,Up
1110046J04Rik,Up
Msc,Up
Pde1c,Up
Syngr3,Up
Cttn,Up
ENSMUSG00000109759,Up
Gm13673,Up
Glt28d2,Up
Tm4sf5,Up
Slc1a2,Up
Ccr6,Up
Sema7a,Up
Spag4,Up
ENSMUSG00000113649,Up
Echdc2,Up
Asns,Up
Khdc3,Up
Dio3os,Up
Lif,Up
D830035M03Rik,Up
Ly6d,Up
ENSMUSG00000085546,Up
Pdzk1ip1,Up
ENSMUSG00000097223,Up
Wnt3,Up
Spns3,Up
ENSMUSG00000108214,Up
Il21,Up
ENSMUSG00000112734,Up
Flvcr2,Up
Trgc3,Up
ENSMUSG00002075479,Up
Zfp612,Up
Siglecf,Up
D630039A03Rik,Up
Gm19187,Up
Gstm5,Up
ENSMUSG00000110697,Up
Rnf144b,Up
Cebpd,Up
Hmgn3,Up
Gja5,Up
Zfp229,Up
Vcam1,Up
Stmn2,Up
Foxp3,Up
ENSMUSG00000114893,Up
Atp7b,Up
ENSMUSG00000112317,Up
Xkr6,Up
2610528A11Rik,Up
Gprasp2,Up
Bace2,Up
Pard6b,Up
Hpse,Up
Olfr176,Up
Trim72,Up
Car9,Up
1700084J12Rik,Up
Dmwd,Up
ENSMUSG00000106062,Up
Ocln,Up
ENSMUSG00000090406,Up
Ralyl,Up
Gm18980,Up
Dok4,Up
ENSMUSG00000097604,Up
D430019H16Rik,Up
Dnajb7,Up
Ccn4,Up
Pipox,Up
ENSMUSG00000113810,Up
Igkv8-27,Up
Tnfsf4,Up
Gm4956,Up
Rimbp3,Up
Ldhd,Up
Sostdc1,Up
Dusp14,Up
Ccl1,Up
Tox,Up
Lratd1,Up
Spock2,Up
Ccdc141,Up
ENSMUSG00000076614,Up
Spp1,Up
Mmp10,Up
Tigit,Up
Prnp,Up
ENSMUSG00000086152,Up
Rnf128,Up
ENSMUSG00000118437,Up
Igsf9b,Up
Myo1e,Up
ENSMUSG00000115735,Up
Gm2237,Up
Ighg2b,Up
F830016B08Rik,Up
Cd200,Up
Lag3,Up
Maf,Up
1700019D03Rik,Up
Kctd11,Up
ENSMUSG00000116600,Up
Spry1,Up
Gpm6b,Up
Slc29a4,Up
Tbc1d4,Up
Ptpn13,Up
Casp3,Up
Trpm3,Up
Zbed5,Up
Tmprss13,Up
Adam19,Up
Nrn1,Up
Trps1,Up
6330403K07Rik,Up
Pdcd1,Up
ENSMUSG00000108090,Up
Zbtb32,Up
Ptms,Up
Syt11,Up
Nfatc1,Up
Anxa4,Up
Hip1,Up
Sat1,Up
Pou2f2,Up
2310001H17Rik,Up
A430093F15Rik,Up
Itgav,Up
Hif1a,Up
Nsmaf,Up
Sh2d1a,Up
Ikzf3,Up
Nek7,Up
