Naive,NPP_C5,SUB,SPP7
-1.551544419,-0.854802102,0.295129091,1.025848122
-0.72757234,-0.916077748,0.560934475,0.643432972
-0.316776403,-0.823098741,0.825581696,-0.208128162
-1.126869003,-0.542806915,0.710010684,0.355330098
-1.116099319,-0.891733573,0.035961621,1.055273472
-0.862498854,-0.966418591,-0.157943066,0.954837241
-1.216189672,-1.103064868,0.514139945,0.941542203
0.234766816,-0.981087485,0.521155498,0.503174031
-0.996996356,-1.126322959,-0.044438674,1.425881882
-1.203156565,-1.086627931,0.282836206,1.02903201
-1.403482399,-0.818857939,0.145656482,1.047345485
-1.260836505,-0.72724595,0.416466819,1.085336552
-1.474429947,-0.880772457,0.365026113,1.077018916
-1.059571138,-1.18891192,0.548194576,0.835591802
-1.229877083,-1.057633238,0.396541318,1.063538794
-1.303948735,-1.087923997,0.29823919,1.105957657
-1.169760359,-0.936549888,0.284668934,1.051834031
-1.170226544,-0.958745622,-0.395137424,0.925485575
-0.89356195,-0.904434493,-0.506408476,1.485932662
-1.212854212,-0.99076676,-0.216931577,1.253453739
-1.295682576,-0.96009463,0.27566114,1.22846826
-1.436396969,-1.011589303,0.663396347,0.907894712
-1.139209263,-0.996927302,0.020176985,1.220971722
-0.38363591,-1.200134277,-0.11290161,1.091314095
-1.187821501,-0.853158681,-0.052521769,1.081600172
-1.139360462,-0.569209566,0.245749496,1.047042116
-0.282573976,-1.115529912,0.462129768,0.754614021
-0.839921266,-1.1691026,-0.347799041,1.367565519
-1.016312415,-1.138963594,0.023414381,1.240699575
-1.135125311,-1.043688254,-0.199155882,1.396156757
-0.917180966,-1.105757295,0.021475465,1.208781129
-1.05575555,-1.046051194,-0.313846437,1.278860376
-1.176692876,-1.12319251,0.42058525,0.96425185
-0.67805406,-1.211772617,0.69577786,0.631280808
-0.680423045,-1.390510312,0.254635119,0.960573157
-0.948893031,-0.970985453,0.474010404,0.790666288
-1.383614985,-1.026455011,0.482176368,1.024711008
-1.144755223,-1.094140682,0.558065245,0.901951207
-1.239513064,-0.987791338,0.220530874,1.039248771
0.813221749,0.925016456,0.142945592,-1.396721879
0.961449401,0.863564322,0.292504855,-1.455919264
0.52649729,0.86216355,0.146519416,-1.281711255
0.7731766,1.083521869,0.012795048,-0.678409754
1.605691107,0.472847492,-0.107376799,-0.924421311
1.091017854,0.697563324,0.541997041,-1.479346511
0.772244264,1.028733981,0.397865103,-1.148888924
0.810170703,1.095535965,0.139079549,-1.236361458
0.493378136,0.847021064,0.485986529,-1.284512552
0.766777552,1.109666057,0.057528576,-1.211008083
0.678872338,0.934313335,-0.152490576,-1.021292505
0.658575164,1.105487931,-0.003765234,-1.12510113
1.101551372,0.787203398,0.393000681,-1.61204018
1.270730418,0.855176802,0.003359036,-1.341362346
1.329390684,0.88015672,0.245150098,-1.451750477
1.254923782,0.661857515,-0.00108681,-1.263493373
0.700927083,0.989622191,0.053427887,-1.2300686
0.505778193,1.107477865,0.857780488,-1.15543191
0.771347966,0.817602084,0.462121961,-1.50465201
0.825836016,1.033055017,0.080782675,-1.379228939
0.303777206,1.317941041,0.000887697,-1.10386437
0.29779806,1.374467151,-0.113057637,-0.836548918
-1.20372979,-0.635642342,-0.387981005,1.291231944
-0.818246687,-0.652653575,-0.578685824,0.97408368
-0.653143658,-0.682595521,-0.309684274,0.996756753
-1.01543986,-0.801340815,-0.269682372,1.022609414
-0.962673957,-1.025741986,-0.071747621,0.977298372
-0.117081158,-0.87773172,0.397555458,0.364292523
-0.557273454,-0.818742518,0.862843255,0.27545482
0.58254758,0.466027113,-0.329972623,-0.960599346
0.292379873,0.886150668,1.307150868,-1.305093257
0.046360072,0.180489617,1.054203814,-1.289901003
1.293678937,0.855463786,0.30158645,-1.643300045
0.612098348,0.331620871,0.176072411,-1.230542663
-0.42579232,0.006444993,1.702714403,-0.876389796
