Naive,NPP5,SUB,SPP7
-1.114480794,-1.064452573,0.530885489,0.733076052
-1.197169791,-0.99980725,0.131619057,1.070579301
-0.756265824,-0.851041808,0.322352841,0.81811181
-0.544901957,-1.045705622,-0.047223462,1.235966498
-1.025024068,-1.005187112,-0.268347712,1.512333201
-0.528435314,-0.965861435,-0.531668241,1.42754915
-0.879978567,-0.939601082,0.457896689,0.952207339
-0.413399131,-0.961397531,-0.027138949,0.849908872
1.050579435,0.948656306,0.199466622,-1.57750002
0.332653565,1.227148252,-0.154757546,-0.842797261
1.214807802,0.73524419,0.194075164,-1.29267039
-0.83037329,-0.960579456,0.237753648,0.847770856
-0.833920254,-0.701667444,-0.33269836,0.889127322
-0.794800945,-0.918785913,0.479950422,0.671773256
-0.752040062,-0.598345111,-0.65170274,1.122194532
-0.850584046,-0.482216239,-0.617195587,0.96781219
-0.757248584,-0.705222457,-0.409537667,1.297889137
-0.413551094,-0.924621018,0.110228922,1.072454042
-1.078292031,-0.574576164,-0.004419796,1.152753429
0.168307109,0.729486917,1.263962179,-1.716642988
0.976827891,0.607063618,0.725665131,-1.66178207
