,gene,Geneid,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
Fam171b_1,Fam171b,Fam171b_1,Down,-5.65138184115958,6.85050491736392e-111,-622.580396942269
ENSMUSG00000097580,ENSMUSG00000097580,ENSMUSG00000097580,Down,-5.36778826728622,1.43345291493232e-110,-589.617276249392
Wdr37_1,Wdr37,Wdr37_1,Down,-4.11643405386401,1.15125935310509e-143,-588.39825437608
Nr2e1_1,Nr2e1,Nr2e1_1,Down,-5.03243788664469,8.40122206909827e-115,-574.078660925326
Upb1_1,Upb1,Upb1_1,Down,-5.45736480252745,7.69276930374362e-106,-573.644992481322
Gm6493_1,Gm6493,Gm6493_1,Down,-4.09303373038856,6.30230404316207e-121,-491.984703565587
ENSMUSG00000093573,ENSMUSG00000093573,ENSMUSG00000093573,Down,-4.23932497116905,5.86908409763972e-114,-480.02482731048
3830408C21Rik_5,3830408C21Rik,3830408C21Rik_5,Down,-3.80740001739318,6.08725379360495e-123,-465.323596053059
Tgfbi_1,Tgfbi,Tgfbi_1,Down,-4.43933173793485,5.03134325186703e-105,-463.014824666877
ENSMUSG00000089822_2,ENSMUSG00000089822,ENSMUSG00000089822_2,Down,-4.47116592007814,2.58652585903658e-102,-454.213598446877
Tox_4,Tox,Tox_4,Down,-4.72509087548718,1.09893524646877e-95,-448.690036261906
ENSMUSG00000085819,ENSMUSG00000085819,ENSMUSG00000085819,Down,-4.85318430222255,3.56876528915101e-92,-443.811484187252
Atp2b1_5,Atp2b1,Atp2b1_5,Down,-4.83230946183847,1.15948827251269e-91,-439.429606085942
Echdc2_1,Echdc2,Echdc2_1,Down,-4.06455702288906,1.35122503490687e-108,-438.440808349768
1700123O12Rik_1,1700123O12Rik,1700123O12Rik_1,Down,-3.71080620702056,2.27801560591793e-116,-429.126696411371
Csnka2ip_1,Csnka2ip,Csnka2ip_1,Down,-4.57192390689219,1.39943592909634e-92,-419.949713333625
Nck2,Nck2,Nck2,Down,-5.72005668945086,4.756025390441e-74,-419.410320005993
1700017N19Rik,1700017N19Rik,1700017N19Rik,Down,-4.78712253091784,1.22975513357664e-87,-416.049687334579
Gtf3c3,Gtf3c3,Gtf3c3,Down,-4.99914881317111,9.35116483722994e-84,-415.07499813163
Kcnh8,Kcnh8,Kcnh8,Down,-4.72889009663058,7.06085010409591e-85,-397.941506791212
Gm23220,Gm23220,Gm23220,Down,-5.5858956423056,4.05809024777521e-71,-393.200569064572
Cblb_1,Cblb,Cblb_1,Down,-4.80718250069977,6.30528338806692e-82,-390.34463904799
Eipr1_4,Eipr1,Eipr1_4,Down,-4.31678271985498,1.63053867072925e-89,-383.277074829805
Dock4_2,Dock4,Dock4_2,Down,-3.25883812583553,4.3661974753014e-116,-375.939229316668
Rcan1,Rcan1,Rcan1,Down,-4.68698620239382,7.95172050707954e-80,-370.738447408349
Reps1,Reps1,Reps1,Down,-4.30776014562868,2.17661535415523e-86,-369.012290028758
ENSMUSG00000098086,ENSMUSG00000098086,ENSMUSG00000098086,Down,-4.4374897672026,1.1827072507156e-83,-367.988258585371
Atp6v0d2_3,Atp6v0d2,Atp6v0d2_3,Down,-4.66994778587057,1.9163689353397e-79,-367.606712332236
Tmtc4_1,Tmtc4,Tmtc4_1,Down,-3.81172155324497,3.69414749642913e-97,-367.57378443659
Lpcat3,Lpcat3,Lpcat3,Down,-4.94896070360705,1.30779545315828e-73,-360.697380358348
Gm5303_1,Gm5303,Gm5303_1,Down,-5.75153028040465,3.53230939660065e-62,-353.442700965952
Gm5709,Gm5709,Gm5709,Down,-4.28584093085042,3.69772810795551e-83,-353.290718300608
ENSMUSG00000092986,ENSMUSG00000092986,ENSMUSG00000092986,Down,-4.53250206033886,4.22287021874338e-77,-346.167090300599
Ckmt2_1,Ckmt2,Ckmt2_1,Down,-4.80548541148356,1.27050001758061e-72,-345.495300841037
ENSMUSG00000100078_2,ENSMUSG00000100078,ENSMUSG00000100078_2,Down,-4.66198274047223,8.25948509115283e-75,-345.373886598732
Klre1_1,Klre1,Klre1_1,Down,-2.75465532524973,6.08725379360495e-123,-336.661794394152
ENSMUSG00000104337,ENSMUSG00000104337,ENSMUSG00000104337,Down,-2.7574090861398,1.61927740020913e-121,-333.069315093569
Cdhr3,Cdhr3,Cdhr3,Down,-5.24846552035401,2.3597204906879e-63,-328.696381969519
Rpl34-ps1,Rpl34-ps1,Rpl34-ps1,Down,-4.72560307260959,5.91706197924e-70,-327.143548037227
Fam131b,Fam131b,Fam131b,Down,-3.31089622427089,1.61014434187364e-99,-327.093818283672
Mir1258,Mir1258,Mir1258,Down,-4.53333323260742,8.40078663450209e-72,-322.209742380358
Vmn2r94,Vmn2r94,Vmn2r94,Down,-5.23930204538903,1.07717144924317e-60,-314.188972727658
ENSMUSG00000098391,ENSMUSG00000098391,ENSMUSG00000098391,Down,-3.86800829832927,1.19309449960992e-81,-313.01209323362
Rfx4_2,Rfx4,Rfx4_2,Down,-4.47073756668711,1.3204102456556e-70,-312.411971918805
ENSMUSG00000071040_1,ENSMUSG00000071040,ENSMUSG00000071040_1,Down,-4.33309130522621,3.5985571052934e-72,-309.572818846545
Akap6,Akap6,Akap6,Down,-5.03998649465509,1.44548346210801e-61,-306.632712173718
Trat1_2,Trat1,Trat1_2,Down,-4.73827433986365,5.88796331152208e-65,-304.339526237931
Pkp4,Pkp4,Pkp4,Down,-3.46234150041182,8.59110761588069e-88,-301.452054868822
Tmem131l_2,Tmem131l,Tmem131l_2,Down,-3.8402244697501,1.41556496594268e-77,-295.117679837807
Atp6v0d2,Atp6v0d2,Atp6v0d2,Down,-2.83898272571585,1.27946531889478e-102,-289.272385908051
Gm5303,Gm5303,Gm5303,Down,-4.87234544986207,4.69567648066795e-60,-289.067981481322
2610044O15Rik8,2610044O15Rik8,2610044O15Rik8,Down,-4.14850188263356,3.42334925843325e-70,-288.177959936892
Upb1,Upb1,Upb1,Down,-4.09775517461827,1.74793340695277e-69,-281.751299455223
Dipk1a,Dipk1a,Dipk1a,Down,-4.27510735839845,1.10290062904298e-65,-277.700130685851
ENSMUSG00000094906_1,ENSMUSG00000094906,ENSMUSG00000094906_1,Down,-4.9091023765473,4.50126029670277e-57,-276.611551343558
ENSMUSG00000088683_1,ENSMUSG00000088683,ENSMUSG00000088683_1,Down,-4.68498744393663,1.37471568062197e-59,-275.766733554636
Strn_4,Strn,Strn_4,Down,-4.74789580253632,1.09685131312741e-58,-275.187339168239
