,gene,Geneid,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
ENSMUSG00000067063,ENSMUSG00000067063,ENSMUSG00000067063,Up,6.16562545893236,6.65902688953452e-134,821.116969098883
Wfs1_2,Wfs1,Wfs1_2,Up,6.69301531527585,8.22533695730972e-123,817.115746061067
Tsen2_3,Tsen2,Tsen2_3,Up,6.02735811821256,3.49140760263202e-131,786.311054692925
4933402J07Rik_2,4933402J07Rik,4933402J07Rik_2,Up,5.6957617942776,2.27895597766624e-113,641.583504076409
Fbxo48,Fbxo48,Fbxo48,Up,5.84699394831346,9.18769420755123e-110,637.537471549644
Raf1,Raf1,Raf1,Up,4.72071720687922,2.8868311142479e-132,620.961152189
ENSMUSG00000096463_1,ENSMUSG00000096463,ENSMUSG00000096463_1,Up,6.30299876620362,1.59907683661249e-95,597.499894639005
Vrk1,Vrk1,Vrk1,Up,6.56494629935473,1.08658978926759e-88,577.478505487077
Ppp4r2,Ppp4r2,Ppp4r2,Up,4.68403599280032,8.37851207642664e-121,562.444208142017
Adrb1_1,Adrb1,Adrb1_1,Up,3.74061905518422,7.63743017274486e-146,542.827612739042
ENSMUSG00000098308,ENSMUSG00000098308,ENSMUSG00000098308,Up,6.16095505484667,1.71756065061298e-88,540.716762048467
Hectd4,Hectd4,Hectd4,Up,6.35149418272262,1.72561185184793e-85,538.372062715332
ENSMUSG00000102297,ENSMUSG00000102297,ENSMUSG00000102297,Up,5.03158292374849,2.02289161118231e-107,536.839846264344
ENSMUSG00000095052,ENSMUSG00000095052,ENSMUSG00000095052,Up,5.71187061003962,5.21722596629355e-94,532.817914908923
Cox7a2l,Cox7a2l,Cox7a2l,Up,6.16774370642075,2.51522175807151e-85,521.787563208049
ENSMUSG00000103911_9,ENSMUSG00000103911,ENSMUSG00000103911_9,Up,5.26241446232256,5.5214091466201e-99,517.074057484662
ENSMUSG00000082460,ENSMUSG00000082460,ENSMUSG00000082460,Up,5.44037955079599,5.37288801060168e-95,512.863449805353
Gm5441_1,Gm5441,Gm5441_1,Up,4.40295845655479,8.99476245096659e-117,510.945762407564
Il20,Il20,Il20,Up,3.88549578403034,2.57616234503761e-131,507.403112963255
Il19,Il19,Il19,Up,6.51821529061106,1.88751606431535e-78,506.622477971794
Rpl6l,Rpl6l,Rpl6l,Up,4.35419527458399,5.71667087288071e-117,506.144097829709
Osbpl3_1,Osbpl3,Osbpl3_1,Up,5.2793115522589,1.77090232819198e-96,505.503612350855
Serpinb9e,Serpinb9e,Serpinb9e,Up,4.79213120616727,4.03332607768669e-106,505.063489688834
Zbtb25_1,Zbtb25,Zbtb25_1,Up,6.66182404913758,2.5253611552311e-75,496.956595344645
Prkce,Prkce,Prkce,Up,5.62116557923406,6.51183623190535e-88,490.088609036352
ENSMUSG00000095504,ENSMUSG00000095504,ENSMUSG00000095504,Up,4.50639643945195,5.54433993183712e-108,483.338733146774
ENSMUSG00000087066_2,ENSMUSG00000087066,ENSMUSG00000087066_2,Up,4.81731259378296,2.17966602205715e-100,480.101129190291
ENSMUSG00000101674,ENSMUSG00000101674,ENSMUSG00000101674,Up,4.73378473352311,5.00388731367036e-101,474.801886819241
Kcne2,Kcne2,Kcne2,Up,6.49268980346729,8.10514608584616e-74,474.558743172065
Il22b_1,Il22b,Il22b_1,Up,6.27480408038284,2.89920150959809e-75,467.709599624745
Il31ra,Il31ra,Il31ra,Up,5.16272010620142,1.00506272419737e-89,459.47076674891
Ano5,Ano5,Ano5,Up,6.02409515555255,1.6124242859945e-76,456.581356590552
