gene,Geneid,dfin_log2FC,dfin_padj,dfin_Change Metric
Fam171b,Fam171b_1,-3.859918355,3.22E-66,-252.7939734
Slc6a20b,Slc6a20b_1,-3.767311852,9.46E-50,-184.6896849
Hps3,Hps3,-5.733257765,3.14E-32,-180.6152824
Gm5303,Gm5303_1,-4.479050583,1.49E-40,-178.3812497
Gm5303,Gm5303,-3.832761162,5.47E-40,-150.4815286
ENSMUSG00000096832,ENSMUSG00000096832,-4.556177955,2.44E-29,-130.3624377
Fam3c,Fam3c_3,-4.743452587,3.79E-28,-130.0693198
ENSMUSG00000101269,ENSMUSG00000101269_1,-3.72423761,7.05E-33,-119.7418505
Pkd1l3,Pkd1l3_1,-3.773628748,3.87E-31,-114.7667467
ENSMUSG00000100522,ENSMUSG00000100522,-3.385426333,3.40E-34,-113.3073507
ENSMUSG00000078289,ENSMUSG00000078289,-3.942949536,1.09E-27,-106.3142615
Ccdc152,Ccdc152_1,-3.755887013,2.65E-28,-103.5759738
Zfp704,Zfp704,-3.796823029,6.35E-28,-103.2633514
Gm22501,Gm22501,-4.194897563,8.50E-25,-100.9737703
Dock9,Dock9_3,-3.726598745,5.65E-25,-90.36201181
Hp,Hp,-4.307982288,1.38E-21,-89.86325151
Sim2,Sim2,-4.483042382,9.20E-21,-89.82390505
ENSMUSG00000071040,ENSMUSG00000071040_1,-2.726849016,1.51E-33,-89.50077324
Fbxo15,Fbxo15_1,-4.089560146,8.33E-22,-86.20487811
Akap6,Akap6,-3.02467652,8.77E-29,-84.86339729
Reep1,Reep1,-3.934370542,3.11E-22,-84.61713032
Kcnk2,Kcnk2_1,-3.486886231,1.30E-24,-83.29112701
9130015L21Rik,9130015L21Rik,-4.289920461,2.19E-19,-80.04557401
Fbxo34,Fbxo34,-3.825528333,8.70E-21,-76.74103114
Cntn5,Cntn5_5,-4.244575444,1.62E-18,-75.51630676
Gm9949,Gm9949,-3.382849362,7.95E-23,-74.75983929
Gm16130,Gm16130,-4.094376362,5.82E-19,-74.66195343
Pdx1,Pdx1,-2.780733927,3.69E-27,-73.50410095
Got1l1,Got1l1,-3.87416191,6.15E-19,-70.55417886
Rtn4rl1,Rtn4rl1,-2.416988656,2.26E-28,-66.81894806
Ube2s,Ube2s_1,-3.6642937,6.85E-19,-66.55924628
ENSMUSG00000081490,ENSMUSG00000081490,-3.02696215,1.77E-22,-65.84060078
Trub1,Trub1,-3.807134218,6.75E-18,-65.37109961
Dhodh,Dhodh,-3.37118963,6.37E-20,-64.71204757
Eef2kmt,Eef2kmt_1,-2.998161366,1.41E-21,-62.51275846
