gene,Geneid,dfin_log2FC,dfin_padj,dfin_Change Metric
Ppp4r2,Ppp4r2,5.623034129,7.47E-174,973.4968799
Fbxo48,Fbxo48,6.068088143,4.95E-117,705.7539038
Wfs1,Wfs1_2,6.272694214,7.98E-107,665.5188964
Dmrta1,Dmrta1,4.964331713,1.38E-123,609.9126919
ENSMUSG00000099538,ENSMUSG00000099538,6.128876469,7.66E-98,595.2116958
ENSMUSG00000102694,ENSMUSG00000102694,4.339877037,4.63E-133,574.3153038
Ext1,Ext1_4,5.74498516,7.75E-95,540.6653692
Tmem200a,Tmem200a_1,4.758142088,1.65E-106,503.3276591
ENSMUSG00000096463,ENSMUSG00000096463_1,5.957581764,4.60E-84,496.4898536
ENSMUSG00000101897,ENSMUSG00000101897,6.25498347,5.75E-74,458.1174372
ENSMUSG00000101674,ENSMUSG00000101674,4.636696701,2.17E-95,438.9267963
Vrk1,Vrk1,5.875057772,8.19E-70,405.887564
Il20,Il20,3.632234755,7.91E-112,403.5475759
ENSMUSG00000087066,ENSMUSG00000087066_2,4.569750325,8.70E-89,402.4135326
Fdx1,Fdx1_1,3.850360129,3.91E-102,390.455961
Serpinb9e,Serpinb9e,4.415506375,4.71E-88,385.5927809
Gpr19,Gpr19_1,3.934633595,4.97E-96,374.9861201
Gm25344,Gm25344_1,3.363431943,7.92E-112,373.6808537
Gm40855;Itgb1bp1,Gm40855;Itgb1bp1,5.643447608,9.83E-67,372.5098582
Arl8b,Arl8b,5.340624051,3.68E-69,365.4805411
Klrg1,Klrg1_1,5.579691558,8.07E-66,363.1991568
Atp10a,Atp10a_3,4.758025807,4.84E-75,353.5928955
Smndc1,Smndc1_1,5.905078194,6.69E-60,349.4313967
4933402J07Rik,4933402J07Rik,5.082921332,3.69E-69,347.8396692
4933402J07Rik,4933402J07Rik_2,4.682930911,1.66E-74,345.5102024
Il22b,Il22b_1,5.625743382,2.55E-59,329.6347273
Ostn,Ostn,4.669236971,2.34E-70,325.1206813
ENSMUSG00000094530,ENSMUSG00000094530,5.85821958,1.62E-54,315.1173013
G6pc2,G6pc2,4.574175682,2.00E-69,314.2425143
ENSMUSG00000085289,ENSMUSG00000085289,4.385089731,1.09E-67,293.6362799
ENSMUSG00000087066,ENSMUSG00000087066,5.211713516,4.63E-57,293.5997356
ENSMUSG00000096021,ENSMUSG00000096021_1,5.535614366,5.98E-53,289.0867451
ENSMUSG00000093106,ENSMUSG00000093106,5.279386824,3.48E-55,287.5057455
ENSMUSG00000043498,ENSMUSG00000043498_2,4.79906505,6.28E-60,284.1141045
ENSMUSG00000086838,ENSMUSG00000086838_1,5.051540771,1.37E-55,277.1390687
Gm15511,Gm15511_1,6.38846935,8.71E-44,275.0877896
Cnot1,Cnot1,5.255556727,4.26E-52,269.9792291
Cspg4b,Cspg4b,5.386935722,1.27E-50,268.7816602
Il31ra,Il31ra,4.35832884,3.56E-62,267.8105359
Nsmaf,Nsmaf_1,4.26828286,4.17E-61,257.7194885
ENSMUSG00000094523,ENSMUSG00000094523_1,4.744566294,4.91E-54,252.9268331
4933402J07Rik,4933402J07Rik_1,4.484616048,4.56E-57,252.6670537
Eef1e1,Eef1e1_1,4.56644817,8.20E-56,251.5472006
St3gal6,St3gal6_2,4.332256886,2.64E-58,249.4422342
Gm22319,Gm22319_1,4.981518005,1.36E-50,248.4066253
ENSMUSG00000094452,ENSMUSG00000094452_1,4.735106168,9.09E-53,246.4227745
Ano5,Ano5,4.927890072,2.71E-50,244.2632991
