,condition,type
N1_a,Naive,paired-end
N1_b,Naive,paired-end
N2_a,Naive,paired-end
N2_b,Naive,paired-end
N3_a,Naive,paired-end
N3_b,Naive,paired-end
NPP1_B_a,NPP_B,paired-end
NPP1_B_b,NPP_B,paired-end
NPP2_B_a,NPP_B,paired-end
NPP2_B_b,NPP_B,paired-end
NPP3_B_a,NPP_B,paired-end
NPP3_B_b,NPP_B,paired-end
NPP1_5_a,NPP_C5,paired-end
NPP1_5_b,NPP_C5,paired-end
NPP2_5_a,NPP_C5,paired-end
NPP2_5_b,NPP_C5,paired-end
NPP3_5_a,NPP_C5,paired-end
NPP3_5_b,NPP_C5,paired-end
SUB1_a,SUB,paired-end
SUB1_b,SUB,paired-end
SUB2_a,SUB,paired-end
SUB2_b,SUB,paired-end
SUB3_a,SUB,paired-end
SUB3_b,SUB,paired-end
SUB4_a,SUB,paired-end
SUB4_b,SUB,paired-end
SPP1_B_a,SPP_B,paired-end
SPP1_B_b,SPP_B,paired-end
SPP2_B_a,SPP_B,paired-end
SPP3_B_a,SPP_B,paired-end
SPP4_B_a,SPP_B,paired-end
SPP4_B_b,SPP_B,paired-end
SPP5_B_a,SPP_B,paired-end
SPP5_B_b,SPP_B,paired-end
SPP6_B_a,SPP_B,paired-end
SPP6_B_b,SPP_B,paired-end
SPP1_5_a,SPP_C5,paired-end
SPP1_5_b,SPP_C5,paired-end
SPP2_5_a,SPP_C5,paired-end
SPP3_5_a,SPP_C5,paired-end
SPP4_5_a,SPP_C5,paired-end
SPP4_5_b,SPP_C5,paired-end
SPP5_5_a,SPP_C5,paired-end
SPP5_5_b,SPP_C5,paired-end
SPP6_5_a,SPP_C5,paired-end
SPP6_5_b,SPP_C5,paired-end
SPP1_7_a,SPP_C7,paired-end
SPP1_7_b,SPP_C7,paired-end
SPP2_7_a,SPP_C7,paired-end
SPP3_7_a,SPP_C7,paired-end
SPP4_7_a,SPP_C7,paired-end
SPP4_7_b,SPP_C7,paired-end
SPP5_7_a,SPP_C7,paired-end
SPP5_7_b,SPP_C7,paired-end
SPP6_7_a,SPP_C7,paired-end
SPP6_7_b,SPP_C7,paired-end
