Geneid,Up in N+P vs. N,Up in S+P vs. S,,,,Down in N+P vs. N,Down in S+P vs. S
ENSMUSG00000004032,0.540937181,3.514516923,,,ENSMUSG00000000617,-0.152046064,-1.258081239
ENSMUSG00000113581,1.702130562,2.912469757,,,ENSMUSG00000023927,0.058632237,-1.070537784
ENSMUSG00000027962,1.705844181,2.848933856,,,ENSMUSG00000036172,0.403263385,-0.752551889
ENSMUSG00000118437,1.280915036,2.375982469,,,ENSMUSG00000100798,-0.449521314,-0.625067204
ENSMUSG00000115735,0.40226212,1.500155336,,,ENSMUSG00000037594,-0.147944799,-0.295476544
ENSMUSG00000042828,-0.526714448,1.31865827,,,ENSMUSG00000020256,0.226433028,-0.17460451
ENSMUSG00000047562,0.12197792,1.210329211,,,,,
ENSMUSG00000086152,-0.070152892,1.17310242,,,,,
ENSMUSG00000026700,0.5322217,0.977806602,,,,,
ENSMUSG00000037211,0.971225717,0.930518506,,,,,
ENSMUSG00000039114,-0.134141281,0.901725054,,,,,
ENSMUSG00000058297,-0.411838068,0.71651956,,,,,
ENSMUSG00000022793,-0.139347139,0.629837252,,,,,
ENSMUSG00000026009,-0.109377032,0.59165876,,,,,
ENSMUSG00000109759,0.074911676,0.5674648,,,,,
ENSMUSG00000019843,0.145984048,0.542367614,,,,,
ENSMUSG00000111828,-0.031678463,0.517803157,,,,,
ENSMUSG00000026393,0.501374768,0.474381692,,,,,
ENSMUSG00000110697,-0.373870529,0.442331302,,,,,
ENSMUSG00000117250,-0.112833866,0.417742756,,,,,
ENSMUSG00000033016,-0.00616364,0.407159144,,,,,
ENSMUSG00000007021,-0.233717191,0.298074739,,,,,
ENSMUSG00000020454,0.005697177,0.295970596,,,,,
ENSMUSG00000038180,-0.362808312,0.29251515,,,,,
ENSMUSG00000000125,-0.370156635,0.28760419,,,,,
ENSMUSG00000001555,-0.105876118,0.286365051,,,,,
ENSMUSG00000018451,-0.139982096,0.261761201,,,,,
ENSMUSG00000050822,-0.393497034,0.258039399,,,,,
ENSMUSG00000029075,-0.289735377,0.255059712,,,,,
ENSMUSG00000097604,-0.561618854,0.244705547,,,,,
ENSMUSG00000034258,-0.250732002,0.226812588,,,,,
ENSMUSG00000068923,-0.414643069,0.224064292,,,,,
ENSMUSG00000030124,-0.006013182,0.221947702,,,,,
ENSMUSG00000111739,-0.310939468,0.210324501,,,,,
ENSMUSG00000021109,0.120464053,0.201607224,,,,,
ENSMUSG00000014846,-0.148866507,0.201307726,,,,,
ENSMUSG00000018919,-0.374220836,0.198969838,,,,,
ENSMUSG00000006310,-0.172342674,0.191933708,,,,,
ENSMUSG00000092622,0.007128916,0.188350131,,,,,
ENSMUSG00000035067,-0.069946741,0.188051046,,,,,
ENSMUSG00000034573,-0.125383449,0.17224983,,,,,
ENSMUSG00000034634,-0.073404264,0.152062652,,,,,
ENSMUSG00000005124,-0.126937662,0.143199027,,,,,
ENSMUSG00000039013,0.260674444,0.130473039,,,,,
ENSMUSG00000030122,-0.023534831,0.122116015,,,,,
ENSMUSG00002075479,-0.246277487,0.090430515,,,,,
ENSMUSG00000034394,-0.194410545,0.081771757,,,,,
ENSMUSG00000051998,0.143234425,0.068517601,,,,,
ENSMUSG00000097223,-0.130337659,0.060443193,,,,,
ENSMUSG00000008496,0.070901824,0.054724641,,,,,
ENSMUSG00000028601,-0.138517356,0.046593945,,,,,
ENSMUSG00000022876,0.277071137,0.038977863,,,,,
ENSMUSG00000031342,0.173118229,0.02742822,,,,,
ENSMUSG00000040899,-0.008385016,0.023326874,,,,,
ENSMUSG00000059866,-0.300570877,0.0198556,,,,,
ENSMUSG00000017453,-0.421907371,0.01499922,,,,,
ENSMUSG00000040841,-0.053295566,0.005995709,,,,,
