Symbol	Rank	ES	Core_enrichment	Plot
NA	0	0	FALSE	FALSE
PARD6B	220	0.6269728	TRUE	FALSE
NT5E	800	0.39007825	FALSE	FALSE
HS3ST3B1	900	0.3575249	FALSE	FALSE
THY1	970	0.33530027	FALSE	FALSE
BCOR	996	0.3311181	FALSE	FALSE
KBTBD11	1045	0.3151787	FALSE	FALSE
ADAT1	1443	0.13980512	FALSE	FALSE
RAC2	1463	0.13160744	FALSE	FALSE
ATP1B3	1505	0.113481216	FALSE	FALSE
CCM2	1510	0.111755215	FALSE	FALSE
COMMD8	1511	0.11179953	FALSE	FALSE
HSPBP1	1532	0.10312311	FALSE	FALSE
PSMG1	1542	0.099416874	FALSE	FALSE
ADGRG5	1606	0.072509505	FALSE	FALSE
EMB	1608	0.07304994	FALSE	FALSE
GALNT10	1622	0.06851557	FALSE	FALSE
EPM2AIP1	1635	0.064564645	FALSE	FALSE
DPH5	1663	0.054429837	FALSE	FALSE
RPL17	1667	0.055024076	FALSE	FALSE
CCT6A	1669	0.056555912	FALSE	FALSE
RPL29	1705	0.043702688	FALSE	FALSE
CCT4	1725	0.038427185	FALSE	FALSE
RPS25	1734	0.038231637	FALSE	FALSE
MGAT4A	1753	0.03404056	FALSE	FALSE
TDRP	1766	0.033039346	FALSE	FALSE
TLE1	1793	0.026753541	FALSE	FALSE
TXNIP	1798	0.030447809	FALSE	FALSE
RPL34	1807	0.032666545	FALSE	FALSE
SELL	1808	0.038538378	FALSE	FALSE
HSP90AB1	1811	0.043608483	FALSE	FALSE
BBC3	1832	0.041989315	FALSE	FALSE
LEF1	1867	0.035987947	FALSE	TRUE
EPSTI1	1873	0.04360675	FALSE	FALSE
CCR7	1885	0.049318694	FALSE	TRUE
PIK3IP1	1901	0.054869022	FALSE	FALSE
ANAPC5	1930	0.056821223	FALSE	FALSE
DNAJC15	1934	0.07052605	FALSE	FALSE
RRAS2	1968	0.07638368	FALSE	FALSE
RPLP1	2005	0.086512595	FALSE	TRUE
SATB1	2027	0.12035394	FALSE	TRUE
