Symbol	Rank	ES	Core_enrichment	Plot
NA	0	0	FALSE	FALSE
PRR5L	0	0.15325014	TRUE	FALSE
TNFSF4	1	0.28779966	TRUE	TRUE
PLSCR4	3	0.38115728	TRUE	FALSE
PENK	7	0.4632112	TRUE	FALSE
ENPP2	8	0.54221636	TRUE	FALSE
B4GALT4	12	0.6048284	TRUE	FALSE
MAP6	18	0.6552349	TRUE	FALSE
IL10	26	0.6970141	TRUE	TRUE
CCRL2	33	0.73400813	TRUE	TRUE
HMGN3	62	0.7436997	TRUE	FALSE
TMPRSS13	88	0.7492715	TRUE	FALSE
ENTPD1	91	0.7651809	TRUE	FALSE
FAM81A	103	0.7753787	TRUE	FALSE
HIP1	115	0.7842339	TRUE	FALSE
SPIN4	130	0.78997976	TRUE	FALSE
MYO1E	149	0.79185677	TRUE	FALSE
LAG3	165	0.79394394	TRUE	TRUE
RNF128	173	0.7991582	TRUE	FALSE
IL21	228	0.78034854	FALSE	FALSE
PDCD1	235	0.7834431	FALSE	FALSE
SOSTDC1	240	0.78738445	FALSE	FALSE
KCNIP3	271	0.7785809	FALSE	FALSE
PLSCR1	296	0.77227277	FALSE	FALSE
GLP1R	321	0.76557857	FALSE	FALSE
CASP4	333	0.76445526	FALSE	FALSE
PTPN13	338	0.7664344	FALSE	FALSE
EEA1	344	0.7676507	FALSE	FALSE
XCL1	349	0.76920927	FALSE	FALSE
GCNT1	353	0.7711456	FALSE	FALSE
PBX3	360	0.7715171	FALSE	FALSE
NAPSA	366	0.77224517	FALSE	FALSE
SPRY2	383	0.76747763	FALSE	FALSE
SH3YL1	387	0.7686127	FALSE	FALSE
TIGIT	393	0.76866186	FALSE	FALSE
IL10RA	399	0.76866823	FALSE	FALSE
TMEM159	402	0.7699601	FALSE	FALSE
CD38	411	0.7683779	FALSE	FALSE
ALCAM	415	0.7690678	FALSE	FALSE
MDFIC	426	0.76637614	FALSE	FALSE
ATXN1	428	0.7678011	FALSE	FALSE
TJP2	430	0.769177	FALSE	FALSE
ITGB8	437	0.7681347	FALSE	FALSE
DCLK2	447	0.7656319	FALSE	FALSE
IKZF3	453	0.76487535	FALSE	FALSE
NDNF	470	0.75888026	FALSE	FALSE
OSBPL3	474	0.7588176	FALSE	FALSE
APOBEC2	476	0.75966686	FALSE	FALSE
MAP2	477	0.7609607	FALSE	FALSE
IL2RB	497	0.75332785	FALSE	FALSE
LGALS3	499	0.7539367	FALSE	FALSE
LCLAT1	507	0.7517517	FALSE	FALSE
CTLA4	509	0.7523096	FALSE	FALSE
TOX	514	0.75144607	FALSE	FALSE
IL7	520	0.7500881	FALSE	FALSE
CIB2	521	0.75101835	FALSE	FALSE
LAX1	530	0.74821264	FALSE	FALSE
ILDR1	535	0.7472207	FALSE	FALSE
PTGER4	552	0.74060315	FALSE	FALSE
CASP3	553	0.7413135	FALSE	FALSE
PTGER2	559	0.7396995	FALSE	FALSE
VCAN	572	0.7348195	FALSE	FALSE
CHST2	582	0.73126984	FALSE	FALSE
ITGAV	584	0.7313809	FALSE	FALSE
FYN	586	0.7314857	FALSE	FALSE
TOX2	588	0.7315876	FALSE	FALSE
TRPS1	589	0.73213565	FALSE	FALSE
CDC14A	603	0.72668236	FALSE	FALSE
PHACTR2	605	0.72673035	FALSE	FALSE
VPS54	614	0.7235546	FALSE	FALSE
CD200R1	616	0.7235795	FALSE	FALSE
ADAM19	620	0.7226703	FALSE	FALSE
PEX11A	623	0.7222109	FALSE	FALSE
PGLYRP1	626	0.72174186	FALSE	FALSE
TNIP3	638	0.7171127	FALSE	FALSE
CHN2	639	0.7175281	FALSE	FALSE
STK32C	641	0.71747774	FALSE	FALSE
STK39	653	0.7128081	FALSE	FALSE
PLXDC2	654	0.7131834	FALSE	FALSE
SAMSN1	662	0.71033204	FALSE	FALSE
UBASH3B	663	0.7106912	FALSE	FALSE
CRMP1	667	0.7096652	FALSE	FALSE
CHST11	669	0.70955646	FALSE	FALSE
SYT11	675	0.70759815	FALSE	FALSE
NSMAF	689	0.7019447	FALSE	FALSE
RYK	724	0.68658715	FALSE	FALSE
SLC22A15	756	0.67257327	FALSE	FALSE
IFI44	769	0.6672595	FALSE	FALSE
LITAF	777	0.6642323	FALSE	FALSE
RGS16	839	0.63639194	FALSE	FALSE
CXCL10	858	0.62825954	FALSE	FALSE
NAB1	861	0.62746465	FALSE	FALSE
KIF5C	911	0.6050775	FALSE	FALSE
GZMK	920	0.6014956	FALSE	FALSE
APAF1	921	0.60158336	FALSE	FALSE
ABR	928	0.59891546	FALSE	FALSE
HSPA4L	929	0.59899914	FALSE	FALSE
NR4A2	932	0.5981644	FALSE	FALSE
PREX1	971	0.5808039	FALSE	FALSE
CXCR5	980	0.5772004	FALSE	FALSE
ST6GALNAC3	1002	0.5676247	FALSE	FALSE
S100A11	1015	0.5621738	FALSE	FALSE
GXYLT1	1027	0.55717725	FALSE	FALSE
EIF2AK2	1066	0.53978735	FALSE	FALSE
TTN	1080	0.53386223	FALSE	FALSE
IRAK2	1104	0.5233457	FALSE	FALSE
VAMP8	1109	0.52154446	FALSE	FALSE
GFPT1	1115	0.51928324	FALSE	FALSE
IKZF2	1165	0.49683082	FALSE	FALSE
IFIH1	1182	0.48951346	FALSE	FALSE
TWSG1	1201	0.48127678	FALSE	FALSE
PPFIBP1	1238	0.464778	FALSE	FALSE
ART3	1252	0.45882848	FALSE	FALSE
LPCAT4	1379	0.4010356	FALSE	FALSE
ATMIN	1454	0.36709285	FALSE	FALSE
FAM185A	1966	0.13286294	FALSE	FALSE
GRB7	2002	0.117023386	FALSE	FALSE
ITIH5	2032	0.10417057	FALSE	FALSE
OPTN	2036	0.10328873	FALSE	FALSE
PRG2	2183	0.043767836	FALSE	FALSE
GPRC5A	2199	0.0458717	FALSE	FALSE
