Symbol	Rank	ES	Core_enrichment	Plot
NA	0	0	FALSE	FALSE
PRR5L	0	0.13206883	TRUE	FALSE
CCDC17	4	0.21049385	TRUE	FALSE
B4GALT4	12	0.26222998	TRUE	FALSE
SLCO4A1	19	0.3034739	TRUE	FALSE
COCH	21	0.34605783	TRUE	FALSE
IL10	26	0.38288233	TRUE	TRUE
PLA2G15	29	0.41930297	TRUE	FALSE
MAGED2	30	0.45537916	TRUE	FALSE
SLC9B2	31	0.4913558	TRUE	FALSE
CCRL2	33	0.5251218	TRUE	FALSE
ETV5	39	0.55058056	TRUE	FALSE
VSIG10	60	0.56051296	TRUE	FALSE
BSPRY	66	0.5766852	TRUE	FALSE
ENTPD1	91	0.57950175	TRUE	FALSE
SLC29A4	97	0.5909541	TRUE	FALSE
MRGPRE	105	0.6006713	TRUE	FALSE
AIFM2	108	0.6124732	TRUE	FALSE
KCTD11	113	0.6226391	TRUE	FALSE
GPRASP2	114	0.6346856	TRUE	FALSE
NAIP5	131	0.6372713	TRUE	FALSE
MYO1E	149	0.63772804	TRUE	FALSE
DRAM1	163	0.6392419	TRUE	FALSE
LAG3	165	0.6464835	TRUE	TRUE
CARD10	166	0.65413624	TRUE	FALSE
SEMA7A	171	0.65961593	TRUE	FALSE
SPP1	201	0.6515746	TRUE	FALSE
ADRB1	210	0.65327203	TRUE	FALSE
AKR1B8	214	0.65736675	TRUE	FALSE
NCMAP	226	0.6571744	TRUE	FALSE
IL21	228	0.6618246	TRUE	TRUE
PDCD1	235	0.6639422	TRUE	FALSE
SMIM10L2A	247	0.66337526	TRUE	FALSE
TUBG2	250	0.6671258	TRUE	FALSE
FAM83H	262	0.66620624	TRUE	FALSE
VAX2	267	0.6686105	TRUE	FALSE
TBC1D4	269	0.6724229	TRUE	FALSE
SYNGR3	280	0.6717648	TRUE	FALSE
PLSCR1	296	0.6685132	TRUE	FALSE
PTMS	297	0.67255926	TRUE	FALSE
GLP1R	321	0.66508025	FALSE	FALSE
CRB3	336	0.66160727	FALSE	FALSE
CAMK2A	343	0.66176903	FALSE	FALSE
GCNT1	353	0.660242	FALSE	FALSE
GABARAPL1	365	0.6575049	FALSE	FALSE
NAPSA	366	0.660109	FALSE	FALSE
IGHA	374	0.6591068	FALSE	FALSE
FASL	378	0.6600073	FALSE	FALSE
SPRY2	383	0.6602763	FALSE	FALSE
CACNA1D	385	0.6619942	FALSE	FALSE
SH3YL1	387	0.66367143	FALSE	FALSE
TIGIT	393	0.6632561	FALSE	FALSE
CD200	398	0.66329527	FALSE	FALSE
TMEM159	402	0.6637386	FALSE	FALSE
SERPINA3G	410	0.6621736	FALSE	FALSE
TNS1	416	0.6614936	FALSE	FALSE
SPRY1	419	0.6622614	FALSE	FALSE
MDFIC	426	0.6609738	FALSE	FALSE
TJP2	430	0.6610943	FALSE	FALSE
NLRX1	433	0.66167307	FALSE	FALSE
POU2F2	434	0.663192	FALSE	FALSE
INPPL1	439	0.6627115	FALSE	FALSE
DCLK2	447	0.6607045	FALSE	FALSE
ANXA4	454	0.6590869	FALSE	FALSE
TNFRSF4	456	0.65987366	FALSE	FALSE
ANKRD29	457	0.66114646	FALSE	FALSE
CAPG	462	0.66042596	FALSE	FALSE
PTPN11	464	0.66114527	FALSE	FALSE
MAP2	477	0.6564181	FALSE	FALSE
IL2RB	497	0.6481009	FALSE	FALSE
NRGN	500	0.648047	FALSE	FALSE
LCLAT1	507	0.6460101	FALSE	FALSE
CTLA4	509	0.6463993	FALSE	FALSE
RHOC	511	0.6467656	FALSE	FALSE
TOX	514	0.646629	FALSE	FALSE
CDCA2	518	0.64598024	FALSE	FALSE
SPOCK2	523	0.6448153	FALSE	FALSE
BCL2A1D	528	0.6436374	FALSE	FALSE
ILDR1	535	0.6414427	FALSE	FALSE
C1QTNF6	536	0.6421656	FALSE	FALSE
OSGIN1	539	0.64190423	FALSE	FALSE
ST14	541	0.6421133	FALSE	FALSE
CASP3	553	0.6373701	FALSE	FALSE
PTGER2	559	0.6355215	FALSE	FALSE
DAPK2	571	0.63070494	FALSE	FALSE
TOX2	588	0.62339836	FALSE	FALSE
TNFRSF1B	593	0.62191623	FALSE	FALSE
WLS	601	0.61894864	FALSE	FALSE
PBX4	608	0.616461	FALSE	FALSE
CAPNS1	612	0.61542684	FALSE	FALSE
CD200R1	616	0.6143831	FALSE	FALSE
PEX11A	623	0.6118566	FALSE	FALSE
HAVCR2	625	0.6117569	FALSE	FALSE
PGLYRP1	626	0.61214334	FALSE	FALSE
PDCD1LG2	630	0.6110659	FALSE	FALSE
CLIP2	631	0.61144847	FALSE	FALSE
SYNPO	632	0.61182946	FALSE	FALSE
CHN2	639	0.6092663	FALSE	FALSE
PTPN5	642	0.6086364	FALSE	FALSE
SERPINB6A	649	0.60604656	FALSE	FALSE
STK39	653	0.6049102	FALSE	FALSE
