Symbol	Rank	ES	Core_enrichment	Plot
PRR5L	0	0.20426545	TRUE	TRUE
CCDC17	3	0.3232819	TRUE	FALSE
SLCO4A1	12	0.37319833	TRUE	FALSE
PLA2G15	20	0.41497532	TRUE	FALSE
MAGED2	21	0.47085834	TRUE	FALSE
SLC9B2	22	0.5265934	TRUE	FALSE
CCRL2	24	0.57734925	TRUE	TRUE
ETV5	28	0.61366856	TRUE	FALSE
VSIG10	45	0.6073003	TRUE	FALSE
BSPRY	49	0.62924683	TRUE	FALSE
ENTPD1	67	0.6125493	TRUE	FALSE
MRGPRE	76	0.6144967	TRUE	FALSE
AIFM2	79	0.6297432	TRUE	FALSE
KCTD11	82	0.6439478	TRUE	FALSE
DRAM1	111	0.59164536	FALSE	FALSE
ADRB1	136	0.5450717	FALSE	FALSE
TUBG2	155	0.5109575	FALSE	FALSE
SMIM10L2A	156	0.51825917	FALSE	FALSE
VAX2	167	0.50185204	FALSE	FALSE
PLSCR1	174	0.49431694	FALSE	FALSE
GLP1R	179	0.49090248	FALSE	FALSE
GCNT1	193	0.4653988	FALSE	FALSE
GABARAPL1	201	0.4533484	FALSE	FALSE
NAPSA	202	0.4574138	FALSE	FALSE
FASL	206	0.4541742	FALSE	FALSE
SPRY2	211	0.448405	FALSE	FALSE
TMEM159	222	0.42828706	FALSE	FALSE
SERPINA3G	225	0.42654887	FALSE	FALSE
TNS1	231	0.41772202	FALSE	FALSE
MDFIC	232	0.4202671	FALSE	FALSE
TJP2	237	0.41351175	FALSE	FALSE
NLRX1	239	0.41355497	FALSE	FALSE
INPPL1	243	0.40884882	FALSE	FALSE
DCLK2	251	0.39481017	FALSE	FALSE
ANXA4	253	0.3945321	FALSE	FALSE
CAPG	255	0.3941433	FALSE	FALSE
ANKRD29	257	0.39374748	FALSE	FALSE
MAP2	269	0.3700541	FALSE	FALSE
IL2RB	278	0.35307008	FALSE	FALSE
RHOC	286	0.33820638	FALSE	FALSE
CDCA2	288	0.33710518	FALSE	FALSE
BCL2A1D	289	0.33830172	FALSE	FALSE
ILDR1	295	0.32787353	FALSE	FALSE
PTGER2	308	0.30109102	FALSE	FALSE
TNFRSF1B	315	0.2879807	FALSE	FALSE
WLS	319	0.28173733	FALSE	FALSE
CAPNS1	324	0.27316862	FALSE	FALSE
PGLYRP1	328	0.26685685	FALSE	FALSE
SERPINB6A	334	0.25582743	FALSE	FALSE
CTSB	338	0.2493738	FALSE	FALSE
UBASH3B	339	0.24983235	FALSE	FALSE
LBH	359	0.20625557	FALSE	FALSE
FCER1G	370	0.18465756	FALSE	FALSE
CFAP126	433	0.056623053	FALSE	FALSE
ADGRG1	442	0.05535338	FALSE	FALSE
DNAJC6	459	0.043313768	FALSE	FALSE
ADSSL1	460	0.06912441	FALSE	FALSE
