Symbol	Rank	ES	Core_enrichment	Plot
NA	0	0	FALSE	FALSE
TSPAN13	1043	-0.21884282	FALSE	FALSE
BCOR	1120	-0.23356678	FALSE	FALSE
PECAM1	1167	-0.24208432	FALSE	FALSE
TCF7	1353	-0.28044516	FALSE	FALSE
KBTBD11	1606	-0.3333243	FALSE	FALSE
CPM	2330	-0.4861498	FALSE	FALSE
POLD4	2422	-0.50537497	FALSE	FALSE
JAKMIP1	2560	-0.53433204	FALSE	FALSE
PTPN6	2603	-0.54319865	FALSE	FALSE
THY1	2685	-0.5602993	FALSE	FALSE
ARF1	2846	-0.59407467	FALSE	FALSE
RPS6KA3	2942	-0.6140831	FALSE	FALSE
RPL17	3009	-0.62794185	FALSE	FALSE
NR2C1	3013	-0.62847924	FALSE	FALSE
RPL5	3041	-0.634082	FALSE	FALSE
MYBBP1A	3211	-0.6696433	FALSE	FALSE
LY6E	3236	-0.6745362	FALSE	FALSE
ACP5	3251	-0.6773089	FALSE	FALSE
MRPL24	3290	-0.68513054	FALSE	FALSE
ANAPC11	3309	-0.6887142	FALSE	FALSE
GGACT	3334	-0.69355166	FALSE	FALSE
AHCY	3366	-0.6998555	FALSE	FALSE
ARRB2	3383	-0.702973	FALSE	FALSE
ARHGAP15	3422	-0.7107051	FALSE	FALSE
ZHX2	3425	-0.7108236	FALSE	FALSE
TDRP	3438	-0.7130513	FALSE	FALSE
NSMCE1	3451	-0.71526915	FALSE	FALSE
RPS25	3482	-0.72126955	FALSE	FALSE
SRPK1	3548	-0.73460126	FALSE	FALSE
SIDT1	3597	-0.7442828	FALSE	FALSE
TIMM10	3621	-0.74864936	FALSE	FALSE
CD2AP	3649	-0.7538297	FALSE	FALSE
RCN3	3679	-0.75939673	FALSE	FALSE
COMMD8	3741	-0.7716305	FALSE	FALSE
UTP14A	3745	-0.77158916	FALSE	FALSE
MGAT4A	3751	-0.77196056	FALSE	FALSE
COX7A2L	3771	-0.77525914	FALSE	FALSE
HNRNPF	3811	-0.7827034	FALSE	FALSE
SPEF2	3920	-0.80443037	FALSE	FALSE
QPCT	3923	-0.80374	FALSE	FALSE
ARHGDIB	3925	-0.80282974	FALSE	FALSE
FCGRT	3962	-0.80922127	FALSE	FALSE
IDNK	3966	-0.8086252	FALSE	FALSE
ZNRF3	4001	-0.8144599	FALSE	FALSE
ITGB7	4031	-0.81912774	FALSE	FALSE
BBS9	4068	-0.82509744	FALSE	FALSE
GART	4070	-0.8236517	FALSE	FALSE
PPP2R5A	4128	-0.833673	FALSE	FALSE
QTRT1	4137	-0.83323616	FALSE	FALSE
SMAD7	4146	-0.8327657	FALSE	FALSE
GPR183	4149	-0.8309906	FALSE	FALSE
ATAD3A	4169	-0.83268887	FALSE	FALSE
WDR12	4177	-0.8317901	FALSE	FALSE
CCT6A	4195	-0.8327904	FALSE	FALSE
RPL29	4230	-0.8369326	FALSE	FALSE
TRAT1	4234	-0.8344654	FALSE	FALSE
DPH5	4256	-0.8354688	FALSE	FALSE
SMAP2	4276	-0.8358347	FALSE	FALSE
GALNT10	4283	-0.83325964	FALSE	FALSE
SNRPD3	4288	-0.83013403	FALSE	FALSE
JAML	4351	-0.8380028	TRUE	FALSE
FGF13	4358	-0.8338357	TRUE	FALSE
RRAS2	4374	-0.8312246	TRUE	FALSE
PIK3IP1	4380	-0.826417	TRUE	FALSE
NR1D1	4392	-0.8226048	TRUE	FALSE
SPICE1	4394	-0.8166365	TRUE	FALSE
HS3ST3B1	4403	-0.81168246	TRUE	FALSE
PDLIM1	4435	-0.81030196	TRUE	FALSE
ARL4C	4440	-0.8030724	TRUE	FALSE
RTN4RL1	4441	-0.794991	TRUE	FALSE
CLYBL	4442	-0.7868749	TRUE	FALSE
EYA2	4450	-0.7799199	TRUE	FALSE
CNGA1	4452	-0.7716093	TRUE	FALSE
SELL	4458	-0.7638924	TRUE	FALSE
ATP1B3	4462	-0.75544447	TRUE	FALSE
CCR7	4498	-0.7508529	TRUE	TRUE
PRSS12	4502	-0.7393725	TRUE	FALSE
ADGRG5	4505	-0.72752625	TRUE	FALSE
PRKD3	4557	-0.7176359	TRUE	FALSE
SLCO3A1	4560	-0.69718486	TRUE	FALSE
LEF1	4565	-0.67577356	TRUE	TRUE
TXNIP	4574	-0.65033287	TRUE	FALSE
EMB	4588	-0.6187395	TRUE	FALSE
S1PR1	4601	-0.580236	TRUE	FALSE
EPSTI1	4604	-0.5391348	TRUE	FALSE
KLHL6	4610	-0.49229282	TRUE	FALSE
DNAJC15	4614	-0.4405422	TRUE	FALSE
TLE1	4617	-0.384621	TRUE	FALSE
VIPR1	4638	-0.29215384	TRUE	FALSE
SATB1	4640	-0.19397664	TRUE	TRUE
IL7R	4646	-0.08699398	TRUE	TRUE
BBC3	4654	0.035306543	TRUE	FALSE
