Symbol	Rank	ES	Core_enrichment	Plot
NA	0	0	FALSE	FALSE
B4GALT4	0	0.23101611	TRUE	FALSE
MAP6	1	0.4322742	TRUE	FALSE
PENK	2	0.6333656	TRUE	FALSE
IL10	3	0.8306391	TRUE	TRUE
IL21	26	0.8675421	TRUE	TRUE
PEX11A	50	0.88772774	TRUE	FALSE
HMGN3	66	0.9035739	TRUE	FALSE
AREG	119	0.90101796	TRUE	FALSE
TNFSF4	131	0.9061566	TRUE	TRUE
SOSTDC1	158	0.9063636	TRUE	FALSE
IL7	169	0.9093265	TRUE	FALSE
GPRC5A	176	0.9127449	TRUE	FALSE
SETBP1	210	0.9087854	FALSE	FALSE
TOX	229	0.90747243	FALSE	TRUE
ART3	232	0.9094914	FALSE	FALSE
TIGIT	246	0.90862703	FALSE	TRUE
RNF128	251	0.90963006	FALSE	FALSE
ZC3H12C	254	0.9110008	FALSE	FALSE
CHST2	273	0.9084596	FALSE	FALSE
MYO1E	283	0.907724	FALSE	FALSE
TOX2	287	0.90819013	FALSE	FALSE
LAG3	293	0.9081378	FALSE	FALSE
CD83	299	0.9079813	FALSE	FALSE
TRPS1	323	0.9036489	FALSE	FALSE
XCL1	324	0.90425056	FALSE	FALSE
PHACTR2	325	0.9048454	FALSE	FALSE
CASP3	340	0.9023641	FALSE	FALSE
SCCPDH	344	0.90223527	FALSE	FALSE
ITGB8	346	0.9025103	FALSE	FALSE
PTPN13	348	0.90277344	FALSE	FALSE
ENPP5	369	0.8988488	FALSE	FALSE
ICA1	371	0.89899033	FALSE	FALSE
DUSP4	372	0.89934605	FALSE	FALSE
EEA1	373	0.8996874	FALSE	FALSE
MMD	387	0.89717954	FALSE	FALSE
LCLAT1	390	0.89702815	FALSE	FALSE
RGS16	392	0.89708185	FALSE	FALSE
CXCL10	393	0.8973417	FALSE	FALSE
ADAM19	396	0.89716774	FALSE	FALSE
CTLA4	399	0.89698505	FALSE	FALSE
CIB2	409	0.8952777	FALSE	FALSE
ENPP6	411	0.8952849	FALSE	FALSE
SYT11	416	0.89463323	FALSE	FALSE
CXCR5	419	0.8944047	FALSE	FALSE
PDCD1	426	0.89330643	FALSE	FALSE
ITGAV	470	0.88421714	FALSE	FALSE
CDKN2C	479	0.88263416	FALSE	FALSE
NR4A2	488	0.88104707	FALSE	FALSE
FYN	490	0.8809616	FALSE	FALSE
IKZF2	491	0.8810906	FALSE	FALSE
HSPA4L	509	0.87755793	FALSE	FALSE
STK39	521	0.8753039	FALSE	FALSE
TJP2	523	0.87519556	FALSE	FALSE
SAMSN1	536	0.8727201	FALSE	FALSE
TNIP3	538	0.8726036	FALSE	FALSE
NSMAF	541	0.87227124	FALSE	FALSE
PTGER2	543	0.8721519	FALSE	FALSE
DCUN1D4	544	0.8722469	FALSE	FALSE
HIP1	547	0.8719076	FALSE	FALSE
LAX1	568	0.8676948	FALSE	FALSE
IER5L	579	0.8656233	FALSE	FALSE
RYK	583	0.86505175	FALSE	FALSE
KCTD9	602	0.8612552	FALSE	FALSE
ALCAM	610	0.85981536	FALSE	FALSE
TLR2	613	0.85944825	FALSE	FALSE
CALCB	615	0.8592951	FALSE	FALSE
KIF5C	623	0.85785335	FALSE	FALSE
CRMP1	648	0.8527587	FALSE	FALSE
RASGEF1A	664	0.84959185	FALSE	FALSE
NDNF	665	0.84964377	FALSE	FALSE
PLXDC2	676	0.8475474	FALSE	FALSE
PLSCR1	677	0.84759694	FALSE	FALSE
GCNT1	678	0.8476465	FALSE	FALSE
ST6GALNAC3	706	0.8418979	FALSE	FALSE
CASP4	717	0.8397959	FALSE	FALSE
FAM81A	723	0.83876604	FALSE	FALSE
ENPP2	726	0.83837956	FALSE	FALSE
AHI1	727	0.83842206	FALSE	FALSE
TWSG1	748	0.83416814	FALSE	FALSE
LITAF	754	0.8331316	FALSE	FALSE
IL10RA	766	0.83080524	FALSE	FALSE
EOMES	778	0.8284779	FALSE	FALSE
ATXN1	783	0.82765245	FALSE	FALSE
PRELID2	797	0.824894	FALSE	FALSE
PREX1	803	0.82385176	FALSE	FALSE
CDC14A	850	0.8140067	FALSE	FALSE
IKZF3	888	0.80608964	FALSE	FALSE
CD38	902	0.8033221	FALSE	FALSE
CD200R1	958	0.7915382	FALSE	FALSE
OCIAD2	1001	0.7825415	FALSE	FALSE
NAB1	1003	0.7823431	FALSE	FALSE
TMPRSS13	1030	0.7767787	FALSE	FALSE
NAPSA	1049	0.7729302	FALSE	FALSE
ZCRB1	1087	0.765003	FALSE	FALSE
SLC22A15	1104	0.76158166	FALSE	FALSE
PPFIBP1	1131	0.75601345	FALSE	FALSE
PRR5L	1141	0.75409305	FALSE	FALSE
RAB39B	1188	0.7442317	FALSE	FALSE
KIF13B	1196	0.74273926	FALSE	FALSE
STRN	1237	0.7341645	FALSE	FALSE
HCK	1246	0.7324564	FALSE	FALSE
TCF4	1266	0.7283874	FALSE	FALSE
CERS6	1331	0.7146604	FALSE	FALSE
CELA1	1381	0.70415133	FALSE	FALSE
S100A11	1393	0.7017966	FALSE	FALSE
PLOD2	1422	0.6957932	FALSE	FALSE
GNB4	1506	0.6779865	FALSE	FALSE
SV2C	1516	0.6760595	FALSE	FALSE
GZMK	1518	0.6758492	FALSE	FALSE
CHST11	1522	0.6752097	FALSE	FALSE
CD86	1524	0.6749993	FALSE	FALSE
PAWR	1546	0.67049694	FALSE	FALSE
VPS54	1552	0.669428	FALSE	FALSE
ITIH5	1554	0.66921735	FALSE	FALSE
LPCAT4	1669	0.64475673	FALSE	FALSE
MDFIC	1709	0.6363902	FALSE	FALSE
CEP128	1755	0.62673587	FALSE	FALSE
HMGB2	1767	0.62437755	FALSE	FALSE
PERP	1819	0.6134353	FALSE	FALSE
TCEAL9	1862	0.6044242	FALSE	FALSE
VAMP8	1867	0.6035675	FALSE	FALSE
ACADL	1868	0.6035692	FALSE	FALSE
SPRY2	1918	0.5930556	FALSE	FALSE
TSTD3	1952	0.5859753	FALSE	FALSE
MAP2	1993	0.5773927	FALSE	FALSE
PBX3	2053	0.5647327	FALSE	FALSE
PGLYRP1	2055	0.5645189	FALSE	FALSE
RBBP6	2082	0.55894035	FALSE	FALSE
KCNIP3	2183	0.53748167	FALSE	FALSE
NDFIP2	2285	0.51580817	FALSE	FALSE
CCDC66	2311	0.5104436	FALSE	FALSE
GXYLT1	2345	0.5033623	FALSE	FALSE
APAF1	2394	0.49306202	FALSE	FALSE
GFPT1	2417	0.4883411	FALSE	FALSE
FGR	2498	0.47117373	FALSE	FALSE
MPP4	2614	0.44649574	FALSE	FALSE
GPR155	2701	0.42804104	FALSE	FALSE
RTP4	2719	0.4243932	FALSE	FALSE
TSGA10	3014	0.36130393	FALSE	FALSE
SRXN1	3088	0.34563974	FALSE	FALSE
PRDM1	3125	0.33791557	FALSE	FALSE
APLP2	3136	0.33577082	FALSE	FALSE
LRRC8C	3160	0.33083647	FALSE	FALSE
CDK6	3376	0.28470135	FALSE	FALSE
CTSC	3652	0.22569308	FALSE	FALSE
SGK1	3704	0.21475402	FALSE	FALSE
ZBTB38	3783	0.19802216	FALSE	FALSE
DCLRE1C	3877	0.17807344	FALSE	FALSE
NEB	3924	0.1682118	FALSE	FALSE
CCDC146	3954	0.16199882	FALSE	FALSE
ANK3	3973	0.1581469	FALSE	FALSE
FAM185A	4064	0.13884749	FALSE	FALSE
EIF4E3	4093	0.13285412	FALSE	FALSE
PLBD1	4126	0.1260045	FALSE	FALSE
CHN2	4222	0.10564293	FALSE	FALSE
FAXC	4277	0.09408658	FALSE	FALSE
CCRL2	4370	0.0743931	FALSE	FALSE
MEF2C	4417	0.06458371	FALSE	FALSE
CD7	4618	0.02214956	FALSE	FALSE
OPTN	4642	0.018084545	FALSE	FALSE
ALOX5AP	4675	0.013459022	FALSE	FALSE
SH3YL1	4797	0.005150067	FALSE	FALSE
