Symbol	Rank	ES	Core_enrichment	Plot
NA	0	0	FALSE	FALSE
HBB-B1	489	-0.08958689	FALSE	FALSE
LRIG1	546	-0.091266274	FALSE	FALSE
MYB	555	-0.083456956	FALSE	FALSE
BTLA	617	-0.08953047	FALSE	FALSE
RNF145	767	-0.11745032	FALSE	FALSE
LAT	826	-0.12655364	FALSE	FALSE
CD27	889	-0.13718542	FALSE	FALSE
KCNN4	1028	-0.16492377	FALSE	FALSE
TSPAN13	1043	-0.16628337	FALSE	FALSE
CHCHD10	1086	-0.17378862	FALSE	FALSE
CDK5R1	1117	-0.1788588	FALSE	FALSE
PODNL1	1144	-0.18316914	FALSE	FALSE
PECAM1	1167	-0.18668236	FALSE	FALSE
CD247	1230	-0.19888248	FALSE	FALSE
BCL11B	1285	-0.20951882	FALSE	FALSE
TNNT1	1315	-0.21489646	FALSE	FALSE
SRRM2	1340	-0.21924779	FALSE	FALSE
CD28	1348	-0.21999626	FALSE	FALSE
TCF7	1353	-0.22011526	FALSE	FALSE
MS4A6B	1517	-0.25440076	FALSE	FALSE
KLHL24	1609	-0.27343357	FALSE	FALSE
IER3	1633	-0.27798122	FALSE	FALSE
RASSF3	1673	-0.28597686	FALSE	FALSE
MPP1	1897	-0.33338416	FALSE	FALSE
DDIT4	2035	-0.3625043	FALSE	FALSE
RPL22L1	2086	-0.373083	FALSE	FALSE
DPP4	2211	-0.39948565	FALSE	FALSE
MBNL1	2448	-0.44982767	FALSE	FALSE
MS4A4B	2488	-0.45814586	FALSE	FALSE
PRMT7	2527	-0.46625188	FALSE	FALSE
LAMP1	2550	-0.47094065	FALSE	FALSE
STK38	2563	-0.4734933	FALSE	FALSE
RAPGEF4	2564	-0.47348544	FALSE	FALSE
RASSF2	2566	-0.47369063	FALSE	FALSE
AXIN2	2647	-0.49074107	FALSE	FALSE
GPR18	2681	-0.49775884	FALSE	FALSE
THY1	2685	-0.49837533	FALSE	FALSE
CUX1	2699	-0.50112426	FALSE	FALSE
TNFAIP8L2	2738	-0.5092007	FALSE	FALSE
TBXA2R	2832	-0.5289949	FALSE	FALSE
RPL18	2856	-0.53384984	FALSE	FALSE
XRN2	2879	-0.53848577	FALSE	FALSE
H2-DMA	2899	-0.54247826	FALSE	FALSE
KLK8	2926	-0.54795754	FALSE	FALSE
USP18	2977	-0.558543	FALSE	FALSE
GPX1	3000	-0.56314653	FALSE	FALSE
DYRK2	3024	-0.567955	FALSE	FALSE
LYRM2	3064	-0.57616323	FALSE	FALSE
AQP3	3130	-0.5898985	FALSE	FALSE
SEMA4F	3184	-0.6010525	FALSE	FALSE
MYBBP1A	3211	-0.60643536	FALSE	FALSE
CD2	3218	-0.6075488	FALSE	FALSE
ACP5	3251	-0.6141932	FALSE	FALSE
TIMM8A1	3257	-0.61507344	FALSE	FALSE
APEX1	3263	-0.615946	FALSE	FALSE
EEF1B2	3267	-0.6163901	FALSE	FALSE
TCP11L2	3360	-0.6357779	FALSE	FALSE
SLFN1	3362	-0.6357493	FALSE	FALSE
NME2	3385	-0.6401804	FALSE	FALSE
IFRD1	3390	-0.6407677	FALSE	FALSE
ARHGAP15	3422	-0.64708674	FALSE	FALSE
PTPN18	3433	-0.6489195	FALSE	FALSE
LFNG	3483	-0.65903866	FALSE	FALSE
ACSS2	3504	-0.6629579	FALSE	FALSE
MRTO4	3559	-0.67406934	FALSE	FALSE
SIDT1	3597	-0.68150747	FALSE	FALSE
MPND	3648	-0.69165933	FALSE	FALSE
EIF4A1	3682	-0.698146	FALSE	FALSE
RPS16	3683	-0.6975888	FALSE	FALSE
SGK1	3704	-0.7012702	FALSE	FALSE
RPS7	3716	-0.70302075	FALSE	FALSE
IKZF1	3720	-0.70305884	FALSE	FALSE
COX7A2L	3771	-0.7130244	FALSE	FALSE
TIMM9	3824	-0.723298	FALSE	FALSE
RPS6	3842	-0.72607183	FALSE	FALSE
DSE	3844	-0.7254253	FALSE	FALSE
SH3BP5	3851	-0.7258284	FALSE	FALSE
GLIPR2	3922	-0.73967576	FALSE	FALSE
ARHGDIB	3925	-0.7390059	FALSE	FALSE
RPL7A	3950	-0.7429722	FALSE	FALSE
FCGRT	3962	-0.74412686	FALSE	FALSE
EMP3	3986	-0.7477762	FALSE	FALSE
ITGB7	4031	-0.75573325	FALSE	FALSE
FOXP1	4043	-0.75660044	FALSE	FALSE
TMEM71	4050	-0.75636613	FALSE	FALSE
SGK3	4055	-0.7556788	FALSE	FALSE
GART	4070	-0.75704557	FALSE	FALSE
ITK	4072	-0.75561523	FALSE	FALSE
RPS2	4100	-0.7595711	FALSE	FALSE
ATAD3A	4169	-0.77181244	FALSE	FALSE
IFIT3	4174	-0.7703658	FALSE	FALSE
GPATCH4	4190	-0.77111083	FALSE	FALSE
B4GALT1	4205	-0.77145183	FALSE	FALSE
RPL29	4230	-0.7735945	TRUE	TRUE
MRPL23	4242	-0.77281344	TRUE	FALSE
RABAC1	4259	-0.7728288	TRUE	FALSE
SCML4	4263	-0.7700235	TRUE	FALSE
CNR2	4270	-0.7678021	TRUE	FALSE
SMAP2	4276	-0.76529944	TRUE	FALSE
GALNT10	4283	-0.7628219	TRUE	FALSE
SNRPD3	4288	-0.7597928	TRUE	FALSE
AI467606	4353	-0.7683071	TRUE	FALSE
FGF13	4358	-0.7638464	TRUE	FALSE
PIK3IP1	4380	-0.76259327	TRUE	FALSE
LYPD6B	4419	-0.763626	TRUE	FALSE
CD53	4424	-0.7572836	TRUE	FALSE
PDLIM1	4435	-0.7516601	TRUE	FALSE
ARL4C	4440	-0.7446187	TRUE	FALSE
SELL	4458	-0.73966783	TRUE	FALSE
SEMA4A	4460	-0.73124194	TRUE	FALSE
ATP1B3	4462	-0.7225761	TRUE	FALSE
HSD11B1	4467	-0.71425766	TRUE	FALSE
KLF2	4473	-0.70586705	TRUE	FALSE
SLC11A2	4477	-0.69672716	TRUE	FALSE
SIAH1A	4479	-0.6871107	TRUE	FALSE
GRAP2	4481	-0.6774241	TRUE	FALSE
CCR7	4498	-0.66911453	TRUE	TRUE
ADRB2	4509	-0.6586361	TRUE	FALSE
LY6C1	4547	-0.6471346	TRUE	FALSE
GRAMD3	4559	-0.6291123	TRUE	FALSE
SLCO3A1	4560	-0.60870486	TRUE	FALSE
ARL6IP5	4562	-0.58801085	TRUE	FALSE
LEF1	4565	-0.5666779	TRUE	FALSE
PAG1	4569	-0.5433774	TRUE	FALSE
TXNIP	4574	-0.5177051	TRUE	FALSE
KLF7	4577	-0.49066022	TRUE	FALSE
EMB	4588	-0.45921943	TRUE	FALSE
S1PR1	4601	-0.42165634	TRUE	FALSE
EPSTI1	4604	-0.38148683	TRUE	FALSE
KLHL6	4610	-0.33572495	TRUE	FALSE
LCN4	4611	-0.2883474	TRUE	FALSE
DNAJC15	4614	-0.23755983	TRUE	FALSE
PLAC8	4631	-0.1617045	TRUE	FALSE
SATB1	4640	-0.06722135	TRUE	TRUE
IL7R	4646	0.03733734	TRUE	TRUE
