Symbol	Rank	ES	Core_enrichment	Plot
GM15708	18	0.0382554	FALSE	FALSE
LBP	45	0.01698626	FALSE	FALSE
EGLN3	85	-0.0531664	FALSE	FALSE
PRICKLE1	86	-0.0337109	FALSE	FALSE
AP1M2	123	-0.111458555	FALSE	FALSE
EGR3	193	-0.2695467	FALSE	FALSE
IGF1R	222	-0.33351126	FALSE	FALSE
TIMP2	230	-0.34913352	FALSE	FALSE
SELL	289	-0.48245856	FALSE	FALSE
METTL1	301	-0.50739944	FALSE	FALSE
CCR7	303	-0.50926983	FALSE	FALSE
ADGRG5	308	-0.5180432	FALSE	FALSE
IL4RA	311	-0.5221493	FALSE	FALSE
TRIO	314	-0.5262216	FALSE	FALSE
IGFBP4	322	-0.54167014	FALSE	FALSE
CCR9	323	-0.540979	FALSE	FALSE
LEF1	333	-0.5608991	FALSE	FALSE
RGCC	340	-0.57376355	FALSE	FALSE
KLF7	343	-0.5773353	FALSE	FALSE
AMIGO2	351	-0.59208834	FALSE	FALSE
BAMBI	357	-0.6021391	FALSE	FALSE
TDRKH	361	-0.6074176	FALSE	FALSE
LCN4	365	-0.61254597	FALSE	FALSE
SLC16A5	367	-0.6129466	FALSE	FALSE
KCNH3	371	-0.61781794	FALSE	FALSE
TLE1	372	-0.6157699	FALSE	FALSE
IGF2BP2	377	-0.62267065	FALSE	FALSE
APOL7B	378	-0.6201481	FALSE	FALSE
TBC1D16	381	-0.621906	FALSE	FALSE
PLAC8	383	-0.6212077	FALSE	FALSE
VIPR1	387	-0.6245555	FALSE	FALSE
DNTT	393	-0.6318399	FALSE	FALSE
PTK2	395	-0.62946314	FALSE	FALSE
EEF2K	401	-0.6328199	TRUE	FALSE
SLC6A19	402	-0.6230598	TRUE	FALSE
PLAUR	408	-0.62308586	TRUE	FALSE
FGGY	418	-0.62606674	TRUE	FALSE
DENND2C	431	-0.62617004	TRUE	FALSE
TRIB3	434	-0.60153496	TRUE	TRUE
SYDE2	438	-0.5784666	TRUE	FALSE
ACVRL1	442	-0.5520756	TRUE	FALSE
ADAM6B	443	-0.5185429	TRUE	TRUE
ZFP516	454	-0.4962172	TRUE	FALSE
PPP1R3B	460	-0.45956177	TRUE	FALSE
B430306N03RIK	465	-0.4103964	TRUE	FALSE
CYP2S1	468	-0.35019997	TRUE	FALSE
PAK1	469	-0.28171828	TRUE	FALSE
DRC1	470	-0.2085577	TRUE	FALSE
ACOXL	479	-0.1169632	TRUE	FALSE
SPSB1	481	0.004608305	TRUE	FALSE
