Symbol	Rank	ES	Core_enrichment	Plot
PON3	2	0.24046978	TRUE	FALSE
CSF1	3	0.46668026	TRUE	TRUE
SEMA6D	15	0.5893833	TRUE	TRUE
T2	26	0.673796	TRUE	FALSE
HIC1	41	0.71753526	TRUE	FALSE
CAMK1	65	0.7117085	FALSE	FALSE
STYK1	94	0.675143	FALSE	FALSE
IFI27L2A	115	0.6425356	FALSE	FALSE
CHST2	119	0.6455966	FALSE	FALSE
ASPM	122	0.65013695	FALSE	FALSE
IZUMO1R	125	0.6542049	FALSE	FALSE
IRF4	139	0.6304155	FALSE	FALSE
PHACTR2	145	0.6236639	FALSE	FALSE
RNF43	148	0.62333614	FALSE	FALSE
SYNPO	153	0.6182032	FALSE	FALSE
SCCPDH	154	0.62190336	FALSE	FALSE
YPEL2	155	0.6255342	FALSE	FALSE
DUSP4	169	0.59924585	FALSE	FALSE
MLF1	171	0.5994289	FALSE	FALSE
PDCD1LG2	178	0.58824575	FALSE	FALSE
RGS16	184	0.57907456	FALSE	FALSE
HAVCR2	192	0.56515694	FALSE	FALSE
USP46	200	0.5509573	FALSE	FALSE
SH3RF1	204	0.54558116	FALSE	FALSE
CD68	218	0.5177474	FALSE	FALSE
SMYD1	220	0.51649284	FALSE	FALSE
CDKN2C	221	0.51744074	FALSE	FALSE
NR4A2	224	0.5139286	FALSE	FALSE
IKZF2	225	0.51484376	FALSE	FALSE
STK39	237	0.49121043	FALSE	FALSE
IRF8	238	0.4919617	FALSE	FALSE
YBX3	253	0.46136233	FALSE	FALSE
SMTN	430	0.117516436	FALSE	FALSE
