Symbol	Rank	ES	Core_enrichment	Plot
ADK	156	-0.35891736	FALSE	FALSE
PCDHGC4	165	-0.37210214	FALSE	FALSE
TGFBR3	205	-0.4610338	FALSE	FALSE
NKTR	233	-0.5227536	FALSE	FALSE
USP45	241	-0.53772414	FALSE	FALSE
MYB	246	-0.54589593	FALSE	FALSE
FKBP5	248	-0.54705286	FALSE	FALSE
PIK3IP1	269	-0.593264	FALSE	FALSE
SLC17A9	270	-0.59251434	FALSE	FALSE
ASS1	271	-0.5917431	FALSE	FALSE
HAAO	273	-0.593288	FALSE	FALSE
YWHAQ	275	-0.59479195	FALSE	FALSE
CYTH1	276	-0.59394157	FALSE	FALSE
NRROS	278	-0.5953877	FALSE	FALSE
ADD3	281	-0.5991044	FALSE	FALSE
MYC	282	-0.5981034	FALSE	FALSE
ARL4C	284	-0.5994308	FALSE	FALSE
SELL	289	-0.6077125	FALSE	FALSE
SEMA4A	290	-0.6065869	FALSE	FALSE
HSD11B1	292	-0.60773855	FALSE	FALSE
KLF2	293	-0.606504	FALSE	FALSE
SLC11A2	295	-0.6075957	FALSE	FALSE
GRAP2	297	-0.60864794	FALSE	FALSE
TAGLN2	302	-0.61659163	FALSE	FALSE
CCR7	303	-0.61506855	FALSE	FALSE
ADGRG5	308	-0.6229018	FALSE	FALSE
IL4RA	311	-0.6258332	FALSE	FALSE
PXYLP1	313	-0.6263645	FALSE	FALSE
SSH2	320	-0.638317	FALSE	FALSE
LY6C1	324	-0.6428785	FALSE	FALSE
SMAD3	326	-0.6426138	FALSE	FALSE
PIK3R5	327	-0.6399815	FALSE	FALSE
PRKD3	328	-0.63734305	FALSE	FALSE
SLCO3A1	329	-0.63465595	FALSE	FALSE
GRAMD3	330	-0.63195276	FALSE	FALSE
ELOVL7	331	-0.62920326	FALSE	FALSE
LEF1	333	-0.62868106	FALSE	TRUE
PAG1	337	-0.63258636	FALSE	FALSE
FAM78A	338	-0.62943083	FALSE	FALSE
RGCC	340	-0.6284057	FALSE	FALSE
TXNIP	342	-0.6272343	FALSE	FALSE
EMB	346	-0.6298112	FALSE	FALSE
IRGC1	356	-0.64577836	FALSE	FALSE
EPSTI1	359	-0.6450638	FALSE	FALSE
KLHL6	364	-0.6482283	TRUE	FALSE
LCN4	365	-0.6419636	TRUE	FALSE
SLC16A5	367	-0.63762707	TRUE	FALSE
DNAJC15	368	-0.63078666	TRUE	FALSE
TSC22D3	379	-0.6452499	TRUE	FALSE
LY6C2	380	-0.63582623	TRUE	FALSE
IFI208	384	-0.6322185	TRUE	FALSE
IL7R	392	-0.634525	TRUE	TRUE
DNTT	393	-0.6196492	TRUE	FALSE
IFNGR1	397	-0.6070108	TRUE	TRUE
SLC6A19	402	-0.5821284	TRUE	FALSE
TRIB3	434	-0.5522119	TRUE	FALSE
CYP2S1	468	-0.40211853	TRUE	FALSE
SPSB1	481	0.004694807	TRUE	FALSE
