Symbol	Rank	ES	Core_enrichment	Plot
CSF1	3	0.11631236	TRUE	TRUE
PEX11A	9	0.20585285	TRUE	FALSE
ATCAY	10	0.30412635	TRUE	FALSE
RIPPLY3	25	0.33436528	TRUE	FALSE
PLPP2	29	0.38212952	TRUE	FALSE
IGHD	30	0.4366777	TRUE	FALSE
HIC1	41	0.45403197	TRUE	FALSE
ATP9A	42	0.49320257	TRUE	FALSE
GORASP1	54	0.4974343	TRUE	FALSE
WFS1	87	0.44024962	FALSE	FALSE
PLXNA3	91	0.4483789	FALSE	FALSE
SETBP1	99	0.4445467	FALSE	FALSE
SLC37A2	114	0.41858834	FALSE	FALSE
IZUMO1R	125	0.399805	FALSE	TRUE
TOX2	126	0.40424675	FALSE	TRUE
PFKFB4	127	0.4086557	FALSE	FALSE
GSTM4	137	0.39064297	FALSE	FALSE
EPHB6	140	0.38866797	FALSE	FALSE
CCR8	147	0.37692365	FALSE	FALSE
SYNPO	153	0.3672512	FALSE	FALSE
SCCPDH	154	0.36926866	FALSE	FALSE
YPEL2	155	0.3712483	FALSE	FALSE
CAND2	157	0.3707594	FALSE	FALSE
ENPP5	167	0.3511018	FALSE	FALSE
ICA1	170	0.34779564	FALSE	FALSE
PDCD1LG2	178	0.33255845	FALSE	FALSE
TSPAN32	180	0.33133206	FALSE	FALSE
MMD	181	0.3324381	FALSE	FALSE
RGS16	184	0.32879856	FALSE	FALSE
LZTS1	188	0.32276568	FALSE	FALSE
HAVCR2	192	0.31661418	FALSE	FALSE
FCHSD1	198	0.30563188	FALSE	FALSE
CENPA	199	0.30635852	FALSE	FALSE
ZFP219	206	0.29299775	FALSE	FALSE
TNFSF8	208	0.29130903	FALSE	FALSE
TRGV2	209	0.29195967	FALSE	FALSE
CLSPN	215	0.28080818	FALSE	FALSE
NAB2	216	0.28136605	FALSE	FALSE
CDKN2C	221	0.2725152	FALSE	FALSE
NR4A2	224	0.2683343	FALSE	FALSE
IKZF2	225	0.2688333	FALSE	FALSE
LRMP	228	0.26462367	FALSE	FALSE
STK39	237	0.24630101	FALSE	FALSE
IRF8	238	0.24671061	FALSE	FALSE
CALM3	260	0.19769533	FALSE	FALSE
RAPGEF1	264	0.19079712	FALSE	FALSE
BTG2	335	0.02764406	FALSE	FALSE
TRAV16N	336	0.028461987	FALSE	FALSE
PHKA1	386	-0.08315328	FALSE	FALSE
OPTN	390	-0.08675238	FALSE	FALSE
EEF2K	401	-0.10258178	FALSE	FALSE
VILL	419	-0.12587647	FALSE	FALSE
KLRB1A	423	-0.114722274	FALSE	FALSE
LRRC27	436	-0.11518197	FALSE	FALSE
PPP1R3B	460	-0.124258175	FALSE	FALSE
SH3YL1	471	-0.076528236	FALSE	FALSE
ACOXL	479	0.009367839	FALSE	FALSE
