Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
WikiPathways,27,WP163,Cytoplasmic ribosomal proteins,,-6.1,14,9.2,20580,95,110,7,6.4,2.3,19981|20088|20112|56040|67427|114641|269261,Rpl37a|Rps24|Rps6ka2|Rplp1|Rps20|Rpl31|Rpl12,-1.8,Geneid
GO Biological Processes,19,GO:0007017,microtubule-based process,19_GO:0009987 cellular process,-5.3,3.8,5.8,20580,796,110,16,15,3.4,22092|54141|56742|66442|69885|71233|71870|73804|78801|106757|110082|114606|211535|231214|271639|381077,Rsph1|Spag5|Psrc1|Spc25|Aunip|Enkur|Cfap45|Kif2c|Ak7|Catsperd|Dnah5|Tle6|Odad1|Cc2d2a|Adcy10|Ccdc78,-1.4,Geneid
Reactome Gene Sets,6,R-MMU-1799339,SRP-dependent cotranslational protein targeting to membrane,,-5.1,13,8.1,20580,88,110,6,5.5,2.2,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.4,Geneid
Reactome Gene Sets,6,R-MMU-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-5.1,12,8,20580,90,110,6,5.5,2.2,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.4,Geneid
Reactome Gene Sets,6,R-MMU-72689,Formation of a pool of free 40S subunits,,-4.9,12,7.7,20580,97,110,6,5.5,2.2,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.4,Geneid
GO Biological Processes,19,GO:0010954,positive regulation of protein processing,19_GO:0048518 positive regulation of biological process,-4.8,26,9.8,20580,29,110,4,3.6,1.8,17387|58992|72293|215095,Mmp14|F12|Nkd2|Astl,-1.4,Geneid
GO Biological Processes,19,GO:1903319,positive regulation of protein maturation,19_GO:0048518 positive regulation of biological process,-4.7,24,9.5,20580,31,110,4,3.6,1.8,17387|58992|72293|215095,Mmp14|F12|Nkd2|Astl,-1.4,Geneid
Reactome Gene Sets,6,R-MMU-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-4.6,10,7.2,20580,107,110,6,5.5,2.2,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.4,Geneid
GO Biological Processes,19,GO:0000226,microtubule cytoskeleton organization,19_GO:0009987 cellular process,-4.6,4.3,5.6,20580,526,110,12,11,3,22092|54141|56742|66442|69885|73804|78801|110082|114606|211535|231214|381077,Rsph1|Spag5|Psrc1|Spc25|Aunip|Kif2c|Ak7|Dnah5|Tle6|Odad1|Cc2d2a|Ccdc78,-1.4,Geneid
Reactome Gene Sets,6,R-MMU-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,,-4.6,10,7.2,20580,108,110,6,5.5,2.2,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.4,Geneid
Reactome Gene Sets,6,R-MMU-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-4.6,10,7.1,20580,110,110,6,5.5,2.2,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.4,Geneid
Reactome Gene Sets,6,R-MMU-927802,Nonsense-Mediated Decay (NMD),,-4.6,10,7.1,20580,110,110,6,5.5,2.2,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.4,Geneid
GO Biological Processes,19,GO:0070613,regulation of protein processing,19_GO:0008152 metabolic process,-4.5,14,7.7,20580,69,110,5,4.5,2,17387|20112|58992|72293|215095,Mmp14|Rps6ka2|F12|Nkd2|Astl,-1.4,Geneid
Reactome Gene Sets,6,R-MMU-72613,Eukaryotic Translation Initiation,,-4.4,9.8,6.9,20580,115,110,6,5.5,2.2,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.4,Geneid
Reactome Gene Sets,6,R-MMU-72737,Cap-dependent Translation Initiation,,-4.4,9.8,6.9,20580,115,110,6,5.5,2.2,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.4,Geneid
