_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.6,GO:0000226,microtubule cytoskeleton organization,M1,1,0
1,-2.1,GO:0030031,cell projection assembly,M1,1,0
1,-2,GO:0022604,regulation of cell morphogenesis,M1,1,0
1,-3.5,R-MMU-72312,rRNA processing,M1,1,0
1,-2.3,GO:0007163,establishment or maintenance of cell polarity,M1,1,0
1,-4,GO:0006858,extracellular transport,M1,1,0
1,-2.3,GO:0007368,determination of left/right symmetry,M1,1,0
1,-4.6,R-MMU-927802,Nonsense-Mediated Decay (NMD),M1,1,0
1,-4.8,GO:0010954,positive regulation of protein processing,M1,1,0
1,-3.2,GO:0030593,neutrophil chemotaxis,M1,1,0
1,-4.6,R-MMU-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,M1,1,0
1,-2.4,GO:1903047,mitotic cell cycle process,M1,1,0
1,-4.4,R-MMU-72613,Eukaryotic Translation Initiation,M1,1,0
1,-2.2,GO:0120031,plasma membrane bounded cell projection assembly,M1,1,0
1,-2.1,GO:0001539,cilium or flagellum-dependent cell motility,M1,1,0
1,-3.4,mmu03010,Ribosome,M1,1,0
1,-2.2,GO:0009799,specification of symmetry,M1,1,0
1,-3.5,R-MMU-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,M1,1,0
1,-2.4,GO:0007059,chromosome segregation,M1,1,0
1,-2.6,GO:0044782,cilium organization,M1,1,0
1,-2.2,GO:0060294,cilium movement involved in cell motility,M1,1,0
1,-3.5,R-MMU-8868773,rRNA processing in the nucleus and cytosol,M1,1,0
1,-3.4,mmu05171,Coronavirus disease - COVID-19,M1,1,0
1,-2.7,GO:0097530,granulocyte migration,M1,1,0
1,-2.6,GO:0000278,mitotic cell cycle,M1,1,0
1,-4.3,GO:0001578,microtubule bundle formation,M1,1,0
1,-2.2,GO:0009855,determination of bilateral symmetry,M1,1,0
1,-2.2,GO:0097722,sperm motility,M1,1,0
1,-2.1,GO:0051056,regulation of small GTPase mediated signal transduction,M1,1,0
1,-2.9,GO:0007018,microtubule-based movement,M1,1,0
1,-4.6,R-MMU-156827,L13a-mediated translational silencing of Ceruloplasmin expression,M1,1,0
1,-2.2,GO:0098813,nuclear chromosome segregation,M1,1,0
1,-2.9,R-MMU-72766,Translation,M1,1,0
1,-2.1,GO:0022402,cell cycle process,M1,1,0
1,-2.2,GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,M1,1,0
1,-4.5,GO:0070613,regulation of protein processing,M1,1,0
1,-4.6,R-MMU-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),M1,1,0
1,-3,GO:0071621,granulocyte chemotaxis,M1,1,0
1,-3.9,GO:0035082,axoneme assembly,M1,1,0
1,-2.9,GO:1990266,neutrophil migration,M1,1,0
1,-2.5,GO:0002673,regulation of acute inflammatory response,M1,1,0
1,-5.1,R-MMU-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),M1,1,0
1,-4.4,GO:1903317,regulation of protein maturation,M1,1,0
1,-2.5,GO:0048469,cell maturation,M1,1,0
1,-2.3,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,M1,1,0
1,-6.1,WP163,Cytoplasmic ribosomal proteins,M1,1,0
1,-2.3,GO:0097529,myeloid leukocyte migration,M1,1,0
1,-2.1,GO:0060285,cilium-dependent cell motility,M1,1,0
1,-2.2,GO:0060271,cilium assembly,M1,1,0
1,-4.4,R-MMU-72737,Cap-dependent Translation Initiation,M1,1,0
1,-2.3,GO:0030317,flagellated sperm motility,M1,1,0
1,-5.1,R-MMU-1799339,SRP-dependent cotranslational protein targeting to membrane,M1,1,0
1,-4.9,R-MMU-72689,Formation of a pool of free 40S subunits,M1,1,0
1,-5.3,GO:0007017,microtubule-based process,M1,1,0
1,-4.1,GO:0003351,epithelial cilium movement involved in extracellular fluid movement,M1,1,0
1,-2.2,GO:0030595,leukocyte chemotaxis,M1,1,0
1,-4.7,GO:1903319,positive regulation of protein maturation,M1,1,0
1,-4.2,GO:0003341,cilium movement,M1,1,0
