Gene,_SCORE_GRP1_,_SCORE_GRP12_,_SCORE_GRP6_,_SCORE_GRP9_,_SCORE_GRP8_,_SCORE_GRP2_,_SCORE_GRP4_,_SCORE_GRP3_,_SCORE_GRP5_,_SCORE_GRP7_,_SCORE_GRP11_,_SCORE_GRP10_,GRP1|24_mmu05171|-3.435|Coronavirus disease - COVID-19,GRP1|27_WP163|-6.113|Cytoplasmic ribosomal proteins,GRP1|6_R-MMU-975956|-5.056|Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),GRP1|6_R-MMU-1799339|-5.113|SRP-dependent cotranslational protein targeting to membrane,GRP1|6_R-MMU-72689|-4.869|Formation of a pool of free 40S subunits,GRP1|6_R-MMU-156827|-4.625|L13a-mediated translational silencing of Ceruloplasmin expression,GRP1|6_R-MMU-72706|-4.602|GTP hydrolysis and joining of the 60S ribosomal subunit,GRP1|6_R-MMU-927802|-4.557|Nonsense-Mediated Decay (NMD),GRP1|6_R-MMU-975957|-4.557|Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),GRP1|6_R-MMU-72613|-4.448|Eukaryotic Translation Initiation,GRP1|6_R-MMU-72737|-4.448|Cap-dependent Translation Initiation,GRP1|6_R-MMU-6791226|-3.500|Major pathway of rRNA processing in the nucleolus and cytosol,GRP1|6_R-MMU-72312|-3.500|rRNA processing,GRP1|6_R-MMU-8868773|-3.500|rRNA processing in the nucleus and cytosol,GRP1|24_mmu03010|-3.394|Ribosome,GRP1|6_R-MMU-72766|-2.926|Translation,GRP2|19_GO:0007017|-5.297|microtubule-based process,GRP2|19_GO:0000226|-4.605|microtubule cytoskeleton organization,GRP2|19_GO:0030031|-2.121|cell projection assembly,GRP2|19_GO:0120031|-2.209|plasma membrane bounded cell projection assembly,GRP2|19_GO:0044782|-2.587|cilium organization,GRP2|19_GO:0060271|-2.197|cilium assembly,GRP2|19_GO:0001578|-4.264|microtubule bundle formation,GRP2|19_GO:0035082|-3.891|axoneme assembly,GRP3|19_GO:1903317|-4.378|regulation of protein maturation,GRP3|19_GO:0070613|-4.468|regulation of protein processing,GRP3|19_GO:1903319|-4.663|positive regulation of protein maturation,GRP3|19_GO:0010954|-4.781|positive regulation of protein processing,GRP4|19_GO:0007018|-2.942|microtubule-based movement,GRP4|19_GO:0003341|-4.165|cilium movement,GRP4|19_GO:0006858|-3.974|extracellular transport,GRP4|19_GO:0003351|-4.090|epithelial cilium movement involved in extracellular fluid movement,GRP4|19_GO:0009855|-2.234|determination of bilateral symmetry,GRP4|19_GO:0007368|-2.304|determination of left/right symmetry,GRP4|19_GO:0009799|-2.223|specification of symmetry,GRP4|19_GO:0097722|-2.246|sperm motility,GRP4|19_GO:0030317|-2.293|flagellated sperm motility,GRP4|19_GO:0060294|-2.201|cilium movement involved in cell motility,GRP4|19_GO:0001539|-2.105|cilium or flagellum-dependent cell motility,GRP4|19_GO:0060285|-2.105|cilium-dependent cell motility,GRP5|19_GO:0071621|-3.028|granulocyte chemotaxis,GRP5|19_GO:0030593|-3.176|neutrophil chemotaxis,GRP5|19_GO:1990266|-2.913|neutrophil migration,GRP5|19_GO:0097530|-2.722|granulocyte migration,GRP5|19_GO:0097529|-2.316|myeloid leukocyte migration,GRP5|19_GO:0030595|-2.201|leukocyte chemotaxis,GRP6|19_GO:0022402|-2.088|cell cycle process,GRP6|19_GO:0000278|-2.578|mitotic cell cycle,GRP6|19_GO:1903047|-2.387|mitotic cell cycle process,GRP6|19_GO:0007059|-2.433|chromosome segregation,GRP6|19_GO:0098813|-2.214|nuclear chromosome segregation,GRP7|19_GO:0002673|-2.520|regulation of acute inflammatory response,GRP8|19_GO:0048469|-2.498|cell maturation,GRP9|19_GO:0007163|-2.309|establishment or maintenance of cell polarity,GRP10|19_GO:0007188|-2.265|adenylate cyclase-modulating G protein-coupled receptor signaling pathway,GRP10|19_GO:0007189|-2.223|adenylate cyclase-activating G protein-coupled receptor signaling pathway,GRP11|19_GO:0051056|-2.079|regulation of small GTPase mediated signal transduction,GRP12|19_GO:0022604|-2.015|regulation of cell morphogenesis,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_,_SORT_GRP10_,_SORT_GRP11_,_SORT_GRP12_
78801,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.1,0.1,0.1,0.3,0.2,0.0,0.0,0.0,0.0,0.1,0.3,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,2,0,7,0,0,0,0,0,0,0,0
269261,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2,0,0,0,0,0,0,0,0,0,0,0
56040,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1,0,0,0,0,0,0,0,0,0,0,0
320609,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,26,0,0,0,0,0,0,0,0,0,0,0,2
381077,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,0,10,0,0,0,0,0,0,0,0,0,0
110082,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.1,0.1,0.1,0.3,0.2,0.0,0.0,0.0,0.0,0.1,0.3,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0,1,0,2,0,0,0,0,0,0,0,0
14766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,17,0,0,0,0,0,0,0,0,0,2,2,0
319229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,43,0,0,0,0,0,0,0,0,0,5,0,0
58992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,2,0,0,0,2,0,0,0,0,0
67427,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,3,0,0,0,0,0,0,0,0,0,0,0
