_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-6.112735173811038,WP163,M1,1,0,WikiPathways,27,Cytoplasmic ribosomal proteins,,-6.112735173811038,13.785645933014353,9.15621636935916,20580,95,110,7,6.363636363636363,2.3274405931194844,19981|20088|20112|56040|67427|114641|269261,Rpl37a|Rps24|Rps6ka2|Rplp1|Rps20|Rpl31|Rpl12,-1.8453052929970333,0,1,1,1,-6.112735173811038,13.785645933014353,
1,-5.112607235553096,R-MMU-1799339,M1,1,0,Reactome Gene Sets,6,SRP-dependent cotranslational protein targeting to membrane,,-5.112607235553096,12.756198347107437,8.101503464479197,20580,88,110,6,5.454545454545454,2.165226167776901,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.3907176085213,0,1,0,0,-6.112735173811038,13.785645933014353,
1,-5.056087498007343,R-MMU-975956,M1,1,0,Reactome Gene Sets,6,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-5.056087498007343,12.472727272727273,7.995884278400065,20580,90,110,6,5.454545454545454,2.165226167776901,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.3907176085213,0,1,0,0,-6.112735173811038,13.785645933014353,
1,-4.868614674362539,R-MMU-72689,M1,1,0,Reactome Gene Sets,6,Formation of a pool of free 40S subunits,,-4.868614674362539,11.572633552014995,7.651063726550963,20580,97,110,6,5.454545454545454,2.165226167776901,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.3687992993443951,0,1,0,0,-6.112735173811038,13.785645933014353,
1,-4.625193316248301,R-MMU-156827,M1,1,0,Reactome Gene Sets,6,L13a-mediated translational silencing of Ceruloplasmin expression,,-4.625193316248301,10.4910790144435,7.215497647466376,20580,107,110,6,5.454545454545454,2.165226167776901,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.3687992993443951,0,1,0,0,-6.112735173811038,13.785645933014353,
1,-4.602245448525678,R-MMU-72706,M1,1,0,Reactome Gene Sets,6,GTP hydrolysis and joining of the 60S ribosomal subunit,,-4.602245448525678,10.393939393939393,7.175118038683514,20580,108,110,6,5.454545454545454,2.165226167776901,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.3687992993443951,0,1,0,0,-6.112735173811038,13.785645933014353,
1,-4.557047934110775,R-MMU-927802,M1,1,0,Reactome Gene Sets,6,Nonsense-Mediated Decay (NMD),,-4.557047934110775,10.20495867768595,7.095921776681034,20580,110,110,6,5.454545454545454,2.165226167776901,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.3687992993443951,0,1,0,0,-6.112735173811038,13.785645933014353,
1,-4.557047934110775,R-MMU-975957,M1,1,0,Reactome Gene Sets,6,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-4.557047934110775,10.20495867768595,7.095921776681034,20580,110,110,6,5.454545454545454,2.165226167776901,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.3687992993443951,0,1,0,0,-6.112735173811038,13.785645933014353,
1,-4.447930836005565,R-MMU-72613,M1,1,0,Reactome Gene Sets,6,Eukaryotic Translation Initiation,,-4.447930836005565,9.761264822134388,6.906522138229643,20580,115,110,6,5.454545454545454,2.165226167776901,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.3565922142472409,0,1,0,0,-6.112735173811038,13.785645933014353,
1,-4.447930836005565,R-MMU-72737,M1,1,0,Reactome Gene Sets,6,Cap-dependent Translation Initiation,,-4.447930836005565,9.761264822134388,6.906522138229643,20580,115,110,6,5.454545454545454,2.165226167776901,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.3565922142472409,0,1,0,0,-6.112735173811038,13.785645933014353,
