Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,Reactome Gene Sets,6,R-MMU-1799339,SRP-dependent cotranslational protein targeting to membrane,,-7.4,31,13,20580,88,45,6,13,5.1,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-4.8
Geneid,Reactome Gene Sets,6,R-MMU-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-7.4,30,13,20580,90,45,6,13,5.1,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-4.8
Geneid,WikiPathways,27,WP163,Cytoplasmic ribosomal proteins,,-7.2,29,13,20580,95,45,6,13,5.1,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-4.6
Geneid,Reactome Gene Sets,6,R-MMU-72689,Formation of a pool of free 40S subunits,,-7.2,28,13,20580,97,45,6,13,5.1,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-4.6
Geneid,Reactome Gene Sets,6,R-MMU-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-6.9,26,12,20580,107,45,6,13,5.1,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-4.3
Geneid,Reactome Gene Sets,6,R-MMU-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,,-6.9,25,12,20580,108,45,6,13,5.1,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-4.3
Geneid,Reactome Gene Sets,6,R-MMU-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-6.9,25,12,20580,110,45,6,13,5.1,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-4.3
Geneid,Reactome Gene Sets,6,R-MMU-927802,Nonsense-Mediated Decay (NMD),,-6.9,25,12,20580,110,45,6,13,5.1,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-4.3
Geneid,Reactome Gene Sets,6,R-MMU-72613,Eukaryotic Translation Initiation,,-6.7,24,12,20580,115,45,6,13,5.1,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-4.2
Geneid,Reactome Gene Sets,6,R-MMU-72737,Cap-dependent Translation Initiation,,-6.7,24,12,20580,115,45,6,13,5.1,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-4.2
Geneid,KEGG Pathway,24,mmu05171,Coronavirus disease - COVID-19,,-6,13,8.9,20580,247,45,7,16,5.4,12273|19981|20088|56040|67427|114641|269261,C5ar1|Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-3.5
Geneid,Reactome Gene Sets,6,R-MMU-72312,rRNA processing,,-5.7,16,9.2,20580,171,45,6,13,5.1,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-3.2
