_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.3,GO:0022408,negative regulation of cell-cell adhesion,M1,1,0
1,-2.7,GO:0050769,positive regulation of neurogenesis,M1,1,0
1,-2.4,GO:0060249,anatomical structure homeostasis,M1,1,0
1,-2.3,GO:0045428,regulation of nitric oxide biosynthetic process,M1,1,0
1,-2.3,GO:0097191,extrinsic apoptotic signaling pathway,M1,1,0
1,-2.4,GO:0060252,positive regulation of glial cell proliferation,M1,1,0
1,-4.1,GO:0030101,natural killer cell activation,M1,1,0
1,-2.9,GO:0031348,negative regulation of defense response,M1,1,0
1,-3.6,GO:0002285,lymphocyte activation involved in immune response,M1,1,0
1,-2.7,mmu04540,Gap junction,M1,1,0
1,-3.2,GO:0070527,platelet aggregation,M1,1,0
1,-2.5,GO:0072676,lymphocyte migration,M1,1,0
1,-2.9,R-MMU-380108,Chemokine receptors bind chemokines,M1,1,0
1,-2.1,GO:0007204,positive regulation of cytosolic calcium ion concentration,M1,1,0
1,-2.4,GO:1903530,regulation of secretion by cell,M1,1,0
1,-2,GO:1903532,positive regulation of secretion by cell,M1,1,0
1,-2.2,GO:0042102,positive regulation of T cell proliferation,M1,1,0
1,-2.1,GO:0045596,negative regulation of cell differentiation,M1,1,0
1,-2.3,GO:0002710,negative regulation of T cell mediated immunity,M1,1,0
1,-2.1,mmu04261,Adrenergic signaling in cardiomyocytes,M1,1,0
1,-3.1,GO:2000404,regulation of T cell migration,M1,1,0
1,-2.1,GO:0036293,response to decreased oxygen levels,M1,1,0
1,-6.1,GO:0031349,positive regulation of defense response,M1,1,0
1,-2.3,GO:0045123,cellular extravasation,M1,1,0
1,-2.4,GO:0030001,metal ion transport,M1,1,0
1,-2.1,GO:0140115,export across plasma membrane,M1,1,0
1,-2,GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,M1,1,0
1,-3.5,GO:0043254,regulation of protein-containing complex assembly,M1,1,0
1,-2.2,GO:0019933,cAMP-mediated signaling,M1,1,0
1,-2.1,GO:0070050,neuron cellular homeostasis,M1,1,0
1,-5.9,GO:0030155,regulation of cell adhesion,M1,1,0
1,-3.2,mmu04024,cAMP signaling pathway,M1,1,0
1,-4.2,GO:0072507,divalent inorganic cation homeostasis,M1,1,0
1,-2.1,GO:0006816,calcium ion transport,M1,1,0
1,-2.3,GO:0043114,regulation of vascular permeability,M1,1,0
1,-3.1,GO:0002063,chondrocyte development,M1,1,0
1,-3.2,GO:0071677,positive regulation of mononuclear cell migration,M1,1,0
1,-2,GO:0002762,negative regulation of myeloid leukocyte differentiation,M1,1,0
1,-2.5,GO:0098609,cell-cell adhesion,M1,1,0
1,-4,GO:0032651,regulation of interleukin-1 beta production,M1,1,0
1,-3.6,WP3625,Tyrobp causal network in microglia,M1,1,0
1,-2.3,GO:0007017,microtubule-based process,M1,1,0
1,-3.7,GO:0045986,negative regulation of smooth muscle contraction,M1,1,0
1,-2.2,GO:0031333,negative regulation of protein-containing complex assembly,M1,1,0
1,-2.4,GO:0070665,positive regulation of leukocyte proliferation,M1,1,0
1,-2.3,GO:0010543,regulation of platelet activation,M1,1,0
1,-3.4,GO:0032635,interleukin-6 production,M1,1,0
1,-2.1,GO:0050770,regulation of axonogenesis,M1,1,0
1,-2.1,GO:0046470,phosphatidylcholine metabolic process,M1,1,0
1,-2.5,WP202,Hypertrophy model,M1,1,0
