_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-8.803411351774422,GO:0009987,cellular process,M1,1,GO:0001775 cell activation
1,-8.30171208785153,GO:0050896,response to stimulus,M1,1,GO:0050727 regulation of inflammatory response
1,-7.933568755657188,GO:0002376,immune system process,M1,1,GO:0045321 leukocyte activation
1,-6.875475984721038,GO:0048518,positive regulation of biological process,M1,1,GO:0032103 positive regulation of response to external stimulus
1,-5.903693341803252,GO:0022610,biological adhesion,M1,1,GO:0030155 regulation of cell adhesion
1,-5.892109266392463,GO:0050789,regulation of biological process,M1,1,GO:0050865 regulation of cell activation
1,-5.6566674500636225,GO:0048519,negative regulation of biological process,M1,1,GO:0010563 negative regulation of phosphorus metabolic process
1,-5.490319853854703,GO:0032501,multicellular organismal process,M1,1,GO:0003018 vascular process in circulatory system
1,-5.342791071235087,GO:0023052,signaling,M1,1,GO:0019932 second-messenger-mediated signaling
1,-4.554557466779833,GO:0040011,locomotion,M1,1,GO:0030335 positive regulation of cell migration
1,-4.513752596570165,GO:0051179,localization,M1,1,GO:0051272 positive regulation of cellular component movement
1,-4.2825371042899265,GO:0032502,developmental process,M1,1,GO:0060284 regulation of cell development
1,-4.156349120590648,GO:0065007,biological regulation,M1,1,GO:0072507 divalent inorganic cation homeostasis
1,-3.922771797058972,GO:0008152,metabolic process,M1,1,GO:0009395 phospholipid catabolic process
1,-3.126692211001498,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0071346 cellular response to interferon-gamma
1,-2.2140004463199427,GO:0040007,growth,M1,1,GO:0060560 developmental growth involved in morphogenesis
1,-2.064745198775781,GO:0048511,rhythmic process,M1,1,"GO:0045187 regulation of circadian sleep/wake cycle, sleep"
