_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-8.803411351774422,GO:0001775,M1,1,0,GO Biological Processes,19,cell activation,19_GO:0009987 cellular process,-8.803411351774422,3.258785942492013,7.477658820219193,20580,686,313,34,10.86261980830671,1.7588348159174125,11487|11622|12047|12362|12393|12483|12495|12505|12506|12845|14056|15587|15978|16173|16174|16185|16408|16852|17059|18021|19165|19219|19271|20737|21898|22174|22780|27007|56193|72310|72828|74732|75345|170741,Adam10|Ahr|Bcl2a1d|Casp1|Runx2|Cd22|Entpd1|Cd44|Cd48|Comp|Ezh2|Hyal2|Ifng|Il18|Il18rap|Il2rb|Itgal|Lgals1|Klrb1c|Nfatc3|Psen2|Ptger4|Ptprj|Spn|Tlr4|Tyro3|Ikzf3|Klrk1|Plek|Nkg7|Ubash3b|Stx11|Slamf7|Pilrb1,-4.535981470960417,0,1,1,1,-8.803411351774422,4.696485623003195,
1,-7.933568755657188,GO:0045321,M1,1,0,GO Biological Processes,19,leukocyte activation,19_GO:0002376 immune system process,-7.933568755657188,3.2985350529453874,7.088785161486697,20580,598,313,30,9.584664536741213,1.6639387616529555,11487|11622|12047|12362|12393|12483|12505|12506|14056|15587|15978|16173|16174|16185|16408|16852|17059|18021|19165|19219|19271|20737|21898|22174|22780|27007|72310|74732|75345|170741,Adam10|Ahr|Bcl2a1d|Casp1|Runx2|Cd22|Cd44|Cd48|Ezh2|Hyal2|Ifng|Il18|Il18rap|Il2rb|Itgal|Lgals1|Klrb1c|Nfatc3|Psen2|Ptger4|Ptprj|Spn|Tlr4|Tyro3|Ikzf3|Klrk1|Nkg7|Stx11|Slamf7|Pilrb1,-4.268198866171145,0,1,0,0,-8.803411351774422,4.696485623003195,
1,-7.120854645708197,GO:0046649,M1,1,0,GO Biological Processes,19,lymphocyte activation,19_GO:0002376 immune system process,-7.120854645708197,3.4752007781207572,6.767946747990636,20580,473,313,25,7.987220447284345,1.532320959062169,11622|12047|12393|12483|12505|12506|14056|15978|16173|16185|16408|16852|17059|18021|19165|19219|19271|20737|21898|22174|22780|27007|72310|74732|75345,Ahr|Bcl2a1d|Runx2|Cd22|Cd44|Cd48|Ezh2|Ifng|Il18|Il2rb|Itgal|Lgals1|Klrb1c|Nfatc3|Psen2|Ptger4|Ptprj|Spn|Tlr4|Tyro3|Ikzf3|Klrk1|Nkg7|Stx11|Slamf7,-3.5523947692302102,0,1,0,0,-8.803411351774422,4.696485623003195,
1,-3.5723235655263443,GO:0002285,M1,1,0,GO Biological Processes,19,lymphocyte activation involved in immune response,19_GO:0002376 immune system process,-3.5723235655263443,4.2880955688290046,4.816281380738609,20580,138,313,9,2.8753993610223643,0.9445860777085686,15978|16408|16852|19165|19219|20737|21898|72310|74732,Ifng|Itgal|Lgals1|Psen2|Ptger4|Spn|Tlr4|Nkg7|Stx11,-1.191384409884821,0,1,0,0,-8.803411351774422,4.696485623003195,
1,-3.110564519269363,GO:0042110,M1,1,0,GO Biological Processes,19,T cell activation,19_GO:0002376 immune system process,-3.110564519269363,2.8303323953198065,3.9820842764057374,20580,302,313,13,4.15335463258786,1.1277576900749349,12047|12393|12505|12506|15978|16408|18021|19165|19219|20737|72310|74732|75345,Bcl2a1d|Runx2|Cd44|Cd48|Ifng|Itgal|Nfatc3|Psen2|Ptger4|Spn|Nkg7|Stx11|Slamf7,-0.946938359411315,0,1,0,0,-8.803411351774422,4.696485623003195,
1,-2.7508834586573747,GO:0002286,M1,1,0,GO Biological Processes,19,T cell activation involved in immune response,19_GO:0002376 immune system process,-2.7508834586573747,4.696485623003195,4.218748899116968,20580,84,313,6,1.9169329073482428,0.7750474765702153,15978|16408|19165|19219|20737|74732,Ifng|Itgal|Psen2|Ptger4|Spn|Stx11,-0.7035616658834247,0,1,0,0,-8.803411351774422,4.696485623003195,
1,-2.3690587271327312,GO:0002366,M1,1,0,GO Biological Processes,19,leukocyte activation involved in immune response,19_GO:0002376 immune system process,-2.3690587271327312,2.8866204316995248,3.3736670841177405,20580,205,313,9,2.8753993610223643,0.9445860777085686,15978|16408|16852|19165|19219|20737|21898|72310|74732,Ifng|Itgal|Lgals1|Psen2|Ptger4|Spn|Tlr4|Nkg7|Stx11,-0.5042448783005905,0,1,0,0,-8.803411351774422,4.696485623003195,
1,-2.3146987268845574,GO:0002263,M1,1,0,GO Biological Processes,19,cell activation involved in immune response,19_GO:0002376 immune system process,-2.3146987268845574,2.8313741076478594,3.306995523439076,20580,209,313,9,2.8753993610223643,0.9445860777085686,15978|16408|16852|19165|19219|20737|21898|72310|74732,Ifng|Itgal|Lgals1|Psen2|Ptger4|Spn|Tlr4|Nkg7|Stx11,-0.47051472000736017,0,1,0,0,-8.803411351774422,4.696485623003195,
1,-2.077390947765448,GO:0030098,M1,1,0,GO Biological Processes,19,lymphocyte differentiation,19_GO:0002376 immune system process,-2.077390947765448,2.3255909515835755,2.9272723645974277,20580,311,313,11,3.5143769968051117,1.040838403156372,11622|12047|12393|14056|15978|16852|18021|19219|19271|20737|22174,Ahr|Bcl2a1d|Runx2|Ezh2|Ifng|Lgals1|Nfatc3|Ptger4|Ptprj|Spn|Tyro3,-0.3350058739882884,0,1,0,0,-8.803411351774422,4.696485623003195,
1,-8.30171208785153,GO:0050727,M1,1,0,GO Biological Processes,19,regulation of inflammatory response,19_GO:0050896 response to stimulus,-8.30171208785153,4.308456896316321,7.769291218383422,20580,351,313,23,7.348242811501597,1.474845103399122,12362|12363|12505|12774|13024|15587|15978|16852|19219|20290|20317|20737|21898|21938|21943|21946|22174|72310|75697|100182|100340|210029|270151,Casp1|Casp4|Cd44|Ccr5|Ctla2a|Hyal2|Ifng|Lgals1|Ptger4|Ccl1|Serpinf1|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tyro3|Nkg7|C2cd4b|Akna|Smpdl3b|Metrnl|Nlrx1,-4.335312202701507,0,2,1,1,-8.30171208785153,7.545173623841199,
