Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0001775,cell activation,19_GO:0009987 cellular process,-12,5.1,9.8,20580,686,164,28,17,2.9,11487|11622|12047|12362|12393|12483|12495|12505|12506|12845|14056|15587|15978|16173|16174|16185|16408|16852|17059|19165|19219|19271|21898|22174|22780|27007|72828|170741,Adam10|Ahr|Bcl2a1d|Casp1|Runx2|Cd22|Entpd1|Cd44|Cd48|Comp|Ezh2|Hyal2|Ifng|Il18|Il18rap|Il2rb|Itgal|Lgals1|Klrb1c|Psen2|Ptger4|Ptprj|Tlr4|Tyro3|Ikzf3|Klrk1|Ubash3b|Pilrb1,-7.7
Geneid,GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-11,5.2,9.4,20580,598,164,25,15,2.8,11487|11622|12047|12362|12393|12483|12505|12506|14056|15587|15978|16173|16174|16185|16408|16852|17059|19165|19219|19271|21898|22174|22780|27007|170741,Adam10|Ahr|Bcl2a1d|Casp1|Runx2|Cd22|Cd44|Cd48|Ezh2|Hyal2|Ifng|Il18|Il18rap|Il2rb|Itgal|Lgals1|Klrb1c|Psen2|Ptger4|Ptprj|Tlr4|Tyro3|Ikzf3|Klrk1|Pilrb1,-7.4
Geneid,GO Biological Processes,19,GO:0006954,inflammatory response,19_GO:0050896 response to stimulus,-9.5,5.4,8.9,20580,485,164,21,13,2.6,12363|12505|12766|12774|13058|15368|15978|16173|16174|17948|19165|19217|19219|20290|21898|21938|54199|57349|100340|225192|268973,Casp4|Cd44|Cxcr3|Ccr5|Cybb|Hmox1|Ifng|Il18|Il18rap|Naip2|Psen2|Ptger2|Ptger4|Ccl1|Tlr4|Tnfrsf1b|Ccrl2|Ppbp|Smpdl3b|Hrh4|Nlrc4,-6.2
Geneid,GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-9.2,5.5,8.8,20580,453,164,20,12,2.6,11487|12168|12362|12766|12774|15587|15978|16174|16641|16852|17059|19219|19271|20290|20583|21898|21943|27007|50930|268973,Adam10|Bmpr2|Casp1|Cxcr3|Ccr5|Hyal2|Ifng|Il18rap|Klrc1|Lgals1|Klrb1c|Ptger4|Ptprj|Ccl1|Snai2|Tlr4|Tnfsf11|Klrk1|Tnfsf14|Nlrc4,-6.1
Geneid,GO Biological Processes,19,GO:0046649,lymphocyte activation,19_GO:0002376 immune system process,-8.9,5.3,8.5,20580,473,164,20,12,2.6,11622|12047|12393|12483|12505|12506|14056|15978|16173|16185|16408|16852|17059|19165|19219|19271|21898|22174|22780|27007,Ahr|Bcl2a1d|Runx2|Cd22|Cd44|Cd48|Ezh2|Ifng|Il18|Il2rb|Itgal|Lgals1|Klrb1c|Psen2|Ptger4|Ptprj|Tlr4|Tyro3|Ikzf3|Klrk1,-5.9
Geneid,KEGG Pathway,24,mmu04061,Viral protein interaction with cytokine and cytokine receptor,,-8.4,13,11,20580,95,164,10,6.1,1.9,12766|12774|16154|16173|16174|16185|20290|21938|50930|57349,Cxcr3|Ccr5|Il10ra|Il18|Il18rap|Il2rb|Ccl1|Tnfrsf1b|Tnfsf14|Ppbp,-5.5
Geneid,KEGG Pathway,24,mmu04060,Cytokine-cytokine receptor interaction,,-7.9,6.4,8.4,20580,292,164,15,9.1,2.3,12168|12766|12774|14103|15978|16154|16173|16174|16185|20290|21938|21943|50930|57349|72049,Bmpr2|Cxcr3|Ccr5|Fasl|Ifng|Il10ra|Il18|Il18rap|Il2rb|Ccl1|Tnfrsf1b|Tnfsf11|Tnfsf14|Ppbp|Tnfrsf13c,-5.1
Geneid,GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-7.8,3.8,7.3,20580,783,164,24,15,2.8,11487|12505|12519|12766|12774|14204|15978|16173|16401|16408|16852|16854|17931|18606|18806|19219|19271|20583|21943|50930|54712|58859|72049|72828,Adam10|Cd44|Cd80|Cxcr3|Ccr5|Il4i1|Ifng|Il18|Itga4|Itgal|Lgals1|Lgals3|Ppp1r12a|Enpp2|Pld2|Ptger4|Ptprj|Snai2|Tnfsf11|Tnfsf14|Plxnc1|Efemp2|Tnfrsf13c|Ubash3b,-5.1
Geneid,GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0050789 regulation of biological process,-7.8,3.8,7.3,20580,784,164,24,15,2.8,11622|12483|12505|12519|14204|15368|15978|16173|16408|16641|16852|16854|18806|19271|21898|21938|21943|21946|22174|22780|27007|50930|72049|72828,Ahr|Cd22|Cd44|Cd80|Il4i1|Hmox1|Ifng|Il18|Itgal|Klrc1|Lgals1|Lgals3|Pld2|Ptprj|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tyro3|Ikzf3|Klrk1|Tnfsf14|Tnfrsf13c|Ubash3b,-5.1
Geneid,GO Biological Processes,19,GO:0051272,positive regulation of cellular component movement,19_GO:0051179 localization,-7.6,4.2,7.4,20580,621,164,21,13,2.6,11487|11853|12168|14678|15368|15978|16173|16401|16411|16854|17756|18606|18806|19219|19271|20290|20583|21844|21898|24064|50930,Adam10|Rhoc|Bmpr2|Gnai2|Hmox1|Ifng|Il18|Itga4|Itgax|Lgals3|Map2|Enpp2|Pld2|Ptger4|Ptprj|Ccl1|Snai2|Tiam1|Tlr4|Spry2|Tnfsf14,-5
Geneid,GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-7.6,4.2,7.3,20580,622,164,21,13,2.6,11487|11853|12168|12766|14678|15368|15978|16173|16401|16411|16854|18606|18806|19219|19271|20290|20583|21844|21898|24064|50930,Adam10|Rhoc|Bmpr2|Cxcr3|Gnai2|Hmox1|Ifng|Il18|Itga4|Itgax|Lgals3|Enpp2|Pld2|Ptger4|Ptprj|Ccl1|Snai2|Tiam1|Tlr4|Spry2|Tnfsf14,-5
Geneid,GO Biological Processes,19,GO:0043269,regulation of ion transport,19_GO:0051179 localization,-7.5,3.8,7.1,20580,750,164,23,14,2.7,11554|11622|11941|12495|12766|12794|13058|14652|14678|14682|15978|16500|16533|16854|19165|21943|24046|56461|66395|67972|72828|381290|545622,Adrb1|Ahr|Atp2b2|Entpd1|Cxcr3|Cnih2|Cybb|Glp1r|Gnai2|Gnaq|Ifng|Kcnb1|Kcnmb1|Lgals3|Psen2|Tnfsf11|Scn11a|Kcnip3|Ahnak|Atp2b1|Ubash3b|Atp2b4|Ptpn3,-4.9
Geneid,GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-7.4,4.3,7.3,20580,577,164,20,12,2.6,11487|11853|12168|14678|15368|15978|16173|16401|16411|16854|18606|18806|19219|19271|20290|20583|21844|21898|24064|50930,Adam10|Rhoc|Bmpr2|Gnai2|Hmox1|Ifng|Il18|Itga4|Itgax|Lgals3|Enpp2|Pld2|Ptger4|Ptprj|Ccl1|Snai2|Tiam1|Tlr4|Spry2|Tnfsf14,-4.8
Geneid,GO Biological Processes,19,GO:2000147,positive regulation of cell motility,19_GO:0040011 locomotion,-7.1,4.2,7.1,20580,604,164,20,12,2.6,11487|11853|12168|14678|15368|15978|16173|16401|16411|16854|18606|18806|19219|19271|20290|20583|21844|21898|24064|50930,Adam10|Rhoc|Bmpr2|Gnai2|Hmox1|Ifng|Il18|Itga4|Itgax|Lgals3|Enpp2|Pld2|Ptger4|Ptprj|Ccl1|Snai2|Tiam1|Tlr4|Spry2|Tnfsf14,-4.6
