Cluster,Score,Type,Gene,Symbol,Network
2,2.5,Clustered,225192,Hrh4,Geneid_SUB1
2,2.5,Clustered,14678,Gnai2,Geneid_SUB1
2,2.5,Clustered,57349,Ppbp,Geneid_SUB1
2,2.5,Clustered,20290,Ccl1,Geneid_SUB1
2,2.5,Seed,12766,Cxcr3,Geneid_SUB1
2,2.5,Clustered,12774,Ccr5,Geneid_SUB1
3,2.0,Clustered,12000,Avpr2,Geneid_SUB1
3,2.0,Seed,14652,Glp1r,Geneid_SUB1
3,2.0,Clustered,19217,Ptger2,Geneid_SUB1
3,2.0,Clustered,19219,Ptger4,Geneid_SUB1
3,2.0,Clustered,11554,Adrb1,Geneid_SUB1
4,2.0,Clustered,103768,Tubg2,Geneid_SUB1
4,2.0,Seed,16578,Kif9,Geneid_SUB1
4,2.0,Clustered,16580,Kifc5b,Geneid_SUB1
4,2.0,Clustered,233406,Prc1,Geneid_SUB1
4,2.0,Clustered,22153,Tubb4a,Geneid_SUB1
5,1.5,Clustered,16852,Lgals1,Geneid_SUB1
5,1.5,Clustered,29817,Igfbp7,Geneid_SUB1
5,1.5,Clustered,74761,Mxra8,Geneid_SUB1
5,1.5,Seed,208659,Fam20a,Geneid_SUB1
6,1.5,Clustered,16408,Itgal,Geneid_SUB1
6,1.5,Seed,13058,Cybb,Geneid_SUB1
6,1.5,Clustered,19271,Ptprj,Geneid_SUB1
6,1.5,Clustered,21938,Tnfrsf1b,Geneid_SUB1
7,1.5,Clustered,17948,Naip2,Geneid_SUB1
7,1.5,Clustered,12362,Casp1,Geneid_SUB1
7,1.5,Clustered,268973,Nlrc4,Geneid_SUB1
7,1.5,Seed,12363,Casp4,Geneid_SUB1
1,1.4210526315789473,Seed,16854,Lgals3,Geneid_SUB1
1,1.4210526315789473,Clustered,20430,Cyfip1,Geneid_SUB1
1,1.4210526315789473,Clustered,214230,Pak6,Geneid_SUB1
1,1.4210526315789473,Clustered,12047,Bcl2a1d,Geneid_SUB1
1,1.4210526315789473,Clustered,17931,Ppp1r12a,Geneid_SUB1
1,1.4210526315789473,Clustered,21946,Pglyrp1,Geneid_SUB1
1,1.4210526315789473,Clustered,60596,Gucy1a1,Geneid_SUB1
1,1.4210526315789473,Clustered,21844,Tiam1,Geneid_SUB1
1,1.4210526315789473,Clustered,54195,Gucy1b1,Geneid_SUB1
1,1.4210526315789473,Clustered,11487,Adam10,Geneid_SUB1
1,1.4210526315789473,Clustered,140721,Caskin2,Geneid_SUB1
1,1.4210526315789473,Clustered,20719,Serpinb6a,Geneid_SUB1
1,1.4210526315789473,Clustered,14682,Gnaq,Geneid_SUB1
1,1.4210526315789473,Clustered,68895,Rasl11a,Geneid_SUB1
1,1.4210526315789473,Clustered,225187,Ankrd29,Geneid_SUB1
1,1.4210526315789473,Clustered,12045,Bcl2a1b,Geneid_SUB1
1,1.4210526315789473,Clustered,12505,Cd44,Geneid_SUB1
1,1.4210526315789473,Clustered,11853,Rhoc,Geneid_SUB1
1,1.4210526315789473,Clustered,13033,Ctsd,Geneid_SUB1
8,1.25,Seed,207175,Cetn4,Geneid_SUB1
8,1.25,Clustered,11941,Atp2b2,Geneid_SUB1
8,1.25,Clustered,381290,Atp2b4,Geneid_SUB1
8,1.25,Clustered,56461,Kcnip3,Geneid_SUB1
9,1.0,Clustered,72049,Tnfrsf13c,Geneid_SUB1
9,1.0,Clustered,50930,Tnfsf14,Geneid_SUB1
9,1.0,Seed,21943,Tnfsf11,Geneid_SUB1
