Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
12841,3.0,1,1,1
15368,3.0,1,1,1
12331,3.0,1,1,1
14204,3.0,1,1,1
14103,3.0,1,1,1
329165,3.0,1,1,1
19271,3.0,1,1,1
12168,3.0,1,1,1
16401,3.0,1,1,1
21946,3.0,1,1,1
68616,3.0,1,1,1
67972,3.0,1,1,1
15898,3.0,1,1,1
21844,3.0,1,1,1
16174,3.0,1,1,1
17059,3.0,1,1,1
19219,3.0,1,1,1
75302,3.0,1,1,1
16641,3.0,1,1,1
13030,3.0,1,1,1
15587,3.0,1,1,1
12495,3.0,1,1,1
232889,3.0,1,1,1
16854,3.0,1,1,1
11979,3.0,1,1,1
16173,3.0,1,1,1
16411,3.0,1,1,1
50930,3.0,1,1,1
12774,3.0,1,1,1
11941,3.0,1,1,1
100340,3.0,1,1,1
20200,3.0,1,1,1
225192,3.0,1,1,1
97086,3.0,1,1,1
545622,3.0,1,1,1
22780,3.0,1,1,1
11554,3.0,1,1,1
170741,3.0,1,1,1
12393,3.0,1,1,1
14682,3.0,1,1,1
11746,3.0,1,1,1
268973,3.0,1,1,1
20238,3.0,1,1,1
22153,3.0,1,1,1
106347,3.0,1,1,1
54195,3.0,1,1,1
12483,3.0,1,1,1
214230,3.0,1,1,1
15978,3.0,1,1,1
104156,3.0,1,1,1
18806,3.0,1,1,1
16185,3.0,1,1,1
13058,3.0,1,1,1
72828,3.0,1,1,1
19165,3.0,1,1,1
57349,3.0,1,1,1
16500,3.0,1,1,1
22174,3.0,1,1,1
12306,3.0,1,1,1
70762,3.0,1,1,1
12766,3.0,1,1,1
27007,3.0,1,1,1
54199,3.0,1,1,1
12000,3.0,1,1,1
17948,3.0,1,1,1
20290,3.0,1,1,1
20430,3.0,1,1,1
108155,3.0,1,1,1
21938,3.0,1,1,1
21943,3.0,1,1,1
14652,3.0,1,1,1
20583,3.0,1,1,1
16154,3.0,1,1,1
17756,3.0,1,1,1
12505,3.0,1,1,1
22352,3.0,1,1,1
60596,3.0,1,1,1
21898,3.0,1,1,1
17357,3.0,1,1,1
12519,3.0,1,1,1
229658,3.0,1,1,1
192654,3.0,1,1,1
71302,3.0,1,1,1
11622,3.0,1,1,1
14678,3.0,1,1,1
12362,3.0,1,1,1
16408,3.0,1,1,1
12363,3.0,1,1,1
19217,3.0,1,1,1
72049,3.0,1,1,1
12845,3.0,1,1,1
11487,3.0,1,1,1
24064,3.0,1,1,1
16852,3.0,1,1,1
208898,3.0,1,1,1
18606,3.0,1,1,1
381290,3.0,1,1,1
16332,3.0,1,1,1
11937,3.0,1,1,1
21961,2.0,1,1,0
74777,2.0,1,1,0
380712,2.0,1,1,0
110784,2.0,1,0,1
20715,2.0,1,0,1
12506,2.0,1,0,1
74761,2.0,1,0,1
192190,2.0,1,0,1
20198,2.0,1,0,1
216021,2.0,1,1,0
56193,2.0,1,1,0
71519,2.0,1,0,1
71720,2.0,1,0,1
207175,2.0,1,0,1
22240,2.0,1,0,1
13033,2.0,1,0,1
20737,2.0,1,1,0
12521,2.0,1,0,1
66395,2.0,1,0,1
17540,2.0,1,1,0
58220,2.0,1,0,1
269224,2.0,1,0,1
54426,2.0,1,0,1
74318,2.0,1,1,0
50918,2.0,1,1,0
11853,2.0,1,0,1
207215,2.0,1,0,1
14056,2.0,1,0,1
13024,2.0,1,1,0
75697,2.0,1,1,0
57436,2.0,1,0,1
16533,2.0,1,0,1
13807,2.0,1,0,1
74732,2.0,1,1,0
22038,2.0,1,1,0
69553,2.0,1,0,1
225362,2.0,1,0,1
140559,2.0,1,0,1
56791,2.0,1,0,1
235527,2.0,1,1,0
56461,2.0,1,0,1
51793,2.0,1,1,0
12124,2.0,1,0,1
54712,2.0,1,0,1
231474,2.0,1,1,0
16329,2.0,1,0,1
18021,2.0,1,1,0
58859,2.0,1,0,1
21873,2.0,1,1,0
12332,2.0,1,1,0
29817,2.0,1,0,1
16541,2.0,1,0,1
328232,2.0,1,1,0
14537,2.0,1,1,0
12494,2.0,1,1,0
208659,2.0,1,0,1
80884,2.0,1,0,1
18671,2.0,1,1,0
72310,2.0,1,1,0
380686,2.0,1,0,1
269941,2.0,1,1,0
104445,2.0,1,1,0
100101919,2.0,1,0,1
77300,2.0,1,0,1
268566,2.0,1,0,1
320292,2.0,1,0,1
22755,2.0,1,0,1
20719,2.0,1,0,1
