,gene,Geneid,genename.x,dfin_change.x,dfin_log2FC.x,dfin_padj.x,dfin_Change Metric.x,genename.y,dfin_change.y,dfin_log2FC.y,dfin_padj.y,dfin_Change Metric.y
1,1,ENSMUSG00000076760,ENSMUSG00000076760,Down,-24.217028222903,3.69162008391732e-19,-446.387226136187,ENSMUSG00000076760,Down,-9.78794528658114,6.64343086204497e-05,-40.8901944250148
2,2,ENSMUSG00000000617,Grm6,Down,-24.3251889134108,9.86714795510432e-14,-316.368745319506,Grm6,Down,-22.6322232460309,2.41652775137466e-18,-398.707536360575
3,3,ENSMUSG00000102620,ENSMUSG00000102620,Down,-27.1097583135462,1.32187140887192e-11,-294.921931277144,ENSMUSG00000102620,Down,-21.5352819900293,2.78816946005004e-11,-227.298028077422
4,4,ENSMUSG00000100798,Gm19589,Down,-22.0494405626129,4.75431118161521e-12,-249.663883871544,Gm19589,Down,-26.0891644043782,4.02014237572623e-26,-662.554120398267
5,5,ENSMUSG00000044177,Wfikkn2,Down,-22.2164168197752,1.61434000744255e-10,-217.54326436318,Wfikkn2,Down,-7.16573126184436,0.0805663314628154,-7.83820942461833
6,6,ENSMUSG00000000303,Cdh1,Down,-21.8033290790354,1.72860497574442e-07,-147.440744704068,Cdh1,Down,-28.4896287409289,8.82583419617562e-20,-542.848344209866
7,7,ENSMUSG00000052534,Pbx1,Down,-21.1432342103544,1.04969461800953e-06,-126.414065943781,Pbx1,Down,-23.5594930416407,7.41591251243001e-13,-285.772772757333
8,8,ENSMUSG00000036172,Cd200r3,Down,-24.6750662193803,0.000111307202097776,-97.5523002049525,Cd200r3,Down,-22.6984001680567,4.7183011177017e-06,-120.896544612837
9,9,ENSMUSG00000024124,Prss30,Down,-21.5543406029709,3.19222772234469e-05,-96.9062921564199,Prss30,Down,-26.3694576941665,6.3492264005299e-12,-295.266179800545
10,10,ENSMUSG00000071324,Armc2,Down,-22.4851510675897,7.45975859604838e-05,-92.8024069637584,Armc2,Down,-24.6781493489532,6.69689218834522e-09,-201.72231931749
11,11,ENSMUSG00000022286,Grhl2,Down,-21.5116355955265,5.81784061452979e-05,-91.1069004067229,Grhl2,Down,-24.5788625198554,7.692946988056e-10,-224.009473568803
12,12,ENSMUSG00000035435,Abca17,Down,-22.5971643416357,0.000355868720001067,-77.9310707889192,Abca17,Down,-15.8394486769832,0.00461903818752363,-36.9922158178647
13,13,ENSMUSG00000116280,ENSMUSG00000116280,Down,-23.9056448029217,0.000872911669699014,-73.1280774620606,ENSMUSG00000116280,Down,-21.4555318419343,0.000128243231450194,-83.5041907265346
14,14,ENSMUSG00000089987,ENSMUSG00000089987,Down,-21.6314924880805,0.000462412519212798,-72.1403875119403,ENSMUSG00000089987,Down,-25.3293936394492,2.07489039626963e-08,-194.605853912453
15,15,ENSMUSG00000110317,ENSMUSG00000110317,Down,-22.3323269678942,0.00101511076035341,-66.851520824021,ENSMUSG00000110317,Down,-19.1334476497399,0.000471166482305324,-63.6536436837231
16,16,ENSMUSG00000066235,Pomgnt2,Down,-21.9955600584606,0.00116218188207876,-64.5509397734088,Pomgnt2,Down,-22.337859105738,1.05263646872123e-05,-111.191643497471
17,17,ENSMUSG00000059498,Fcgr3,Down,-24.679065627761,0.00288063864370785,-62.6974430661426,Fcgr3,Down,-23.8816215992315,0.000133701949421586,-92.5141126334041
18,18,ENSMUSG00000037594,Clba1,Down,-21.7639007040021,0.00161571448392867,-60.7568752514907,Clba1,Down,-25.3984141538675,3.39203316486076e-07,-164.316054023611
19,19,ENSMUSG00000002059,Rab34,Down,-22.9373742531313,0.00768169743605145,-48.5020596390966,Rab34,Down,-22.1893262817457,0.000554475464305409,-72.2510573190969
20,20,ENSMUSG00000030996,Art1,Down,-22.8655334668749,0.00796174730472158,-47.9945629157284,Art1,Down,-23.1897699596421,0.000241516994397872,-83.8786108758514
21,21,ENSMUSG00000104936,ENSMUSG00000104936,Down,-22.8136840305466,0.00816577630979745,-47.6350297724925,ENSMUSG00000104936,Down,-21.7632335207417,0.000781829888419848,-67.6159232131057
22,22,ENSMUSG00000097561,ENSMUSG00000097561,Down,-20.6473809032954,0.00824309307508947,-43.0272793341132,ENSMUSG00000097561,Down,-26.9802545390192,4.42957437286081e-07,-171.422770545
23,23,ENSMUSG00000022419,Deptor,Down,-17.3476738494967,0.0214304989775685,-28.9527076187071,Deptor,Down,-23.2266211692698,1.94058958326037e-06,-132.672000140581
24,24,ENSMUSG00000040752,Myh6,Down,-19.7676537172202,0.035636891353961,-28.6255430440255,Myh6,Down,-18.5996142113775,0.00921419577504591,-37.8603064102029
25,25,ENSMUSG00000113679,Gm10432,Down,-16.79481544599,0.0231268106271505,-27.4743741670865,Gm10432,Down,-26.4060321654516,1.08172783342393e-08,-210.347336199999
26,26,ENSMUSG00000020256,Aldh1l2,Down,-15.5609403528568,0.03784250445697,-22.1279704118359,Aldh1l2,Down,-20.1023734320425,2.66100309938639e-05,-91.9674461979794
27,27,ENSMUSG00000023927,Satb1,Down,-1.61172937397715,0.035636891353961,-2.33394560781444,Satb1,Down,-2.80227339744674,2.21784775274967e-09,-24.2510652924671
28,28,ENSMUSG00000019726,Lyst,Down,-1.34247043521907,0.0194730663133741,-2.29638382229859,Lyst,Down,-1.90310958140806,3.71318119973616e-07,-12.2374777263258
