,gene,Geneid,genename.x,dfin_change.x,dfin_log2FC.x,dfin_padj.x,dfin_Change Metric.x,genename.y,dfin_change.y,dfin_log2FC.y,dfin_padj.y,dfin_Change Metric.y
1,1,ENSMUSG00000026700,Tnfsf4,Up,23.5470478543125,4.44824089418479e-38,879.524897582863,Tnfsf4,Up,13.0151885946361,2.72543626802291e-17,215.590924046005
2,2,ENSMUSG00000044033,Ccdc141,Up,22.8524430779791,3.73566830123958e-27,603.935948944524,Ccdc141,Up,11.0208093029898,1.82853278001769e-09,96.2986992978445
3,3,ENSMUSG00000045573,Penk,Up,24.5017602756095,5.3265780720595e-23,545.741224315966,Penk,Up,46.3983621920674,2.81662900764468e-125,5778.92855492848
4,4,ENSMUSG00000079037,Prnp,Up,22.327571410778,1.16877780346489e-21,467.366709559472,Prnp,Up,10.9751790316615,6.91853522923532e-08,78.5821264942522
5,5,ENSMUSG00000022793,B4galt4,Up,22.2886390763795,1.63952065688818e-19,418.698395122511,B4galt4,Up,48.1907895911472,1.73864172943242e-138,6638.75304924026
6,6,ENSMUSG00000055407,Map6,Up,20.2387723534838,9.08041222391821e-18,344.907021949019,Map6,Up,44.501950224757,1.08577980104529e-130,5783.66295127684
7,7,ENSMUSG00000020953,Coch,Up,20.9789444016654,2.61903415325431e-16,326.890950240438,Coch,Up,39.1776226792751,2.01855645154996e-86,3357.32477315433
8,8,ENSMUSG00000016529,Il10,Up,21.0022751078685,9.63123027610482e-15,294.374571535887,Il10,Up,48.1633778635518,1.95194767684178e-118,5669.28865957587
9,9,ENSMUSG00000076615,Ighg3,Up,21.6332533823959,2.90798333345487e-12,249.570039266215,Ighg3,Up,8.48174383023196,0.00390580864720461,20.4264906845315
10,10,ENSMUSG00000028716,Pdzk1ip1,Up,22.614554833494,2.64420476952248e-11,239.210087829539,Pdzk1ip1,Up,32.0543666184901,1.48241314930195e-34,1084.36815373278
11,11,ENSMUSG00000110597,ENSMUSG00000110597,Up,20.9764234516082,8.97179484094178e-12,231.729081011806,ENSMUSG00000110597,Up,6.50273457959715,0.0749697926511723,7.31631569994853
12,12,ENSMUSG00000014846,Tppp3,Up,20.7207597975392,6.80185898627299e-11,210.675680774176,Tppp3,Up,40.8854969265718,1.47093478073442e-64,2609.81966315992
13,13,ENSMUSG00000040899,Ccr6,Up,21.6220174938858,2.23165333931099e-09,187.060144124244,Ccr6,Up,39.776598281112,2.25643620924665e-48,1895.21875040157
14,14,ENSMUSG00000029752,Asns,Up,19.4988340168708,4.14467128480025e-09,163.449169336608,Asns,Up,33.4173900722017,9.1207624189091e-41,1338.03125776629
15,15,ENSMUSG00000066456,Hmgn3,Up,21.2308101237369,1.09715914752793e-07,147.760714032333,Hmgn3,Up,27.9596156677953,2.42580051032517e-20,548.431913145147
16,16,ENSMUSG00000109759,ENSMUSG00000109759,Up,20.6284356918895,1.02769131641196e-07,144.154341168853,ENSMUSG00000109759,Up,42.0083707694766,9.01419176748314e-49,2018.29524892659
17,17,ENSMUSG00000085457,1110046J04Rik,Up,20.6804345763656,1.1785830010892e-07,143.287282647578,1110046J04Rik,Up,48.2989027002755,6.04435944522216e-64,3053.39141152391
18,18,ENSMUSG00000031286,Glt28d2,Up,20.5943668883843,1.45637897786762e-07,140.798035291243,Glt28d2,Up,38.9799600706666,2.61879323427231e-41,1581.88079441671
19,19,ENSMUSG00000057123,Gja5,Up,19.4378625268187,7.38745025886856e-08,138.62122216323,Gja5,Up,31.9287932436603,2.30836281141383e-32,1010.12152329195
20,20,ENSMUSG00000044676,Zfp612,Up,21.6580632201021,4.91480503862318e-07,136.629755490023,Zfp612,Up,32.2045784084389,1.27363529612294e-23,737.322370681777
21,21,ENSMUSG00000017314,Mpp2,Up,18.5009958944221,2.0968095542561e-07,123.557809765696,Mpp2,Up,49.4134336813305,5.47650432108971e-81,3965.99613769507
22,22,ENSMUSG00000020607,Lratd1,Up,12.8265110115657,1.80786321957724e-09,112.140062098126,Lratd1,Up,10.5182643391546,8.93952303493653e-10,95.1764676118934
23,23,ENSMUSG00000035067,Xkr6,Up,20.9351643807828,5.23935198107206e-06,110.552792007285,Xkr6,Up,32.8702799320944,1.67481843740699e-22,715.784276419381
24,24,ENSMUSG00000039013,Siglecf,Up,22.546692718479,1.41422386674254e-05,109.339776840365,Siglecf,Up,38.1336829574735,4.20570949343887e-24,891.419102010775
25,25,ENSMUSG00000112734,ENSMUSG00000112734,Up,20.8642077157455,6.60122082878139e-06,108.084435457311,ENSMUSG00000112734,Up,35.1039240582853,2.24567343936618e-25,865.264457007696
26,26,ENSMUSG00000108214,ENSMUSG00000108214,Up,21.7633981553975,1.12064285377743e-05,107.740415841405,ENSMUSG00000108214,Up,37.9107535958613,4.48006882185834e-26,960.988900256298
27,27,ENSMUSG00000034394,Lif,Up,19.6706424423473,3.62136364095054e-06,107.030480678262,Lif,Up,38.9986491312053,6.86681088349808e-37,1410.31769981564
28,28,ENSMUSG00000050822,Slc29a4,Up,18.4381185446983,1.84905108146781e-06,105.706675637817,Slc29a4,Up,8.41101756149373,0.0409085073017442,11.6760599119143
29,29,ENSMUSG00000025809,Itgb1,Up,4.33640130679756,9.74185668785103e-25,104.122885352302,Itgb1,Up,1.17964223690886,0.00742377424635577,2.51190097521148
30,30,ENSMUSG00000091682,Trgc3,Up,18.5055602590832,3.97606377531879e-06,99.9401416156187,Trgc3,Up,31.9038494409767,1.08502156433313e-27,860.273314495513
31,31,ENSMUSG00000028601,Echdc2,Up,20.0013814245595,2.21149135717863e-05,93.1127260376408,Echdc2,Up,40.8491584794758,6.76166620683258e-34,1354.96439202937
32,32,ENSMUSG00000027524,Edn3,Up,21.9792330640129,6.15979471022019e-05,92.5421049443519,Edn3,Up,29.5986833011565,1.6383207917175e-13,378.436956505061
33,33,ENSMUSG00000072966,Gprasp2,Up,21.5772149294369,5.50453760652148e-05,91.9033818122224,Gprasp2,Up,34.6137596703057,2.22176138058287e-19,645.660932788566
34,34,ENSMUSG00000039959,Hip1,Up,7.10259717688892,1.54871686454684e-13,90.9844685128553,Hip1,Up,2.03687317720979,0.060664725295847,2.47900453716697
35,35,ENSMUSG00000025810,Nrp1,Up,8.70755664591134,3.66128532879367e-11,90.8752518201962,Nrp1,Up,2.88227802651253,0.0550250371155904,3.63005524572709
