Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-12,5.3,9.8,20504,772,130,26,20,3.5,11492|12367|12477|14758|16153|16410|16412|16768|16878|16963|18186|18750|19122|19247|20371|20750|22164|22329|54167|54446|54698|60505|94214|218397|240754|100043314,Adam19|Casp3|Ctla4|Gpm6b|Il10|Itgav|Itgb1|Lag3|Lif|Xcl1|Nrp1|Prkca|Prnp|Ptpn11|Foxp3|Spp1|Tnfsf4|Vcam1|Icos|Nfat5|Crtam|Il21|Spock2|Rasa1|Lax1|Tigit,-7.3,Geneid
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0050789 regulation of biological process,-10,4.9,8.8,20504,770,130,24,18,3.4,12367|12458|12477|16016|16153|16768|16963|17470|18750|19122|20371|22163|22164|22329|54167|54698|60505|67742|229521|231130|240754|252838|380795|100043314,Casp3|Ccr6|Ctla4|Ighg2b|Il10|Lag3|Xcl1|Cd200|Prkca|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Icos|Crtam|Il21|Samsn1|Syt11|Tnip2|Lax1|Tox|Ighg3|Tigit,-6.2,Geneid
GO Biological Processes,19,GO:0001817,regulation of cytokine production,19_GO:0032501 multicellular organismal process,-10,4.9,8.8,20504,776,130,24,18,3.4,15251|15442|16153|16410|16768|16963|17470|17951|18987|19122|19247|20361|20371|22163|22164|22402|30925|54698|58206|60505|66889|229521|320910|100043314,Hif1a|Hpse|Il10|Itgav|Lag3|Xcl1|Cd200|Naip5|Pou2f2|Prnp|Ptpn11|Sema7a|Foxp3|Tnfrsf4|Tnfsf4|Ccn4|Slamf6|Crtam|Zbtb32|Il21|Rnf128|Syt11|Itgb8|Tigit,-6.2,Geneid
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-9.8,5,8.8,20504,725,130,23,18,3.3,12367|12458|12477|16016|16153|16768|16963|17470|19122|20371|22163|22164|22329|54167|54698|60505|67742|229521|231130|240754|252838|380795|100043314,Casp3|Ccr6|Ctla4|Ighg2b|Il10|Lag3|Xcl1|Cd200|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Icos|Crtam|Il21|Samsn1|Syt11|Tnip2|Lax1|Tox|Ighg3|Tigit,-6.1,Geneid
GO Biological Processes,19,GO:0051249,regulation of lymphocyte activation,19_GO:0002376 immune system process,-9.6,5.4,8.9,20504,611,130,21,16,3.2,12367|12458|12477|16016|16153|16768|16963|19122|20371|22163|22164|22329|54167|54698|60505|67742|231130|240754|252838|380795|100043314,Casp3|Ccr6|Ctla4|Ighg2b|Il10|Lag3|Xcl1|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Icos|Crtam|Il21|Samsn1|Tnip2|Lax1|Tox|Ighg3|Tigit,-6,Geneid
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-9.5,5.7,9,20504,550,130,20,15,3.2,12367|12458|12477|14360|16410|16768|16963|19122|20371|22163|22164|22329|30925|54167|54698|58206|60505|240754|252838|100043314,Casp3|Ccr6|Ctla4|Fyn|Itgav|Lag3|Xcl1|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Slamf6|Icos|Crtam|Zbtb32|Il21|Lax1|Tox|Tigit,-6,Geneid
GO Biological Processes,19,GO:0002695,negative regulation of leukocyte activation,19_GO:0002376 immune system process,-9.3,10,11,20504,200,130,13,10,2.6,12367|12477|16153|16768|17470|19122|20371|22164|54698|67742|229521|240754|100043314,Casp3|Ctla4|Il10|Lag3|Cd200|Prnp|Foxp3|Tnfsf4|Crtam|Samsn1|Syt11|Lax1|Tigit,-5.9,Geneid
GO Biological Processes,19,GO:0050866,negative regulation of cell activation,19_GO:0048519 negative regulation of biological process,-8.7,9.2,9.8,20504,223,130,13,10,2.6,12367|12477|16153|16768|17470|19122|20371|22164|54698|67742|229521|240754|100043314,Casp3|Ctla4|Il10|Lag3|Cd200|Prnp|Foxp3|Tnfsf4|Crtam|Samsn1|Syt11|Lax1|Tigit,-5.4,Geneid
GO Biological Processes,19,GO:0050863,regulation of T cell activation,19_GO:0002376 immune system process,-8.3,6.9,8.8,20504,342,130,15,12,2.8,12367|12458|12477|16768|16963|19122|20371|22164|22329|54167|54698|60505|240754|252838|100043314,Casp3|Ccr6|Ctla4|Lag3|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Icos|Crtam|Il21|Lax1|Tox|Tigit,-5,Geneid
GO Biological Processes,19,GO:0022407,regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-8.3,5.9,8.4,20504,457,130,17,13,3,11492|12367|12477|16153|16768|16963|18750|19122|20371|22164|22329|54167|54446|54698|60505|240754|100043314,Adam19|Casp3|Ctla4|Il10|Lag3|Xcl1|Prkca|Prnp|Foxp3|Tnfsf4|Vcam1|Icos|Nfat5|Crtam|Il21|Lax1|Tigit,-5,Geneid
GO Biological Processes,19,GO:0051250,negative regulation of lymphocyte activation,19_GO:0002376 immune system process,-8,10,9.7,20504,168,130,11,8.5,2.4,12367|12477|16153|16768|19122|20371|22164|54698|67742|240754|100043314,Casp3|Ctla4|Il10|Lag3|Prnp|Foxp3|Tnfsf4|Crtam|Samsn1|Lax1|Tigit,-4.8,Geneid
GO Biological Processes,19,GO:0007159,leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-7.8,6.3,8.3,20504,373,130,15,12,2.8,12367|12477|16412|16768|16963|19122|20371|22164|22329|54167|54446|54698|60505|240754|100043314,Casp3|Ctla4|Itgb1|Lag3|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Icos|Nfat5|Crtam|Il21|Lax1|Tigit,-4.6,Geneid
GO Biological Processes,19,GO:0042098,T cell proliferation,19_GO:0002376 immune system process,-7.7,8.5,9,20504,222,130,12,9.2,2.5,12367|12477|14360|16963|19122|20371|22163|22164|22329|54698|58206|60505,Casp3|Ctla4|Fyn|Xcl1|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Crtam|Zbtb32|Il21,-4.6,Geneid
GO Biological Processes,19,GO:0046651,lymphocyte proliferation,19_GO:0002376 immune system process,-7.6,6.7,8.3,20504,331,130,14,11,2.7,12367|12477|14360|16153|16963|19122|20371|22163|22164|22329|30925|54698|58206|60505,Casp3|Ctla4|Fyn|Il10|Xcl1|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Slamf6|Crtam|Zbtb32|Il21,-4.5,Geneid
GO Biological Processes,19,GO:1903037,regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-7.6,6.6,8.3,20504,333,130,14,11,2.7,12367|12477|16768|16963|19122|20371|22164|22329|54167|54446|54698|60505|240754|100043314,Casp3|Ctla4|Lag3|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Icos|Nfat5|Crtam|Il21|Lax1|Tigit,-4.5,Geneid
GO Biological Processes,19,GO:0032943,mononuclear cell proliferation,19_GO:0009987 cellular process,-7.5,6.6,8.2,20504,335,130,14,11,2.7,12367|12477|14360|16153|16963|19122|20371|22163|22164|22329|30925|54698|58206|60505,Casp3|Ctla4|Fyn|Il10|Xcl1|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Slamf6|Crtam|Zbtb32|Il21,-4.5,Geneid
GO Biological Processes,19,GO:0002683,negative regulation of immune system process,19_GO:0002376 immune system process,-7.4,5.5,7.8,20504,460,130,16,12,2.9,12367|12477|16153|16768|17470|18566|19122|20371|20400|22163|22164|54698|67742|229521|240754|100043314,Casp3|Ctla4|Il10|Lag3|Cd200|Pdcd1|Prnp|Foxp3|Sh2d1a|Tnfrsf4|Tnfsf4|Crtam|Samsn1|Syt11|Lax1|Tigit,-4.4,Geneid
GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-7.3,5.3,7.6,20504,472,130,16,12,2.9,11492|16410|16412|16878|16963|18186|18750|19247|20371|20750|22164|22329|54167|54446|60505|94214,Adam19|Itgav|Itgb1|Lif|Xcl1|Nrp1|Prkca|Ptpn11|Foxp3|Spp1|Tnfsf4|Vcam1|Icos|Nfat5|Il21|Spock2,-4.3,Geneid
GO Biological Processes,19,GO:0070661,leukocyte proliferation,19_GO:0009987 cellular process,-7.2,6.2,7.9,20504,359,130,14,11,2.7,12367|12477|14360|16153|16963|19122|20371|22163|22164|22329|30925|54698|58206|60505,Casp3|Ctla4|Fyn|Il10|Xcl1|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Slamf6|Crtam|Zbtb32|Il21,-4.2,Geneid
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-7,5.5,7.6,20504,427,130,15,12,2.8,12458|12810|13043|13616|16016|16768|16963|18186|18750|20400|22164|22402|30925|54698|60505,Ccr6|Coch|Cttn|Edn3|Ighg2b|Lag3|Xcl1|Nrp1|Prkca|Sh2d1a|Tnfsf4|Ccn4|Slamf6|Crtam|Il21,-4.1,Geneid
GO Biological Processes,19,GO:0042113,B cell activation,19_GO:0002376 immune system process,-6.9,5.4,7.5,20504,435,130,15,12,2.8,12367|12458|12477|16016|16153|18018|18987|20371|22163|22164|60505|67742|231130|240754|380795,Casp3|Ccr6|Ctla4|Ighg2b|Il10|Nfatc1|Pou2f2|Foxp3|Tnfrsf4|Tnfsf4|Il21|Samsn1|Tnip2|Lax1|Ighg3,-4,Geneid
GO Biological Processes,19,GO:0050868,negative regulation of T cell activation,19_GO:0022610 biological adhesion,-6.8,11,9,20504,131,130,9,6.9,2.2,12367|12477|16768|19122|20371|22164|54698|240754|100043314,Casp3|Ctla4|Lag3|Prnp|Foxp3|Tnfsf4|Crtam|Lax1|Tigit,-3.9,Geneid
GO Biological Processes,19,GO:0031349,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-6.8,6.9,7.9,20504,273,130,12,9.2,2.5,12810|16016|16768|16963|18619|18750|20400|22164|22402|30925|54698|60505,Coch|Ighg2b|Lag3|Xcl1|Penk|Prkca|Sh2d1a|Tnfsf4|Ccn4|Slamf6|Crtam|Il21,-3.8,Geneid
GO Biological Processes,19,GO:0031347,regulation of defense response,19_GO:0050896 response to stimulus,-6.6,4.5,6.9,20504,599,130,17,13,3,12810|16016|16153|16768|16963|17470|18619|18750|20361|20371|20400|22164|22402|30925|54698|60505|229521,Coch|Ighg2b|Il10|Lag3|Xcl1|Cd200|Penk|Prkca|Sema7a|Foxp3|Sh2d1a|Tnfsf4|Ccn4|Slamf6|Crtam|Il21|Syt11,-3.7,Geneid
GO Biological Processes,19,GO:1903038,negative regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-6.4,9.8,8.5,20504,145,130,9,6.9,2.2,12367|12477|16768|19122|20371|22164|54698|240754|100043314,Casp3|Ctla4|Lag3|Prnp|Foxp3|Tnfsf4|Crtam|Lax1|Tigit,-3.6,Geneid
GO Biological Processes,19,GO:0050670,regulation of lymphocyte proliferation,19_GO:0002376 immune system process,-6.4,7.2,7.7,20504,241,130,11,8.5,2.4,12367|12477|16153|16963|19122|20371|22163|22164|22329|54698|60505,Casp3|Ctla4|Il10|Xcl1|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Crtam|Il21,-3.5,Geneid
GO Biological Processes,19,GO:0002699,positive regulation of immune effector process,19_GO:0002376 immune system process,-6.4,6.4,7.5,20504,296,130,12,9.2,2.5,16016|16153|16768|16963|20361|20371|20400|22163|22164|30925|54698|60505,Ighg2b|Il10|Lag3|Xcl1|Sema7a|Foxp3|Sh2d1a|Tnfrsf4|Tnfsf4|Slamf6|Crtam|Il21,-3.5,Geneid
GO Biological Processes,19,GO:0032944,regulation of mononuclear cell proliferation,19_GO:0050789 regulation of biological process,-6.3,7.1,7.6,20504,245,130,11,8.5,2.4,12367|12477|16153|16963|19122|20371|22163|22164|22329|54698|60505,Casp3|Ctla4|Il10|Xcl1|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Crtam|Il21,-3.5,Geneid
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0002376 immune system process,-6.3,4.2,6.6,20504,633,130,17,13,3,12458|12477|16153|16768|16878|17068|18018|18750|18987|20371|22164|22402|30925|54698|60505|252838|320910,Ccr6|Ctla4|Il10|Lag3|Lif|Ly6d|Nfatc1|Prkca|Pou2f2|Foxp3|Tnfsf4|Ccn4|Slamf6|Crtam|Il21|Tox|Itgb8,-3.4,Geneid
GO Biological Processes,19,GO:0007162,negative regulation of cell adhesion,19_GO:0022610 biological adhesion,-6.2,6.1,7.2,20504,310,130,12,9.2,2.5,12367|12477|16153|16768|19122|19247|20371|22164|54698|218397|240754|100043314,Casp3|Ctla4|Il10|Lag3|Prnp|Ptpn11|Foxp3|Tnfsf4|Crtam|Rasa1|Lax1|Tigit,-3.4,Geneid
GO Biological Processes,19,GO:0001819,positive regulation of cytokine production,19_GO:0048518 positive regulation of biological process,-6.2,4.7,6.7,20504,501,130,15,12,2.8,15251|15442|16153|16963|17470|17951|18987|19247|20361|20371|22164|30925|54698|60505|100043314,Hif1a|Hpse|Il10|Xcl1|Cd200|Naip5|Pou2f2|Ptpn11|Sema7a|Foxp3|Tnfsf4|Slamf6|Crtam|Il21|Tigit,-3.4,Geneid
GO Biological Processes,19,GO:0002708,positive regulation of lymphocyte mediated immunity,19_GO:0002376 immune system process,-6.1,9,8,20504,158,130,9,6.9,2.2,16016|16768|16963|20371|20400|22164|30925|54698|60505,Ighg2b|Lag3|Xcl1|Foxp3|Sh2d1a|Tnfsf4|Slamf6|Crtam|Il21,-3.3,Geneid
GO Biological Processes,19,GO:0022408,negative regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-6.1,7.7,7.7,20504,206,130,10,7.7,2.3,12367|12477|16153|16768|19122|20371|22164|54698|240754|100043314,Casp3|Ctla4|Il10|Lag3|Prnp|Foxp3|Tnfsf4|Crtam|Lax1|Tigit,-3.3,Geneid
GO Biological Processes,19,GO:0070663,regulation of leukocyte proliferation,19_GO:0050789 regulation of biological process,-6.1,6.6,7.3,20504,261,130,11,8.5,2.4,12367|12477|16153|16963|19122|20371|22163|22164|22329|54698|60505,Casp3|Ctla4|Il10|Xcl1|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Crtam|Il21,-3.3,Geneid
KEGG Pathway,24,ko04514,Cell adhesion molecules (CAMs),,-5.9,8.4,7.7,20504,169,130,9,6.9,2.2,12477|16410|16412|18260|18566|22329|54167|320910|100043314,Ctla4|Itgav|Itgb1|Ocln|Pdcd1|Vcam1|Icos|Itgb8|Tigit,-3.1,Geneid
KEGG Pathway,24,mmu04514,Cell adhesion molecules (CAMs),,-5.8,8.3,7.7,20504,171,130,9,6.9,2.2,12477|16410|16412|18260|18566|22329|54167|320910|100043314,Ctla4|Itgav|Itgb1|Ocln|Pdcd1|Vcam1|Icos|Itgb8|Tigit,-3.1,Geneid
GO Biological Processes,19,GO:0050864,regulation of B cell activation,19_GO:0002376 immune system process,-5.8,6.3,7.1,20504,276,130,11,8.5,2.4,12367|12477|16016|16153|20371|22163|22164|60505|67742|231130|380795,Casp3|Ctla4|Ighg2b|Il10|Foxp3|Tnfrsf4|Tnfsf4|Il21|Samsn1|Tnip2|Ighg3,-3.1,Geneid
GO Biological Processes,19,GO:0007160,cell-matrix adhesion,19_GO:0022610 biological adhesion,-5.8,7,7.2,20504,225,130,10,7.7,2.3,13043|14758|15442|16410|16412|18186|19247|22329|218397|320910,Cttn|Gpm6b|Hpse|Itgav|Itgb1|Nrp1|Ptpn11|Vcam1|Rasa1|Itgb8,-3.1,Geneid
GO Biological Processes,19,GO:0002250,adaptive immune response,19_GO:0002376 immune system process,-5.7,4.1,6.2,20504,623,130,16,12,2.9,12458|12477|14360|16016|16768|16963|18566|18987|20371|20400|22164|30925|54698|67742|240754|380795,Ccr6|Ctla4|Fyn|Ighg2b|Lag3|Xcl1|Pdcd1|Pou2f2|Foxp3|Sh2d1a|Tnfsf4|Slamf6|Crtam|Samsn1|Lax1|Ighg3,-3,Geneid
GO Biological Processes,19,GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,19_GO:0044419 biological process involved in interspecies interaction between organisms,-5.6,23,10,20504,34,130,5,3.8,1.7,16768|20400|30925|54698|60505,Lag3|Sh2d1a|Slamf6|Crtam|Il21,-3,Geneid
GO Biological Processes,19,GO:0002705,positive regulation of leukocyte mediated immunity,19_GO:0002376 immune system process,-5.6,7.8,7.3,20504,183,130,9,6.9,2.2,16016|16768|16963|20371|20400|22164|30925|54698|60505,Ighg2b|Lag3|Xcl1|Foxp3|Sh2d1a|Tnfsf4|Slamf6|Crtam|Il21,-2.9,Geneid
GO Biological Processes,19,GO:0042129,regulation of T cell proliferation,19_GO:0002376 immune system process,-5.6,7.8,7.3,20504,183,130,9,6.9,2.2,12367|12477|16963|19122|20371|22164|22329|54698|60505,Casp3|Ctla4|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Crtam|Il21,-2.9,Geneid
GO Biological Processes,19,GO:1903131,mononuclear cell differentiation,19_GO:0002376 immune system process,-5.5,4.5,6.3,20504,492,130,14,11,2.7,12458|12477|16153|16768|17068|18018|18987|20371|22164|30925|54698|60505|252838|320910,Ccr6|Ctla4|Il10|Lag3|Ly6d|Nfatc1|Pou2f2|Foxp3|Tnfsf4|Slamf6|Crtam|Il21|Tox|Itgb8,-2.9,Geneid
GO Biological Processes,19,GO:0002717,positive regulation of natural killer cell mediated immunity,19_GO:0044419 biological process involved in interspecies interaction between organisms,-5.5,22,10,20504,36,130,5,3.8,1.7,16768|20400|30925|54698|60505,Lag3|Sh2d1a|Slamf6|Crtam|Il21,-2.9,Geneid
GO Biological Processes,19,GO:0050869,negative regulation of B cell activation,19_GO:0002376 immune system process,-5.5,22,10,20504,36,130,5,3.8,1.7,12367|12477|16153|20371|67742,Casp3|Ctla4|Il10|Foxp3|Samsn1,-2.9,Geneid
GO Biological Processes,19,GO:0002697,regulation of immune effector process,19_GO:0002376 immune system process,-5.5,4.8,6.4,20504,426,130,13,10,2.6,12458|16016|16153|16768|16963|20361|20371|20400|22163|22164|30925|54698|60505,Ccr6|Ighg2b|Il10|Lag3|Xcl1|Sema7a|Foxp3|Sh2d1a|Tnfrsf4|Tnfsf4|Slamf6|Crtam|Il21,-2.9,Geneid
GO Biological Processes,19,GO:0031589,cell-substrate adhesion,19_GO:0022610 biological adhesion,-5.4,5.2,6.4,20504,366,130,12,9.2,2.5,13043|14758|15442|16410|16412|18186|19247|20750|22329|94214|218397|320910,Cttn|Gpm6b|Hpse|Itgav|Itgb1|Nrp1|Ptpn11|Spp1|Vcam1|Spock2|Rasa1|Itgb8,-2.8,Geneid
GO Biological Processes,19,GO:0071634,regulation of transforming growth factor beta production,19_GO:0032501 multicellular organismal process,-5.4,21,9.7,20504,38,130,5,3.8,1.7,15251|16410|17470|20371|320910,Hif1a|Itgav|Cd200|Foxp3|Itgb8,-2.8,Geneid
GO Biological Processes,19,GO:0006954,inflammatory response,19_GO:0050896 response to stimulus,-5.4,3.6,5.8,20504,739,130,17,13,3,12458|15251|16016|16153|16410|16412|16963|17470|17951|18750|20361|20371|22163|22164|22402|229521|231130,Ccr6|Hif1a|Ighg2b|Il10|Itgav|Itgb1|Xcl1|Cd200|Naip5|Prkca|Sema7a|Foxp3|Tnfrsf4|Tnfsf4|Ccn4|Syt11|Tnip2,-2.8,Geneid
GO Biological Processes,19,GO:0030098,lymphocyte differentiation,19_GO:0002376 immune system process,-5.3,4.6,6.2,20504,444,130,13,10,2.6,12458|12477|16153|16768|17068|18018|18987|20371|22164|30925|54698|60505|252838,Ccr6|Ctla4|Il10|Lag3|Ly6d|Nfatc1|Pou2f2|Foxp3|Tnfsf4|Slamf6|Crtam|Il21|Tox,-2.7,Geneid
GO Biological Processes,19,GO:0032660,regulation of interleukin-17 production,19_GO:0032501 multicellular organismal process,-5.3,20,9.5,20504,40,130,5,3.8,1.7,19122|20371|22164|30925|60505,Prnp|Foxp3|Tnfsf4|Slamf6|Il21,-2.7,Geneid
GO Biological Processes,19,GO:0045066,regulatory T cell differentiation,19_GO:0002376 immune system process,-5.3,20,9.5,20504,40,130,5,3.8,1.7,12477|16768|20371|22164|252838,Ctla4|Lag3|Foxp3|Tnfsf4|Tox,-2.7,Geneid
GO Biological Processes,19,GO:0045619,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-5.2,7,6.9,20504,202,130,9,6.9,2.2,12458|12477|16153|16768|20371|22164|54698|60505|252838,Ccr6|Ctla4|Il10|Lag3|Foxp3|Tnfsf4|Crtam|Il21|Tox,-2.7,Geneid
GO Biological Processes,19,GO:0001504,neurotransmitter uptake,19_GO:0051179 localization,-5.2,19,9.3,20504,41,130,5,3.8,1.7,14758|16412|20511|20974|243328,Gpm6b|Itgb1|Slc1a2|Syngr3|Slc29a4,-2.7,Geneid
GO Biological Processes,19,GO:0071604,transforming growth factor beta production,19_GO:0032501 multicellular organismal process,-5.2,19,9.3,20504,41,130,5,3.8,1.7,15251|16410|17470|20371|320910,Hif1a|Itgav|Cd200|Foxp3|Itgb8,-2.7,Geneid
KEGG Pathway,24,ko05205,Proteoglycans in cancer,,-5.2,6.9,6.8,20504,206,130,9,6.9,2.2,12367|13043|15251|15442|16410|16412|18750|19247|22415,Casp3|Cttn|Hif1a|Hpse|Itgav|Itgb1|Prkca|Ptpn11|Wnt3,-2.6,Geneid
GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-5.2,5.4,6.3,20504,323,130,11,8.5,2.4,12458|12477|16153|16768|16878|18750|20371|22164|54698|60505|252838,Ccr6|Ctla4|Il10|Lag3|Lif|Prkca|Foxp3|Tnfsf4|Crtam|Il21|Tox,-2.6,Geneid
GO Biological Processes,19,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,19_GO:0008152 metabolic process,-5.1,5.9,6.5,20504,266,130,10,7.7,2.3,14360|16412|16878|18186|18750|19122|19247|60505|67742|218397,Fyn|Itgb1|Lif|Nrp1|Prkca|Prnp|Ptpn11|Il21|Samsn1|Rasa1,-2.6,Geneid
KEGG Pathway,24,mmu05205,Proteoglycans in cancer,,-5.1,6.7,6.7,20504,211,130,9,6.9,2.2,12367|13043|15251|15442|16410|16412|18750|19247|22415,Casp3|Cttn|Hif1a|Hpse|Itgav|Itgb1|Prkca|Ptpn11|Wnt3,-2.6,Geneid
GO Biological Processes,19,GO:0032620,interleukin-17 production,19_GO:0032501 multicellular organismal process,-5.1,18,9,20504,44,130,5,3.8,1.7,19122|20371|22164|30925|60505,Prnp|Foxp3|Tnfsf4|Slamf6|Il21,-2.6,Geneid
GO Biological Processes,19,GO:0045590,negative regulation of regulatory T cell differentiation,19_GO:0022610 biological adhesion,-5.1,68,14,20504,7,130,3,2.3,1.3,12477|16768|22164,Ctla4|Lag3|Tnfsf4,-2.6,Geneid
GO Biological Processes,19,GO:0050778,positive regulation of immune response,19_GO:0002376 immune system process,-5,3.6,5.6,20504,699,130,16,12,2.9,12477|12810|14360|16016|16153|16768|16963|19122|20371|20400|22164|30925|54698|60505|240754|380795,Ctla4|Coch|Fyn|Ighg2b|Il10|Lag3|Xcl1|Prnp|Foxp3|Sh2d1a|Tnfsf4|Slamf6|Crtam|Il21|Lax1|Ighg3,-2.5,Geneid
GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-5,4.7,6,20504,401,130,12,9.2,2.5,12458|12477|15251|16153|16768|16878|18750|20371|22164|54698|60505|252838,Ccr6|Ctla4|Hif1a|Il10|Lag3|Lif|Prkca|Foxp3|Tnfsf4|Crtam|Il21|Tox,-2.5,Geneid
GO Biological Processes,19,GO:0035710,"CD4-positive, alpha-beta T cell activation",19_GO:0002376 immune system process,-5,9.4,7.3,20504,117,130,7,5.4,2,12458|16963|20371|22164|30925|60505|252838,Ccr6|Xcl1|Foxp3|Tnfsf4|Slamf6|Il21|Tox,-2.5,Geneid
