_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.7,GO:0061178,regulation of insulin secretion involved in cellular response to glucose stimulus,M1,1,0
1,-3.7,GO:1902107,positive regulation of leukocyte differentiation,M1,1,0
1,-3.6,GO:0032700,negative regulation of interleukin-17 production,M1,1,0
1,-2.2,GO:0002820,negative regulation of adaptive immune response,M1,1,0
1,-2.2,GO:0033619,membrane protein proteolysis,M1,1,0
1,-3.3,GO:0040017,positive regulation of locomotion,M1,1,0
1,-2.3,R-MMU-202733,Cell surface interactions at the vascular wall,M1,1,0
1,-2.4,GO:0043062,extracellular structure organization,M1,1,0
1,-2.6,GO:0032733,positive regulation of interleukin-10 production,M1,1,0
1,-4.7,GO:0050798,activated T cell proliferation,M1,1,0
1,-2.7,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-2.9,WP193,Hepatocyte growth factor receptor signaling,M1,1,0
1,-2.7,GO:0097190,apoptotic signaling pathway,M1,1,0
1,-2.7,mmu04510,Focal adhesion,M1,1,0
1,-3.9,R-MMU-3000170,Syndecan interactions,M1,1,0
1,-2.2,GO:0042987,amyloid precursor protein catabolic process,M1,1,0
1,-4.4,GO:0018212,peptidyl-tyrosine modification,M1,1,0
1,-2.7,ko05410,Hypertrophic cardiomyopathy (HCM),M1,1,0
1,-6.9,GO:0042113,B cell activation,M1,1,0
1,-3.3,GO:0031346,positive regulation of cell projection organization,M1,1,0
1,-4.4,GO:0001944,vasculature development,M1,1,0
1,-4.5,GO:0002440,production of molecular mediator of immune response,M1,1,0
1,-2.4,GO:0001678,cellular glucose homeostasis,M1,1,0
1,-3.7,GO:0046323,glucose import,M1,1,0
1,-8,GO:0051250,negative regulation of lymphocyte activation,M1,1,0
1,-2,GO:0071677,positive regulation of mononuclear cell migration,M1,1,0
1,-4,ko04650,Natural killer cell mediated cytotoxicity,M1,1,0
1,-5,GO:0050778,positive regulation of immune response,M1,1,0
1,-5.2,GO:1902105,regulation of leukocyte differentiation,M1,1,0
1,-2.3,GO:0002714,positive regulation of B cell mediated immunity,M1,1,0
1,-3.3,GO:0043030,regulation of macrophage activation,M1,1,0
1,-2.8,GO:0051048,negative regulation of secretion,M1,1,0
1,-4.5,GO:0007229,integrin-mediated signaling pathway,M1,1,0
1,-4.1,GO:0046324,regulation of glucose import,M1,1,0
1,-2.8,GO:0048846,axon extension involved in axon guidance,M1,1,0
1,-3.4,GO:0007044,cell-substrate junction assembly,M1,1,0
1,-3,GO:0061035,regulation of cartilage development,M1,1,0
1,-4.4,R-MMU-422475,Axon guidance,M1,1,0
1,-8.3,GO:0022407,regulation of cell-cell adhesion,M1,1,0
1,-3.7,GO:2000404,regulation of T cell migration,M1,1,0
1,-5.8,GO:0050864,regulation of B cell activation,M1,1,0
1,-5.2,ko05205,Proteoglycans in cancer,M1,1,0
1,-6.3,GO:0032944,regulation of mononuclear cell proliferation,M1,1,0
1,-2.6,WP1763,PluriNetWork: mechanisms associated with pluripotency,M1,1,0
1,-2.6,GO:0014032,neural crest cell development,M1,1,0
1,-2,GO:0043954,cellular component maintenance,M1,1,0
1,-2.8,mmu04060,Cytokine-cytokine receptor interaction,M1,1,0
1,-3,GO:1904018,positive regulation of vasculature development,M1,1,0
1,-2.1,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-3.1,GO:1903039,positive regulation of leukocyte cell-cell adhesion,M1,1,0
1,-5.5,GO:0002697,regulation of immune effector process,M1,1,0
1,-3,ko04670,Leukocyte transendothelial migration,M1,1,0
1,-3,GO:0030335,positive regulation of cell migration,M1,1,0
1,-3.5,GO:0070848,response to growth factor,M1,1,0
1,-5,GO:0035710,"CD4-positive, alpha-beta T cell activation",M1,1,0
1,-2.7,GO:0010811,positive regulation of cell-substrate adhesion,M1,1,0
1,-2.9,GO:0042130,negative regulation of T cell proliferation,M1,1,0
1,-6.4,GO:1903038,negative regulation of leukocyte cell-cell adhesion,M1,1,0
1,-3.4,GO:0034330,cell junction organization,M1,1,0
1,-4,GO:0032675,regulation of interleukin-6 production,M1,1,0
1,-3,GO:0002360,T cell lineage commitment,M1,1,0
1,-2.7,GO:0043368,positive T cell selection,M1,1,0
1,-2.6,GO:0050870,positive regulation of T cell activation,M1,1,0
1,-2.1,GO:0032615,interleukin-12 production,M1,1,0
1,-7.7,GO:0042098,T cell proliferation,M1,1,0
1,-2.5,R-MMU-373755,Semaphorin interactions,M1,1,0
1,-3.5,GO:1990138,neuron projection extension,M1,1,0
1,-3.8,GO:0002702,positive regulation of production of molecular mediator of immune response,M1,1,0
1,-2.9,WP2573,Primary focal segmental glomerulosclerosis (FSGS),M1,1,0
1,-2.4,ko04933,AGE-RAGE signaling pathway in diabetic complications,M1,1,0
1,-3.4,R-MMU-194138,Signaling by VEGF,M1,1,0
1,-3.6,GO:0043373,"CD4-positive, alpha-beta T cell lineage commitment",M1,1,0
1,-2.4,mmu04933,AGE-RAGE signaling pathway in diabetic complications,M1,1,0
1,-4.6,GO:0032945,negative regulation of mononuclear cell proliferation,M1,1,0
1,-2.9,GO:0008285,negative regulation of cell population proliferation,M1,1,0
1,-3,GO:0034219,carbohydrate transmembrane transport,M1,1,0
1,-10,GO:0050865,regulation of cell activation,M1,1,0
1,-4.4,GO:0001505,regulation of neurotransmitter levels,M1,1,0
1,-3.6,R-MMU-445144,Signal transduction by L1,M1,1,0
1,-2,GO:0150116,regulation of cell-substrate junction organization,M1,1,0
1,-2.1,GO:0001501,skeletal system development,M1,1,0
1,-2.2,WP85,Focal adhesion,M1,1,0
1,-2.1,GO:0046850,regulation of bone remodeling,M1,1,0
1,-3.6,R-MMU-1280218,Adaptive Immune System,M1,1,0
1,-2.1,GO:0010563,negative regulation of phosphorus metabolic process,M1,1,0
1,-3.4,GO:1903530,regulation of secretion by cell,M1,1,0
1,-4.1,GO:0002367,cytokine production involved in immune response,M1,1,0
1,-2.1,GO:0051223,regulation of protein transport,M1,1,0
1,-3.2,GO:0045620,negative regulation of lymphocyte differentiation,M1,1,0
1,-5.1,mmu05205,Proteoglycans in cancer,M1,1,0
1,-2.5,GO:0045765,regulation of angiogenesis,M1,1,0
1,-3.9,GO:0002703,regulation of leukocyte mediated immunity,M1,1,0
1,-2.3,GO:0044060,regulation of endocrine process,M1,1,0
1,-2.5,GO:0006509,membrane protein ectodomain proteolysis,M1,1,0
1,-2.5,GO:0050769,positive regulation of neurogenesis,M1,1,0
1,-2.5,GO:0014031,mesenchymal cell development,M1,1,0
