_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-11.627718959490037,GO:0022610,biological adhesion,M1,1,GO:0030155 regulation of cell adhesion
1,-10.038174878080417,GO:0050789,regulation of biological process,M1,1,GO:0050865 regulation of cell activation
1,-9.969396050590355,GO:0032501,multicellular organismal process,M1,1,GO:0001817 regulation of cytokine production
1,-9.773274470641246,GO:0002376,immune system process,M1,1,GO:0002694 regulation of leukocyte activation
1,-8.747170596902784,GO:0048519,negative regulation of biological process,M1,1,GO:0050866 negative regulation of cell activation
1,-7.534051099186417,GO:0009987,cellular process,M1,1,GO:0032943 mononuclear cell proliferation
1,-7.047432495526843,GO:0048518,positive regulation of biological process,M1,1,GO:0032103 positive regulation of response to external stimulus
1,-6.60151523102244,GO:0050896,response to stimulus,M1,1,GO:0031347 regulation of defense response
1,-5.642686987532349,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0045954 positive regulation of natural killer cell mediated cytotoxicity
1,-5.227853461460336,GO:0051179,localization,M1,1,GO:0001504 neurotransmitter uptake
1,-5.110568179726546,GO:0008152,metabolic process,M1,1,GO:0050730 regulation of peptidyl-tyrosine phosphorylation
1,-4.473349698709298,GO:0023052,signaling,M1,1,GO:0007229 integrin-mediated signaling pathway
1,-4.394939744526879,GO:0032502,developmental process,M1,1,GO:0001944 vasculature development
1,-4.394842540413093,GO:0065007,biological regulation,M1,1,GO:0001505 regulation of neurotransmitter levels
1,-3.953007960193285,GO:0040011,locomotion,M1,1,GO:0050920 regulation of chemotaxis
1,-3.5171509960120755,GO:0040007,growth,M1,1,GO:0048675 axon extension
1,-3.096047397212761,GO:0022414,reproductive process,M1,1,GO:0001892 embryonic placenta development
