Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-13,8.3,12,20504,772,64,20,31,5.8,12367|12477|16153|16410|16412|16878|16963|18186|18750|19122|19247|20371|20750|22164|22329|54167|54446|60505|218397|100043314,Casp3|Ctla4|Il10|Itgav|Itgb1|Lif|Xcl1|Nrp1|Prkca|Prnp|Ptpn11|Foxp3|Spp1|Tnfsf4|Vcam1|Icos|Nfat5|Il21|Rasa1|Tigit,-8.7
Geneid,GO Biological Processes,19,GO:0001817,regulation of cytokine production,19_GO:0032501 multicellular organismal process,-11,7.4,10,20504,776,64,18,28,5.6,15251|16153|16410|16963|17470|17951|18987|19122|19247|20361|20371|22163|22164|30925|60505|229521|320910|100043314,Hif1a|Il10|Itgav|Xcl1|Cd200|Naip5|Pou2f2|Prnp|Ptpn11|Sema7a|Foxp3|Tnfrsf4|Tnfsf4|Slamf6|Il21|Syt11|Itgb8|Tigit,-6.9
Geneid,GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-10,8.7,10,20504,550,64,15,23,5.3,12367|12458|12477|14360|16410|16963|19122|20371|22163|22164|22329|30925|54167|60505|100043314,Casp3|Ccr6|Ctla4|Fyn|Itgav|Xcl1|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Slamf6|Icos|Il21|Tigit,-6.2
Geneid,GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-9.8,9.5,10,20504,472,64,14,22,5.2,16410|16412|16878|16963|18186|18750|19247|20371|20750|22164|22329|54167|54446|60505,Itgav|Itgb1|Lif|Xcl1|Nrp1|Prkca|Ptpn11|Foxp3|Spp1|Tnfsf4|Vcam1|Icos|Nfat5|Il21,-6.1
Geneid,GO Biological Processes,19,GO:0046651,lymphocyte proliferation,19_GO:0002376 immune system process,-9.4,12,11,20504,331,64,12,19,4.9,12367|12477|14360|16153|16963|19122|20371|22163|22164|22329|30925|60505,Casp3|Ctla4|Fyn|Il10|Xcl1|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Slamf6|Il21,-5.8
Geneid,GO Biological Processes,19,GO:0032943,mononuclear cell proliferation,19_GO:0009987 cellular process,-9.3,11,11,20504,335,64,12,19,4.9,12367|12477|14360|16153|16963|19122|20371|22163|22164|22329|30925|60505,Casp3|Ctla4|Fyn|Il10|Xcl1|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Slamf6|Il21,-5.8
Geneid,GO Biological Processes,19,GO:0070661,leukocyte proliferation,19_GO:0009987 cellular process,-9,11,10,20504,359,64,12,19,4.9,12367|12477|14360|16153|16963|19122|20371|22163|22164|22329|30925|60505,Casp3|Ctla4|Fyn|Il10|Xcl1|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Slamf6|Il21,-5.6
Geneid,GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0050789 regulation of biological process,-8.9,6.7,9,20504,770,64,16,25,5.4,12367|12458|12477|16153|16963|17470|18750|19122|20371|22163|22164|22329|54167|60505|229521|100043314,Casp3|Ccr6|Ctla4|Il10|Xcl1|Cd200|Prkca|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Icos|Il21|Syt11|Tigit,-5.6
Geneid,GO Biological Processes,19,GO:0022407,regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-8.9,9.1,9.8,20504,457,64,13,20,5,12367|12477|16153|16963|18750|19122|20371|22164|22329|54167|54446|60505|100043314,Casp3|Ctla4|Il10|Xcl1|Prkca|Prnp|Foxp3|Tnfsf4|Vcam1|Icos|Nfat5|Il21|Tigit,-5.6
Geneid,GO Biological Processes,19,GO:0007159,leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-8.8,10,10,20504,373,64,12,19,4.9,12367|12477|16412|16963|19122|20371|22164|22329|54167|54446|60505|100043314,Casp3|Ctla4|Itgb1|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Icos|Nfat5|Il21|Tigit,-5.5
Geneid,GO Biological Processes,19,GO:0042098,T cell proliferation,19_GO:0002376 immune system process,-8.8,14,11,20504,222,64,10,16,4.5,12367|12477|14360|16963|19122|20371|22163|22164|22329|60505,Casp3|Ctla4|Fyn|Xcl1|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Il21,-5.5
Geneid,KEGG Pathway,24,ko04514,Cell adhesion molecules (CAMs),,-8.6,17,12,20504,169,64,9,14,4.3,12477|16410|16412|18260|18566|22329|54167|320910|100043314,Ctla4|Itgav|Itgb1|Ocln|Pdcd1|Vcam1|Icos|Itgb8|Tigit,-5.4
Geneid,KEGG Pathway,24,mmu04514,Cell adhesion molecules (CAMs),,-8.5,17,12,20504,171,64,9,14,4.3,12477|16410|16412|18260|18566|22329|54167|320910|100043314,Ctla4|Itgav|Itgb1|Ocln|Pdcd1|Vcam1|Icos|Itgb8|Tigit,-5.4
Geneid,GO Biological Processes,19,GO:0050670,regulation of lymphocyte proliferation,19_GO:0002376 immune system process,-8.4,13,11,20504,241,64,10,16,4.5,12367|12477|16153|16963|19122|20371|22163|22164|22329|60505,Casp3|Ctla4|Il10|Xcl1|Prnp|Foxp3|Tnfrsf4|Tnfsf4|Vcam1|Il21,-5.3
Geneid,GO Biological Processes,19,GO:0001819,positive regulation of cytokine production,19_GO:0048518 positive regulation of biological process,-8.4,8.3,9.3,20504,501,64,13,20,5,15251|16153|16963|17470|17951|18987|19247|20361|20371|22164|30925|60505|100043314,Hif1a|Il10|Xcl1|Cd200|Naip5|Pou2f2|Ptpn11|Sema7a|Foxp3|Tnfsf4|Slamf6|Il21|Tigit,-5.3
