_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.1,TRR00939,M1,1,0,TRRUST,34,Regulated by: Nfatc2,,-5.1,30,11,20504,21,130,4,3.1,1.5,16153|18018|54167|60505,Il10|Nfatc1|Icos|Il21,-2.6,0
1,-4.9,TRR01368,M1,1,0,TRRUST,34,Regulated by: Stat3,,-4.9,12,7.7,20504,81,130,6,4.6,1.8,12609|15251|16153|16878|17132|60505,Cebpd|Hif1a|Il10|Lif|Maf|Il21,-2.5,0
1,-4.4,TRR01189,M1,1,0,TRRUST,34,Regulated by: Rel,,-4.4,20,8.6,20504,31,130,4,3.1,1.5,12609|20371|60505|381777,Cebpd|Foxp3|Il21|Igkv1-110,-2.1,0
1,-4.3,TRR00993,M1,1,0,TRRUST,34,Regulated by: Nr4a2,,-4.3,39,11,20504,12,130,3,2.3,1.3,18186|20371|20750,Nrp1|Foxp3|Spp1,-2.1,0
1,-3.4,TRR00951,M1,1,0,TRRUST,34,Regulated by: Nfkb1,,-3.4,5.3,5,20504,210,130,7,5.4,2,16153|16878|20371|20511|22163|22329|381777,Il10|Lif|Foxp3|Slc1a2|Tnfrsf4|Vcam1|Igkv1-110,-1.3,0
1,-3.2,TRR00327,M1,1,0,TRRUST,34,Regulated by: Ets1,,-3.2,11,5.9,20504,60,130,4,3.1,1.5,16153|20371|20400|20750,Il10|Foxp3|Sh2d1a|Spp1,-1.2,0
1,-2.9,TRR01190,M1,1,0,TRRUST,34,Regulated by: Rela,,-2.9,6.2,4.7,20504,127,130,5,3.8,1.7,16153|20511|22163|22329|381777,Il10|Slc1a2|Tnfrsf4|Vcam1|Igkv1-110,-0.91,0
1,-2.7,TRR00652,M1,1,0,TRRUST,34,Regulated by: Jun,,-2.7,5.8,4.5,20504,137,130,5,3.8,1.7,12609|17132|18619|20750|381777,Cebpd|Maf|Penk|Spp1|Igkv1-110,-0.82,0
1,-2.4,TRR01462,M1,1,0,TRRUST,34,Regulated by: Tcf3,,-2.4,9.3,4.7,20504,51,130,3,2.3,1.3,20371|22329|381777,Foxp3|Vcam1|Igkv1-110,-0.59,0
1,-2,TRR00378,M1,1,0,TRRUST,34,Regulated by: Fos,,-2,7,3.9,20504,68,130,3,2.3,1.3,18018|18619|381777,Nfatc1|Penk|Igkv1-110,-0.27,0
