Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
16412,3.0,1,1,1
14360,3.0,1,1,1
13043,3.0,1,1,1
14613,3.0,1,1,1
19247,3.0,1,1,1
215114,3.0,1,1,1
71602,3.0,1,1,1
56175,3.0,1,1,1
22415,3.0,1,1,1
60505,3.0,1,1,1
15251,3.0,1,1,1
12289,3.0,1,1,1
20511,3.0,1,1,1
54446,3.0,1,1,1
24063,3.0,1,1,1
22164,3.0,1,1,1
18018,3.0,1,1,1
229521,3.0,1,1,1
114255,3.0,1,1,1
18186,3.0,1,1,1
16410,3.0,1,1,1
12367,3.0,1,1,1
20361,3.0,1,1,1
22163,3.0,1,1,1
20371,3.0,1,1,1
18566,3.0,1,1,1
16153,3.0,1,1,1
16963,3.0,1,1,1
100043314,3.0,1,1,1
18750,3.0,1,1,1
17951,3.0,1,1,1
20750,3.0,1,1,1
13616,3.0,1,1,1
12477,3.0,1,1,1
20400,3.0,1,1,1
18260,3.0,1,1,1
16878,3.0,1,1,1
19122,3.0,1,1,1
320910,3.0,1,1,1
17470,3.0,1,1,1
12458,3.0,1,1,1
17132,3.0,1,1,1
22329,3.0,1,1,1
54167,3.0,1,1,1
30925,3.0,1,1,1
18987,3.0,1,1,1
218397,3.0,1,1,1
59125,2.0,1,0,1
17760,2.0,1,0,1
70122,2.0,1,0,1
107575,2.0,1,0,1
50997,2.0,1,0,1
20974,2.0,1,1,0
16016,2.0,1,1,0
22402,2.0,1,1,0
13401,2.0,1,0,1
16768,2.0,1,1,0
12810,2.0,1,0,1
216238,2.0,1,0,1
545428,2.0,1,1,0
14230,2.0,1,0,1
17068,2.0,1,0,1
18575,2.0,1,1,0
231130,2.0,1,1,0
14758,2.0,1,1,0
11492,2.0,1,1,0
18619,2.0,1,0,1
233186,2.0,1,1,0
243328,2.0,1,1,0
14866,2.0,1,1,0
29809,2.0,1,0,1
252838,2.0,1,1,0
19249,2.0,1,0,1
66042,2.0,1,0,1
67742,2.0,1,1,0
17384,2.0,1,0,1
68404,2.0,1,0,1
15442,2.0,1,1,0
66991,2.0,1,0,1
83925,2.0,1,1,0
108154,2.0,1,0,1
94353,2.0,1,1,0
54698,2.0,1,1,0
56375,1.0,1,0,0
18201,1.0,1,0,0
100418404,1.0,1,0,0
434246,1.0,1,0,0
240754,1.0,1,0,0
105005,1.0,1,0,0
234725,1.0,1,0,0
100416327,1.0,1,0,0
21637,1.0,1,0,0
77675,1.0,1,0,0
20475,1.0,1,0,0
103712,1.0,1,0,0
100416064,1.0,1,0,0
12609,1.0,1,0,0
56405,1.0,1,0,0
73486,1.0,1,0,0
240328,1.0,1,0,0
235086,1.0,1,0,0
381067,1.0,1,0,0
242484,1.0,1,0,0
77577,1.0,1,0,0
381777,1.0,1,0,0
58206,1.0,1,0,0
100039441,1.0,1,0,0
94214,1.0,1,0,0
382114,1.0,1,0,0
245607,1.0,1,0,0
67971,1.0,1,0,0
353504,1.0,1,0,0
75604,1.0,1,0,0
68808,1.0,1,0,0
19193,1.0,1,0,0
52430,1.0,1,0,0
66889,1.0,1,0,0
268595,1.0,1,0,0
17681,1.0,1,0,0
241041,1.0,1,0,0
217721,1.0,1,0,0
76432,1.0,1,0,0
67080,1.0,1,0,0
93690,1.0,1,0,0
16656,1.0,1,0,0
218215,1.0,1,0,0
219149,1.0,1,0,0
320302,1.0,1,0,0
74203,1.0,1,0,0
19894,1.0,1,0,0
225010,1.0,1,0,0
327747,1.0,1,0,0
210789,1.0,1,0,0
380795,1.0,1,0,0
67182,1.0,1,0,0
20257,1.0,1,0,0
76897,1.0,1,0,0
56726,1.0,1,0,0
245865,1.0,1,0,0
69202,1.0,1,0,0
27053,1.0,1,0,0
258998,1.0,1,0,0
