Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:1901861,regulation of muscle tissue development,19_GO:0032502 developmental process,-5.8,12,8.6,20580,57,205,7,3.4,1.3,11555|12043|14605|16842|17127|21416|329278,Adrb2|Bcl2|Tsc22d3|Lef1|Smad3|Tcf7l2|Tnn,-1.5,Geneid
GO Biological Processes,19,GO:0016202,regulation of striated muscle tissue development,19_GO:0032502 developmental process,-4.9,11,7.6,20580,53,205,6,2.9,1.2,11555|12043|14605|16842|17127|21416,Adrb2|Bcl2|Tsc22d3|Lef1|Smad3|Tcf7l2,-1,Geneid
WikiPathways,27,WP85,Focal adhesion,,-4.8,5.4,6.1,20580,185,205,10,4.9,1.5,12043|12826|14083|14268|18479|18708|22165|22793|320207|329278,Bcl2|Col4a1|Ptk2|Fn1|Pak1|Pik3r1|Txk|Zyx|Pik3r5|Tnn,-1,Geneid
GO Biological Processes,19,GO:0048634,regulation of muscle organ development,19_GO:0032502 developmental process,-4.7,11,7.3,20580,57,205,6,2.9,1.2,11555|12043|14605|16842|17127|21416,Adrb2|Bcl2|Tsc22d3|Lef1|Smad3|Tcf7l2,-1,Geneid
KEGG Pathway,24,mmu05210,Colorectal cancer,,-4.6,8,6.6,20580,88,205,7,3.4,1.3,12043|16842|17127|17869|18708|21416|170770,Bcl2|Lef1|Smad3|Myc|Pik3r1|Tcf7l2|Bbc3,-1,Geneid
GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-4.4,2.7,4.8,20580,783,205,21,10,2.1,11482|11555|11898|12043|12775|13609|14083|14159|14268|16190|16197|16842|17127|18708|18793|19055|26365|66214|94212|320832|329278,Acvrl1|Adrb2|Ass1|Bcl2|Ccr7|S1pr1|Ptk2|Fes|Fn1|Il4ra|Il7r|Lef1|Smad3|Pik3r1|Plaur|Ppp3ca|Ceacam1|Rgcc|Pag1|Sirpb1a|Tnn,-1,Geneid
GO Biological Processes,19,GO:0048814,regulation of dendrite morphogenesis,19_GO:0032502 developmental process,-4.4,7.6,6.4,20580,93,205,7,3.4,1.3,13048|13631|15901|17999|19055|329152|545156,Cux2|Eef2k|Id1|Nedd4|Ppp3ca|Hecw2|Kalrn,-1,Geneid
KEGG Pathway,24,mmu05222,Small cell lung cancer,,-4.4,7.6,6.4,20580,93,205,7,3.4,1.3,12043|12579|12826|14083|14268|17869|18708,Bcl2|Cdkn2b|Col4a1|Ptk2|Fn1|Myc|Pik3r1,-1,Geneid
GO Biological Processes,19,GO:0031667,response to nutrient levels,19_GO:0050896 response to stimulus,-4.1,3.6,5,20580,362,205,13,6.3,1.7,11555|11910|12043|12579|14159|18812|21416|22695|52187|66148|73094|237253|320311,Adrb2|Atf3|Bcl2|Cdkn2b|Fes|Prl2c3|Tcf7l2|Zfp36|Rragd|Dnajc15|Sgip1|Lrp11|Rnf152,-0.82,Geneid
GO Biological Processes,19,GO:0110053,regulation of actin filament organization,19_GO:0050789 regulation of biological process,-4,4,5,20580,275,205,11,5.4,1.6,13609|15901|17127|18479|18708|22351|27360|50490|50874|66214|237860,S1pr1|Id1|Smad3|Pak1|Pik3r1|Vill|Add3|Nox4|Tmod4|Rgcc|Ssh2,-0.76,Geneid
Reactome Gene Sets,6,R-MMU-4641265,Repression of WNT target genes,,-4,30,9.2,20580,10,205,3,1.5,0.84,16842|21416|21885,Lef1|Tcf7l2|Tle1,-0.76,Geneid
GO Biological Processes,19,GO:0010718,positive regulation of epithelial to mesenchymal transition,19_GO:0032502 developmental process,-3.9,10,6.6,20580,48,205,5,2.4,1.1,16842|17127|21416|66214|68010,Lef1|Smad3|Tcf7l2|Rgcc|Bambi,-0.76,Geneid
