_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.3,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-2.1,GO:0017015,regulation of transforming growth factor beta receptor signaling pathway,M1,1,0
1,-2.6,GO:0033688,regulation of osteoblast proliferation,M1,1,0
1,-2.3,GO:0031342,negative regulation of cell killing,M1,1,0
1,-2.1,GO:0014743,regulation of muscle hypertrophy,M1,1,0
1,-2.1,GO:0071466,cellular response to xenobiotic stimulus,M1,1,0
1,-2.5,GO:0030097,hemopoiesis,M1,1,0
1,-2.1,GO:0034110,regulation of homotypic cell-cell adhesion,M1,1,0
1,-4.1,GO:0031667,response to nutrient levels,M1,1,0
1,-3.6,GO:0007179,transforming growth factor beta receptor signaling pathway,M1,1,0
1,-2.2,GO:0034976,response to endoplasmic reticulum stress,M1,1,0
1,-2.8,GO:1903020,positive regulation of glycoprotein metabolic process,M1,1,0
1,-3.1,GO:0031669,cellular response to nutrient levels,M1,1,0
1,-4.7,GO:0048634,regulation of muscle organ development,M1,1,0
1,-2.7,GO:0040014,regulation of multicellular organism growth,M1,1,0
1,-2.9,GO:0051960,regulation of nervous system development,M1,1,0
1,-2.2,GO:0070059,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,M1,1,0
1,-3.3,WP373,IL-3 signaling pathway,M1,1,0
1,-2.7,GO:0001817,regulation of cytokine production,M1,1,0
1,-2.6,GO:0045321,leukocyte activation,M1,1,0
1,-2.2,GO:0010611,regulation of cardiac muscle hypertrophy,M1,1,0
1,-2.2,GO:0002287,alpha-beta T cell activation involved in immune response,M1,1,0
1,-2.2,GO:1903706,regulation of hemopoiesis,M1,1,0
1,-2.1,GO:1903844,regulation of cellular response to transforming growth factor beta stimulus,M1,1,0
1,-2.1,GO:0031175,neuron projection development,M1,1,0
1,-2.8,GO:1901890,positive regulation of cell junction assembly,M1,1,0
1,-2.8,R-MMU-201722,Formation of the beta-catenin:TCF transactivating complex,M1,1,0
1,-2.6,mmu05213,Endometrial cancer,M1,1,0
1,-2.5,GO:0120161,regulation of cold-induced thermogenesis,M1,1,0
1,-3.6,GO:0022408,negative regulation of cell-cell adhesion,M1,1,0
1,-2,GO:0045785,positive regulation of cell adhesion,M1,1,0
1,-3.3,GO:0030217,T cell differentiation,M1,1,0
1,-2.5,mmu05321,Inflammatory bowel disease,M1,1,0
1,-3.8,GO:0033689,negative regulation of osteoblast proliferation,M1,1,0
1,-2.3,GO:0051693,actin filament capping,M1,1,0
1,-2.2,GO:2000516,"positive regulation of CD4-positive, alpha-beta T cell activation",M1,1,0
1,-2.2,GO:0045428,regulation of nitric oxide biosynthetic process,M1,1,0
1,-2.1,GO:0010506,regulation of autophagy,M1,1,0
1,-3.2,GO:0051098,regulation of binding,M1,1,0
1,-2.5,mmu04062,Chemokine signaling pathway,M1,1,0
1,-2.6,GO:0060485,mesenchyme development,M1,1,0
1,-2.8,GO:0005977,glycogen metabolic process,M1,1,0
1,-2.4,GO:0002825,regulation of T-helper 1 type immune response,M1,1,0
1,-4,GO:0110053,regulation of actin filament organization,M1,1,0
1,-2,GO:1901653,cellular response to peptide,M1,1,0
