_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-5.817334081511199,GO:0032502,developmental process,M1,1,GO:1901861 regulation of muscle tissue development
1,-4.414194701071443,GO:0022610,biological adhesion,M1,1,GO:0030155 regulation of cell adhesion
1,-4.132902561329829,GO:0050896,response to stimulus,M1,1,GO:0031667 response to nutrient levels
1,-3.9849067781014464,GO:0050789,regulation of biological process,M1,1,GO:0110053 regulation of actin filament organization
1,-3.870024614249721,GO:0048519,negative regulation of biological process,M1,1,GO:0045596 negative regulation of cell differentiation
1,-3.7349909528670273,GO:0009987,cellular process,M1,1,GO:0001775 cell activation
1,-3.6978012136185185,GO:0008152,metabolic process,M1,1,GO:0043471 regulation of cellular carbohydrate catabolic process
1,-3.6298382293829836,GO:0023052,signaling,M1,1,GO:0007179 transforming growth factor beta receptor signaling pathway
1,-3.5870539063715086,GO:0002376,immune system process,M1,1,GO:0045063 T-helper 1 cell differentiation
1,-3.4947605046004777,GO:0040007,growth,M1,1,GO:0045926 negative regulation of growth
1,-3.447373167646194,GO:0051179,localization,M1,1,GO:0015718 monocarboxylic acid transport
1,-3.354568300583412,GO:0040011,locomotion,M1,1,GO:0014911 positive regulation of smooth muscle cell migration
1,-3.232694006599383,GO:0048518,positive regulation of biological process,M1,1,GO:0032233 positive regulation of actin filament bundle assembly
1,-3.179100343008932,GO:0065007,biological regulation,M1,1,GO:0051098 regulation of binding
1,-2.669020505684557,GO:0032501,multicellular organismal process,M1,1,GO:0001817 regulation of cytokine production
1,-2.0197225595779247,GO:0007610,behavior,M1,1,GO:0001662 behavioral fear response
