Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-8.7,5.1,8.2,20580,783,104,20,19,3.9,11482|11555|12043|12775|13609|14083|14159|14268|16190|16197|16842|17127|18708|18793|19055|26365|66214|94212|320832|329278,Acvrl1|Adrb2|Bcl2|Ccr7|S1pr1|Ptk2|Fes|Fn1|Il4ra|Il7r|Lef1|Smad3|Pik3r1|Plaur|Ppp3ca|Ceacam1|Rgcc|Pag1|Sirpb1a|Tnn,-4.9
Geneid,WikiPathways,27,WP85,Focal adhesion,,-7.5,11,9.4,20580,185,104,10,9.6,2.9,12043|12826|14083|14268|18479|18708|22165|22793|320207|329278,Bcl2|Col4a1|Ptk2|Fn1|Pak1|Pik3r1|Txk|Zyx|Pik3r5|Tnn,-4
Geneid,KEGG Pathway,24,mmu05210,Colorectal cancer,,-6.5,16,9.9,20580,88,104,7,6.7,2.5,12043|16842|17127|17869|18708|21416|170770,Bcl2|Lef1|Smad3|Myc|Pik3r1|Tcf7l2|Bbc3,-3.3
Geneid,GO Biological Processes,19,GO:1901861,regulation of muscle tissue development,19_GO:0032502 developmental process,-6.4,21,11,20580,57,104,6,5.8,2.3,11555|12043|16842|17127|21416|329278,Adrb2|Bcl2|Lef1|Smad3|Tcf7l2|Tnn,-3.3
Geneid,KEGG Pathway,24,mmu05222,Small cell lung cancer,,-6.3,15,9.6,20580,93,104,7,6.7,2.5,12043|12579|12826|14083|14268|17869|18708,Bcl2|Cdkn2b|Col4a1|Ptk2|Fn1|Myc|Pik3r1,-3.3
Geneid,KEGG Pathway,24,mmu05200,Pathways in cancer,,-6.2,5.1,6.9,20580,543,104,14,13,3.3,12043|12579|12826|14083|14268|15979|16190|16197|16842|17127|17869|18708|21416|170770,Bcl2|Cdkn2b|Col4a1|Ptk2|Fn1|Ifngr1|Il4ra|Il7r|Lef1|Smad3|Myc|Pik3r1|Tcf7l2|Bbc3,-3.2
Geneid,GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-6.1,4.3,6.5,20580,730,104,16,15,3.5,11482|12579|14083|16190|17127|17869|18479|18708|19055|20351|21416|22695|26365|223435|228775|329278,Acvrl1|Cdkn2b|Ptk2|Il4ra|Smad3|Myc|Pak1|Pik3r1|Ppp3ca|Sema4a|Tcf7l2|Zfp36|Ceacam1|Trio|Trib3|Tnn,-3.1
Geneid,Reactome Gene Sets,6,R-MMU-9006934,Signaling by Receptor Tyrosine Kinases,,-6,5.8,7,20580,406,104,12,12,3.1,11975|12826|14083|14159|14268|17444|17999|18708|94212|228775|242341|373864,Atp6v0a1|Col4a1|Ptk2|Fes|Fn1|Grap2|Nedd4|Pik3r1|Pag1|Trib3|Atp6v0d2|Col27a1,-3.1
Geneid,GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-5.9,4.8,6.6,20580,577,104,14,13,3.3,12043|12775|13609|14083|14268|16842|17127|17869|18479|18708|19055|20343|20351|237860,Bcl2|Ccr7|S1pr1|Ptk2|Fn1|Lef1|Smad3|Myc|Pak1|Pik3r1|Ppp3ca|Sell|Sema4a|Ssh2,-3
Geneid,GO Biological Processes,19,GO:0001775,cell activation,19_GO:0009987 cellular process,-5.7,4.3,6.3,20580,686,104,15,14,3.4,11482|12043|12769|12775|14268|15979|16197|16842|17127|17999|18708|20345|20351|22165|66214,Acvrl1|Bcl2|Ccr9|Ccr7|Fn1|Ifngr1|Il7r|Lef1|Smad3|Nedd4|Pik3r1|Selplg|Sema4a|Txk|Rgcc,-2.9
