Cluster,Score,Type,Gene,Symbol,Network
1,1.8095238095238095,Clustered,17999,Nedd4,Geneid_SUB1
1,1.8095238095238095,Clustered,14268,Fn1,Geneid_SUB1
1,1.8095238095238095,Clustered,22094,Tshb,Geneid_SUB1
1,1.8095238095238095,Clustered,14608,Gpr83,Geneid_SUB1
1,1.8095238095238095,Clustered,13609,S1pr1,Geneid_SUB1
1,1.8095238095238095,Clustered,228775,Trib3,Geneid_SUB1
1,1.8095238095238095,Seed,12769,Ccr9,Geneid_SUB1
1,1.8095238095238095,Clustered,19055,Ppp3ca,Geneid_SUB1
1,1.8095238095238095,Clustered,16010,Igfbp4,Geneid_SUB1
1,1.8095238095238095,Clustered,329152,Hecw2,Geneid_SUB1
1,1.8095238095238095,Clustered,80901,Cxcr6,Geneid_SUB1
1,1.8095238095238095,Clustered,278679,Apol7b,Geneid_SUB1
1,1.8095238095238095,Clustered,12775,Ccr7,Geneid_SUB1
1,1.8095238095238095,Clustered,20437,Siah1a,Geneid_SUB1
1,1.8095238095238095,Clustered,22354,Vipr1,Geneid_SUB1
1,1.8095238095238095,Clustered,11555,Adrb2,Geneid_SUB1
1,1.8095238095238095,Clustered,22630,Ywhaq,Geneid_SUB1
1,1.8095238095238095,Clustered,279029,Stkld1,Geneid_SUB1
1,1.8095238095238095,Clustered,18708,Pik3r1,Geneid_SUB1
1,1.8095238095238095,Clustered,74646,Spsb1,Geneid_SUB1
1,1.8095238095238095,Clustered,666348,Apol7e,Geneid_SUB1
2,1.5,Clustered,20343,Sell,Geneid_SUB1
2,1.5,Clustered,20527,Slc2a3,Geneid_SUB1
2,1.5,Seed,320832,Sirpb1a,Geneid_SUB1
2,1.5,Clustered,11975,Atp6v0a1,Geneid_SUB1
3,1.25,Clustered,545156,Kalrn,Geneid_SUB1
3,1.25,Clustered,320982,Arl4c,Geneid_SUB1
3,1.25,Clustered,223435,Trio,Geneid_SUB1
3,1.25,Clustered,18479,Pak1,Geneid_SUB1
4,1.0,Seed,21885,Tle1,Geneid_SUB1
4,1.0,Clustered,16842,Lef1,Geneid_SUB1
4,1.0,Clustered,21416,Tcf7l2,Geneid_SUB1
