,gene,Geneid,genename,change,log2FC,padj,Change Metric
1,1,ENSMUSG00000058260,Serpina9,Up,34.4666658535308,2.20701969577503e-48,1642.55010724936
2,2,ENSMUSG00000024397,Aif1,Up,43.363779156011,5.42408247546051e-27,1138.97887438106
3,3,ENSMUSG00000029759,Pon3,Up,24.8916784670833,5.24313768049285e-39,952.863625892826
4,4,ENSMUSG00000014599,Csf1,Up,24.8858725495849,4.29869913517846e-36,880.130266677227
5,5,ENSMUSG00000001663,Gstt1,Up,37.0807023059549,2.5246315685785e-23,837.942368418259
6,6,ENSMUSG00000093963,ENSMUSG00000093963,Up,36.0900096127576,8.61295383168764e-23,796.320572119984
7,7,ENSMUSG00000020656,Grhl1,Up,24.8734051593909,4.72807302317101e-31,754.293867091087
8,8,ENSMUSG00000037706,Cd81,Up,25.9239235848605,1.72530272175639e-29,745.653305830962
9,9,ENSMUSG00000040883,Tmem205,Up,25.0472980720323,1.81253769965556e-30,744.949549471755
10,10,ENSMUSG00000022199,Slc22a17,Up,24.5911422895578,5.96655073988831e-31,743.249487988282
11,11,ENSMUSG00000102984,ENSMUSG00000102984,Up,24.1868453936841,8.15687198559189e-31,727.745325693174
12,12,ENSMUSG00000030545,Pex11a,Up,25.9311751507724,1.37190601430417e-28,722.511922189746
13,13,ENSMUSG00000034958,Atcay,Up,24.8357679368444,5.80300621833502e-29,701.271360583558
14,14,ENSMUSG00000106739,ENSMUSG00000106739,Up,42.9950008816111,2.62445400227119e-16,669.903433415983
15,15,ENSMUSG00000086968,4933431E20Rik,Up,33.3936726027562,2.37223630323023e-20,655.34555037217
16,16,ENSMUSG00000105993,Tex13d,Up,43.1395744118975,7.55727183638309e-16,652.340896407578
17,17,ENSMUSG00000030641,Ddias,Up,24.5719582229985,1.42906313113492e-26,635.060996909514
18,18,ENSMUSG00000039131,Gipc2,Up,36.3402648477468,3.65194766138588e-17,597.342211472881
19,19,ENSMUSG00000105846,ENSMUSG00000105846,Up,42.6019824322501,2.06840473010647e-14,582.98105507709
20,20,ENSMUSG00000027200,Sema6d,Up,25.1015073380153,1.58634327676279e-23,572.304397683136
21,21,ENSMUSG00000092251,Trav9n-1,Up,23.238764073332,9.12380139483056e-25,558.655802412105
22,22,ENSMUSG00000079009,Gm14139,Up,35.1270776707374,3.39257609071175e-16,543.397288369401
23,23,ENSMUSG00000109108,ENSMUSG00000109108,Up,23.9603964992968,2.23128692722416e-23,542.737593395223
24,24,ENSMUSG00000087060,ENSMUSG00000087060,Up,24.8150141941096,2.52624173881567e-22,535.942891757345
25,25,ENSMUSG00000086894,Gm15708,Up,23.4214404432505,2.61039097870874e-23,528.933285741256
26,26,ENSMUSG00000051339,2900026A02Rik,Up,23.4667396851883,2.52147675479325e-22,506.842740477997
27,27,ENSMUSG00000069727,Zfp975,Up,25.2685721134906,1.01774018335439e-19,479.909896040264
28,28,ENSMUSG00000025656,Arhgef9,Up,23.908493564669,1.63054632317992e-20,473.093305747392
29,29,ENSMUSG00000023984,Gm20517,Up,29.014129953869,1.50962101894413e-16,459.036381779604
30,30,ENSMUSG00000076762,Trav6-1,Up,21.0318901973863,2.93405936836049e-22,452.869829825894
31,31,ENSMUSG00000089171,Gm22430,Up,22.7839999792314,1.37481510416911e-20,452.530241574938
32,32,ENSMUSG00000022941,Ripply3,Up,31.8365112535988,7.46867242022253e-15,449.746645107293
33,33,ENSMUSG00000107801,ENSMUSG00000107801,Up,23.2419007392119,5.90764197279177e-20,446.908883276245
34,34,ENSMUSG00000102172,ENSMUSG00000102172,Up,24.4593708170366,1.51688680544505e-18,435.842673931486
35,35,ENSMUSG00000110433,ENSMUSG00000110433,Up,23.2277885040942,1.17192285028798e-18,416.499821156391
36,36,ENSMUSG00000058159,T2,Up,31.410633711211,6.27326686963895e-14,414.699087475533
37,37,ENSMUSG00000029151,Slc30a3,Up,24.7393094070138,3.47539728450333e-17,407.184183255912
38,38,ENSMUSG00000104378,ENSMUSG00000104378,Up,23.0644305819842,1.04736969463672e-17,391.631724757108
39,39,ENSMUSG00000074731,Zfp345,Up,37.4879783788277,3.71457147859861e-11,391.003036401765
40,40,ENSMUSG00000052151,Plpp2,Up,23.345604675625,1.78921493552518e-17,390.97672029871
41,41,ENSMUSG00000104213,Ighd,Up,21.7618677430052,1.29765372846306e-18,389.251072123136
42,42,ENSMUSG00000089842,Pitpnm2os2,Up,22.0261557954735,5.2731754501376e-18,380.566329072096
43,43,ENSMUSG00000020829,Slc46a1,Up,35.2831922086878,1.90928416064814e-11,378.205103999749
44,44,ENSMUSG00000056257,ENSMUSG00000056257,Up,36.9995386905338,7.16441992386729e-11,375.353621879229
45,45,ENSMUSG00000044976,Wdr72,Up,36.9060071904975,8.11308727892086e-11,372.411648577909
46,46,ENSMUSG00000110670,ENSMUSG00000110670,Up,36.8133716841229,9.81862650717383e-11,368.426355899749
47,47,ENSMUSG00000053080,Zfta,Up,23.4643735358899,6.5578547323983e-16,356.265172795013
48,48,ENSMUSG00000103163,ENSMUSG00000103163,Up,23.718959319265,1.7354865583007e-15,350.105566797577
49,49,ENSMUSG00000087354,4930404I05Rik,Up,22.2649536546806,2.40612066869781e-16,347.749244153042
50,50,ENSMUSG00000040658,Dnph1,Up,24.770253568353,4.18226444986173e-14,331.391029770974
51,51,ENSMUSG00000039748,Exo1,Up,23.4311695647339,1.39311840439143e-14,324.662565967167
52,52,ENSMUSG00000103898,ENSMUSG00000103898,Up,34.5540854217207,4.25396332383059e-10,323.813461569439
53,53,ENSMUSG00000043230,Fam124b,Up,24.0934121091392,4.08166247310957e-14,322.590619822182
54,54,ENSMUSG00000094249,ENSMUSG00000094249,Up,21.7108636657601,1.48986608819149e-15,321.903778973049
55,55,ENSMUSG00000085984,1700001G11Rik,Up,21.9018146868724,4.43639751425891e-15,314.356079218521
56,56,ENSMUSG00000109031,ENSMUSG00000109031,Up,33.1058814073728,6.831592614422e-10,303.431229022623
57,57,ENSMUSG00000097767,Miat,Up,33.8663683501438,1.76689070971387e-09,296.425220823707
58,58,ENSMUSG00000043099,Hic1,Up,23.6489390075375,4.97573948206665e-13,290.956263422918
59,59,ENSMUSG00000027546,Atp9a,Up,23.1027973907704,7.9639195731904e-13,279.517814683406
60,60,ENSMUSG00000036896,C1qc,Up,33.0838865579015,1.00034721843809e-08,264.666104442745
61,61,ENSMUSG00000073758,Sh3d21,Up,22.2945819449134,1.5945039927872e-12,263.017530048279
62,62,ENSMUSG00000106798,ENSMUSG00000106798,Up,23.8135759585788,1.63117520443778e-11,256.888936100889
63,63,ENSMUSG00000016024,Lbp,Up,22.8959210054494,6.37544126092384e-12,256.331048960783
64,64,ENSMUSG00000108354,4931431B13Rik,Up,32.5459285205785,2.01117294839321e-08,250.491385069677
65,65,ENSMUSG00000040209,Zfp704,Up,23.8562392997505,3.96562758518176e-11,248.145159793467
66,66,ENSMUSG00000029378,Areg,Up,23.1057235071397,2.00083249894986e-11,247.203266666749
67,67,ENSMUSG00000082996,Gm6238,Up,27.8692785662137,1.79163587380864e-09,243.765619274434
68,68,ENSMUSG00000027624,Epb41l1,Up,22.8787283216642,3.725685537925e-11,238.597540164468
69,69,ENSMUSG00000076752,Trgc2,Up,11.9215687996793,4.02702919925655e-20,231.219008332638
70,70,ENSMUSG00000113086,ENSMUSG00000113086,Up,22.5685169089894,6.05677283676955e-11,230.599660320847
71,71,ENSMUSG00000032064,Dixdc1,Up,30.9453782738115,4.25398652434351e-08,228.104692714909
72,72,ENSMUSG00000085903,ENSMUSG00000085903,Up,21.9130906084847,3.96562758518176e-11,227.933133227248
73,73,ENSMUSG00000081894,ENSMUSG00000081894,Up,20.4049052037364,8.93338789755595e-12,225.453467201008
74,74,ENSMUSG00000117440,ENSMUSG00000117440,Up,21.8262194229644,5.42197839323453e-11,224.064524799162
75,75,ENSMUSG00000042770,Hebp1,Up,31.0542858831615,1.08779726719584e-07,216.245030277328
76,76,ENSMUSG00000032513,Gorasp1,Up,22.3212769043298,2.57960831775412e-10,214.026363412963
77,77,ENSMUSG00000109314,ENSMUSG00000109314,Up,24.7794633708327,3.15898242660558e-09,210.636658546906
78,78,ENSMUSG00000023078,Cxcl13,Up,30.7484115146341,1.48938040621812e-07,209.919232108839
79,79,ENSMUSG00000108465,ENSMUSG00000108465,Up,22.500584965765,5.4604783292097e-10,208.417727925717
80,80,ENSMUSG00000110301,ENSMUSG00000110301,Up,21.3569666287632,2.19154844958039e-10,206.292256923529
81,81,ENSMUSG00000054967,Zfp647,Up,21.1650347708656,1.94880132178423e-10,205.517407109056
82,82,ENSMUSG00000109555,ENSMUSG00000109555,Up,20.973885596706,1.97933062860682e-10,203.51971411995
83,83,ENSMUSG00000001300,Efnb2,Up,21.4575391347919,3.67211935242516e-10,202.453667254213
84,84,ENSMUSG00000114535,ENSMUSG00000114535,Up,23.0277951672517,2.05866523062968e-09,200.028968555216
85,85,ENSMUSG00000082487,ENSMUSG00000082487,Up,22.9644111830066,2.44848328810781e-09,197.748906721401
86,86,ENSMUSG00000051736,Fam229b,Up,23.3428327332642,7.83121433233178e-09,189.220991184912
87,87,ENSMUSG00000097685,ENSMUSG00000097685,Up,29.7713971388492,4.47255760919783e-07,189.031820624522
88,88,ENSMUSG00000075511,ENSMUSG00000075511,Up,23.1739942485984,7.83121433233178e-09,187.852357575456
89,89,ENSMUSG00000084884,ENSMUSG00000084884,Up,21.0435245177143,1.53846482849899e-09,185.454738748867
90,90,ENSMUSG00000027848,Olfml3,Up,22.6256058075931,6.6530442496704e-09,185.009116855591
91,91,ENSMUSG00000033488,Cryzl2,Up,21.9361692986168,3.93834497934566e-09,184.366620361209
92,92,ENSMUSG00000028264,Spaca1,Up,23.1297756110051,1.12173718032388e-08,183.884234594574
93,93,ENSMUSG00000039096,Rsad1,Up,22.5961552949216,8.74639762865749e-09,182.083678397763
94,94,ENSMUSG00000096833,Igkv4-55,Up,29.1790780779137,8.172330626346e-07,177.632133464187
95,95,ENSMUSG00000036905,C1qb,Up,29.1664985686878,8.2729981629036e-07,177.400475508024
96,96,ENSMUSG00000030272,Camk1,Up,21.5603375578879,7.05477332436923e-09,175.749456747318
97,97,ENSMUSG00000103360,ENSMUSG00000103360,Up,23.1364585955272,3.29779540139431e-08,173.101807399244
98,98,ENSMUSG00000118239,ENSMUSG00000118239,Up,24.0040453541222,6.69250662300456e-08,172.214891602439
99,99,ENSMUSG00000112980,D430020J02Rik,Up,23.1312597002993,3.76128256851526e-08,171.741832067322
100,100,ENSMUSG00000035547,Capn5,Up,21.7708248892308,1.39404600740273e-08,171.025567483423
101,101,ENSMUSG00000073590,ENSMUSG00000073590,Up,28.7685827810686,1.25823248569982e-06,169.741517153828
102,102,ENSMUSG00000089802,Gm16107,Up,28.6032168452847,1.50461398976462e-06,166.544372590391
103,103,ENSMUSG00000101586,ENSMUSG00000101586,Up,28.7276104198235,1.64951012506481e-06,166.121573167321
104,104,ENSMUSG00000085173,Gm2869,Up,28.7111329372732,1.67469192866687e-06,165.83737215943
105,105,ENSMUSG00000028655,Mfsd2a,Up,23.2680420433281,9.02475778760089e-08,163.913221686627
106,106,ENSMUSG00000060224,Pyroxd2,Up,22.7593275076063,7.26825627787838e-08,162.469047284004
107,107,ENSMUSG00000071862,Lrrtm2,Up,22.7280788280458,7.314955677161e-08,162.182759005633
108,108,ENSMUSG00000041064,Pif1,Up,22.6807030101959,7.37314186671314e-08,161.766653366104
109,109,ENSMUSG00000117333,ENSMUSG00000117333,Up,28.2468132111236,2.14160823533606e-06,160.138527468248
110,110,ENSMUSG00000052549,Arl13a,Up,22.5216055879208,9.85923664674053e-08,157.789898089277
111,111,ENSMUSG00000031312,Itgb1bp2,Up,22.4848899434167,1.78938552771839e-07,151.712209762915
112,112,ENSMUSG00000094792,Trav10d,Up,21.585538383339,1.05686721036309e-07,150.580274899411
113,113,ENSMUSG00000040329,Il7,Up,27.559715375284,5.04896866732516e-06,145.978226661646
114,114,ENSMUSG00000117335,ENSMUSG00000117335,Up,20.8653609132299,1.04661424367034e-07,145.644670989372
115,115,ENSMUSG00000081988,Gm15746,Up,23.2490431855109,7.92993816429254e-07,141.836139864136
116,116,ENSMUSG00000027168,Pax6,Up,22.6259095107445,5.80327388714713e-07,141.102568849667
117,117,ENSMUSG00000114638,ENSMUSG00000114638,Up,22.244189954894,4.55648935875955e-07,141.058630838396
118,118,ENSMUSG00000033855,Ston1,Up,20.1308718285522,1.01676163464883e-07,140.770775003
119,119,ENSMUSG00000105776,ENSMUSG00000105776,Up,17.2515077383035,9.14448672458369e-09,138.68212196051
120,120,ENSMUSG00000021253,Tgfb3,Up,23.3823441247809,1.22545488388031e-06,138.229466264004
121,121,ENSMUSG00000102133,ENSMUSG00000102133,Up,21.2789017113952,3.91297478133546e-07,136.344412722221
122,122,ENSMUSG00000084834,4930565N06Rik,Up,21.6478292229216,6.56703533790555e-07,133.840532388639
123,123,ENSMUSG00000015970,Chdh,Up,23.4398111824854,2.00457000334195e-06,133.559546555568
124,124,ENSMUSG00000044788,Fads6,Up,22.5367619955415,1.21286026115529e-06,133.331748668885
125,125,ENSMUSG00000035105,Egln3,Up,23.8927219303116,3.36957706879793e-06,130.75111939616
126,126,ENSMUSG00000036158,Prickle1,Up,20.7996094904575,6.2323728522766e-07,129.068785468252
127,127,ENSMUSG00000102875,ENSMUSG00000102875,Up,21.5062605429633,1.22545488388031e-06,127.138617938558
128,128,ENSMUSG00000039474,Wfs1,Up,23.1318603578656,3.32837128496287e-06,126.710969849104
129,129,ENSMUSG00000020961,Ston2,Up,20.4941235936898,1.21286026115529e-06,121.247113348559
130,130,ENSMUSG00000090698,Apold1,Up,21.9566768052034,3.36957706879793e-06,120.156258415159
131,131,ENSMUSG00000069743,Zfp820,Up,21.1918294641752,4.09314158401531e-06,114.180374148134
132,132,ENSMUSG00000031398,Plxna3,Up,18.7949489931529,1.7622142609854e-06,108.145033026683
133,133,ENSMUSG00000029279,Brdt,Up,20.6489841263476,8.30795308730654e-06,104.907287014151
134,134,ENSMUSG00000099825,1810012K16Rik,Up,20.1116186146077,6.95664843771204e-06,103.727683033663
135,135,ENSMUSG00000104597,ENSMUSG00000104597,Up,22.303721517699,2.37742462204693e-05,103.13002723707
136,136,ENSMUSG00000032899,Styk1,Up,19.7900250326334,9.6153568930308e-06,99.2872401539036
137,137,ENSMUSG00000084081,Gm12057,Up,22.4789624108091,4.74750305127539e-05,97.188575070087
138,138,ENSMUSG00000037568,Vash2,Up,22.1373132627246,5.07494429862521e-05,95.0702130851729
139,139,ENSMUSG00000049904,Tmem17,Up,23.1131722730754,7.89805130362844e-05,94.8213281316313
140,140,ENSMUSG00000021061,Sptb,Up,14.4317782840488,3.39203316486076e-07,93.3669655834576
141,141,ENSMUSG00000113841,ENSMUSG00000113841,Up,22.9998513149903,8.77009089587348e-05,93.3103026109048
142,142,ENSMUSG00000024548,Setbp1,Up,9.827890450748,7.57599373977189e-10,89.6358683905844
143,143,ENSMUSG00000031283,Chrdl1,Up,21.1759696660853,6.05793911741127e-05,89.313359887149
144,144,ENSMUSG00000111968,ENSMUSG00000111968,Up,20.6476620863236,5.0791207175211e-05,88.6654272564486
145,145,ENSMUSG00000112728,ENSMUSG00000112728,Up,21.667291696754,9.338324464421e-05,87.3133579113678
146,146,ENSMUSG00000028698,Pik3r3,Up,16.5337022127479,6.95664843771204e-06,85.2742216010023
147,147,ENSMUSG00000000901,Mmp11,Up,19.8994366722279,5.46810531234108e-05,84.8146452877497
148,148,ENSMUSG00000009092,Derl3,Up,21.8798297932508,0.000294074584726196,77.2695489737271
