Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:1903039,positive regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-6.1,5.1,6.9,20580,247,229,14,6.1,1.6,11534|11629|12520|12522|13642|13655|13848|16196|17863|54371|58205|74256|171285|320404,Adk|Aif1|Cd81|Cd83|Efnb2|Egr3|Ephb6|Il7|Myb|Chst2|Pdcd1lg2|Cyld|Havcr2|Itpkb,-2.1,Geneid
GO Biological Processes,19,GO:0022409,positive regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-5.9,4.5,6.5,20580,297,229,15,6.6,1.6,11534|11629|12520|12522|13642|13655|13848|16196|17863|54371|55985|58205|74256|171285|320404,Adk|Aif1|Cd81|Cd83|Efnb2|Egr3|Ephb6|Il7|Myb|Chst2|Cxcl13|Pdcd1lg2|Cyld|Havcr2|Itpkb,-2.1,Geneid
GO Biological Processes,19,GO:0050870,positive regulation of T cell activation,19_GO:0022610 biological adhesion,-5.9,5.2,6.8,20580,223,229,13,5.7,1.5,11534|11629|12520|12522|13642|13655|13848|16196|17863|58205|74256|171285|320404,Adk|Aif1|Cd81|Cd83|Efnb2|Egr3|Ephb6|Il7|Myb|Pdcd1lg2|Cyld|Havcr2|Itpkb,-2.1,Geneid
GO Biological Processes,19,GO:0034330,cell junction organization,19_GO:0009987 cellular process,-4.6,3.1,5.2,20580,520,229,18,7.9,1.8,12260|12262|13642|16001|16400|19280|21809|21923|77057|77446|83453|93707|94190|104027|107065|195733|235431|237979,C1qb|C1qc|Efnb2|Igf1r|Itga3|Ptprs|Tgfb3|Tnc|Ston1|Heg1|Chrdl1|Pcdhgc4|Ophn1|Synpo|Lrrtm2|Grhl1|Coro2b|Sdk2,-1,Geneid
GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-4.5,3.2,5.1,20580,481,229,17,7.4,1.7,11534|11629|12520|12522|12977|13642|13655|13848|16196|16400|17863|54371|55985|58205|74256|171285|320404,Adk|Aif1|Cd81|Cd83|Csf1|Efnb2|Egr3|Ephb6|Il7|Itga3|Myb|Chst2|Cxcl13|Pdcd1lg2|Cyld|Havcr2|Itpkb,-1,Geneid
GO Biological Processes,19,GO:1903037,regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-4.5,3.7,5.3,20580,342,229,14,6.1,1.6,11534|11629|12520|12522|13642|13655|13848|16196|17863|54371|58205|74256|171285|320404,Adk|Aif1|Cd81|Cd83|Efnb2|Egr3|Ephb6|Il7|Myb|Chst2|Pdcd1lg2|Cyld|Havcr2|Itpkb,-1,Geneid
GO Biological Processes,19,GO:0050863,regulation of T cell activation,19_GO:0002376 immune system process,-4.4,3.6,5.2,20580,348,229,14,6.1,1.6,11534|11629|12520|12522|13642|13655|13848|16196|17863|58205|59009|74256|171285|320404,Adk|Aif1|Cd81|Cd83|Efnb2|Egr3|Ephb6|Il7|Myb|Pdcd1lg2|Sh3rf1|Cyld|Havcr2|Itpkb,-1,Geneid
GO Biological Processes,19,GO:0050808,synapse organization,19_GO:0009987 cellular process,-4.3,3.7,5.2,20580,312,229,13,5.7,1.5,12260|12262|13642|16001|16400|19280|21923|83453|93707|94190|104027|107065|237979,C1qb|C1qc|Efnb2|Igf1r|Itga3|Ptprs|Tnc|Chrdl1|Pcdhgc4|Ophn1|Synpo|Lrrtm2|Sdk2,-0.93,Geneid
GO Biological Processes,19,GO:0042832,defense response to protozoan,19_GO:0044419 biological process involved in interspecies interaction between organisms,-4.2,12,7.1,20580,38,229,5,2.2,0.97,15900|16364|27027|53314|60440,Irf8|Irf4|Tspan32|Batf|Iigp1,-0.9,Geneid
GO Biological Processes,19,GO:0046578,regulation of Ras protein signal transduction,19_GO:0023052 signaling,-4.1,4.5,5.3,20580,200,229,10,4.4,1.4,12977|16400|21858|59079|77446|94190|107746|108058|211673|320404,Csf1|Itga3|Timp2|Erbin|Heg1|Ophn1|Rapgef1|Camk2d|Arfgef1|Itpkb,-0.8,Geneid
GO Biological Processes,19,GO:0001562,response to protozoan,19_GO:0044419 biological process involved in interspecies interaction between organisms,-4,11,6.7,20580,42,229,5,2.2,0.97,15900|16364|27027|53314|60440,Irf8|Irf4|Tspan32|Batf|Iigp1,-0.78,Geneid
GO Biological Processes,19,GO:0002360,T cell lineage commitment,19_GO:0002376 immune system process,-3.6,13,6.6,20580,28,229,4,1.7,0.87,16196|16364|53314|74256,Il7|Irf4|Batf|Cyld,-0.52,Geneid
