Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0046578,regulation of Ras protein signal transduction,19_GO:0023052 signaling,-6.6,8.7,8.3,20580,200,118,10,8.5,2.6,12977|16400|21858|59079|77446|94190|107746|108058|211673|320404,Csf1|Itga3|Timp2|Erbin|Heg1|Ophn1|Rapgef1|Camk2d|Arfgef1|Itpkb,-3.9
Geneid,GO Biological Processes,19,GO:0051056,regulation of small GTPase mediated signal transduction,19_GO:0023052 signaling,-6,7.5,7.6,20580,233,118,10,8.5,2.6,12977|16400|21858|59079|77446|94190|107746|108058|211673|320404,Csf1|Itga3|Timp2|Erbin|Heg1|Ophn1|Rapgef1|Camk2d|Arfgef1|Itpkb,-3.5
Geneid,GO Biological Processes,19,GO:0010975,regulation of neuron projection development,19_GO:0032502 developmental process,-5.5,4.4,6.2,20580,551,118,14,12,3,13642|16001|16400|18508|18846|19280|26563|52163|71653|74498|76574|107746|109905|214968,Efnb2|Igf1r|Itga3|Pax6|Plxna3|Ptprs|Ror1|Camk1|Shtn1|Gorasp1|Mfsd2a|Rapgef1|Rap1a|Sema6d,-3
Geneid,GO Biological Processes,19,GO:0048638,regulation of developmental growth,19_GO:0040007 growth,-5.5,5.2,6.5,20580,402,118,12,10,2.8,12977|14173|16001|16196|18846|19280|21814|56449|71653|76574|110196|214968,Csf1|Fgf2|Igf1r|Il7|Plxna3|Ptprs|Tgfbr3|Ybx3|Shtn1|Mfsd2a|Fdps|Sema6d,-3
Geneid,GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-5.4,3.8,5.9,20580,730,118,16,14,3.2,11839|12262|12316|15903|15945|17385|17863|18508|18846|19280|21814|74498|106042|214968|234515|320404,Areg|C1qc|Aspm|Id3|Cxcl10|Mmp11|Myb|Pax6|Plxna3|Ptprs|Tgfbr3|Gorasp1|Prickle1|Sema6d|Inpp4b|Itpkb,-2.9
Geneid,GO Biological Processes,19,GO:0040008,regulation of growth,19_GO:0040007 growth,-5.4,3.8,5.9,20580,732,118,16,14,3.2,12442|12580|12977|14173|16001|16196|18846|19280|21814|21923|22393|56449|71653|76574|110196|214968,Ccnb2|Cdkn2c|Csf1|Fgf2|Igf1r|Il7|Plxna3|Ptprs|Tgfbr3|Tnc|Wfs1|Ybx3|Shtn1|Mfsd2a|Fdps|Sema6d,-2.9
Geneid,GO Biological Processes,19,GO:0120035,regulation of plasma membrane bounded cell projection organization,19_GO:0050789 regulation of biological process,-5.3,3.8,5.8,20580,743,118,16,14,3.2,13642|14569|16001|16400|18508|18846|19280|21809|26563|52163|71653|74498|76574|107746|109905|214968,Efnb2|Gdi2|Igf1r|Itga3|Pax6|Plxna3|Ptprs|Tgfb3|Ror1|Camk1|Shtn1|Gorasp1|Mfsd2a|Rapgef1|Rap1a|Sema6d,-2.8
Geneid,GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-5.2,4.2,6,20580,577,118,14,12,3,11629|12977|14173|15945|16001|16400|18508|22051|53416|55985|66313|71653|108058|214968,Aif1|Csf1|Fgf2|Cxcl10|Igf1r|Itga3|Pax6|Trip6|Stk39|Cxcl13|Smurf2|Shtn1|Camk2d|Sema6d,-2.8
Geneid,GO Biological Processes,19,GO:0031344,regulation of cell projection organization,19_GO:0050789 regulation of biological process,-5.2,3.7,5.7,20580,759,118,16,14,3.2,13642|14569|16001|16400|18508|18846|19280|21809|26563|52163|71653|74498|76574|107746|109905|214968,Efnb2|Gdi2|Igf1r|Itga3|Pax6|Plxna3|Ptprs|Tgfb3|Ror1|Camk1|Shtn1|Gorasp1|Mfsd2a|Rapgef1|Rap1a|Sema6d,-2.7
Geneid,GO Biological Processes,19,GO:0050920,regulation of chemotaxis,19_GO:0040011 locomotion,-5.1,6.8,6.7,20580,230,118,9,7.6,2.4,11629|12977|13642|14173|15945|18846|53416|55985|214968,Aif1|Csf1|Efnb2|Fgf2|Cxcl10|Plxna3|Stk39|Cxcl13|Sema6d,-2.7
Geneid,GO Biological Processes,19,GO:0007167,enzyme linked receptor protein signaling pathway,19_GO:0023052 signaling,-5.1,4.1,5.8,20580,593,118,14,12,3,11839|12977|13642|13848|14173|16001|18710|21809|21814|66313|77057|83453|107746|243659,Areg|Csf1|Efnb2|Ephb6|Fgf2|Igf1r|Pik3r3|Tgfb3|Tgfbr3|Smurf2|Ston1|Chrdl1|Rapgef1|Styk1,-2.7
Geneid,KEGG Pathway,24,mmu04014,Ras signaling pathway,,-5.1,6.8,6.7,20580,232,118,9,7.6,2.4,12315|12977|14173|16001|18710|19696|66066|109905|217944,Calm3|Csf1|Fgf2|Igf1r|Pik3r3|Rel|Gng11|Rap1a|Rapgef5,-2.7
Geneid,GO Biological Processes,19,GO:0034330,cell junction organization,19_GO:0009987 cellular process,-5,4.4,5.9,20580,520,118,13,11,2.9,12260|12262|13642|16001|16400|19280|21809|21923|77057|77446|83453|94190|107065,C1qb|C1qc|Efnb2|Igf1r|Itga3|Ptprs|Tgfb3|Tnc|Ston1|Heg1|Chrdl1|Ophn1|Lrrtm2,-2.6
Geneid,GO Biological Processes,19,GO:2000147,positive regulation of cell motility,19_GO:0040011 locomotion,-5,4,5.8,20580,604,118,14,12,3,11629|12977|14173|15945|16001|16400|18508|22051|53416|55985|66313|71653|108058|214968,Aif1|Csf1|Fgf2|Cxcl10|Igf1r|Itga3|Pax6|Trip6|Stk39|Cxcl13|Smurf2|Shtn1|Camk2d|Sema6d,-2.6
Geneid,GO Biological Processes,19,GO:0050808,synapse organization,19_GO:0009987 cellular process,-4.9,5.6,6.2,20580,312,118,10,8.5,2.6,12260|12262|13642|16001|16400|19280|21923|83453|94190|107065,C1qb|C1qc|Efnb2|Igf1r|Itga3|Ptprs|Tnc|Chrdl1|Ophn1|Lrrtm2,-2.5
Geneid,GO Biological Processes,19,GO:0051272,positive regulation of cellular component movement,19_GO:0051179 localization,-4.9,3.9,5.6,20580,621,118,14,12,3,11629|12977|14173|15945|16001|16400|18508|22051|53416|55985|66313|71653|108058|214968,Aif1|Csf1|Fgf2|Cxcl10|Igf1r|Itga3|Pax6|Trip6|Stk39|Cxcl13|Smurf2|Shtn1|Camk2d|Sema6d,-2.5
Geneid,GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-4.9,3.9,5.6,20580,622,118,14,12,3,11629|12977|14173|15945|16001|16400|18508|22051|53416|55985|66313|71653|108058|214968,Aif1|Csf1|Fgf2|Cxcl10|Igf1r|Itga3|Pax6|Trip6|Stk39|Cxcl13|Smurf2|Shtn1|Camk2d|Sema6d,-2.5
Geneid,GO Biological Processes,19,GO:0045927,positive regulation of growth,19_GO:0040007 growth,-4.8,5.4,6.1,20580,322,118,10,8.5,2.6,12977|14173|16001|16196|21814|22393|56449|71653|76574|110196,Csf1|Fgf2|Igf1r|Il7|Tgfbr3|Wfs1|Ybx3|Shtn1|Mfsd2a|Fdps,-2.4
Geneid,GO Biological Processes,19,GO:0048589,developmental growth,19_GO:0040007 growth,-4.7,4.4,5.7,20580,479,118,12,10,2.8,11839|12316|12977|14173|18846|21814|21923|76044|76260|77446|106522|108058,Areg|Aspm|Csf1|Fgf2|Plxna3|Tgfbr3|Tnc|Ncapg2|Ttc8|Heg1|Pkdcc|Camk2d,-2.3
