Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
107065,3.0,1,1,1
16364,3.0,1,1,1
19696,3.0,1,1,1
214968,3.0,1,1,1
69727,3.0,1,1,1
76260,3.0,1,1,1
59009,3.0,1,1,1
12262,3.0,1,1,1
93692,3.0,1,1,1
59079,3.0,1,1,1
76574,3.0,1,1,1
18846,3.0,1,1,1
66066,3.0,1,1,1
56449,3.0,1,1,1
77057,3.0,1,1,1
19280,3.0,1,1,1
53314,3.0,1,1,1
52163,3.0,1,1,1
21809,3.0,1,1,1
12977,3.0,1,1,1
12180,3.0,1,1,1
108058,3.0,1,1,1
11839,3.0,1,1,1
26909,3.0,1,1,1
27027,3.0,1,1,1
16196,3.0,1,1,1
16400,3.0,1,1,1
13642,3.0,1,1,1
18087,3.0,1,1,1
20741,3.0,1,1,1
12776,3.0,1,1,1
94190,3.0,1,1,1
14173,3.0,1,1,1
77446,3.0,1,1,1
12145,3.0,1,1,1
109905,3.0,1,1,1
107746,3.0,1,1,1
12315,3.0,1,1,1
11629,3.0,1,1,1
16467,3.0,1,1,1
110196,3.0,1,1,1
55985,3.0,1,1,1
106042,3.0,1,1,1
320404,3.0,1,1,1
17863,3.0,1,1,1
15900,3.0,1,1,1
16001,3.0,1,1,1
236915,3.0,1,1,1
18710,3.0,1,1,1
21858,3.0,1,1,1
12260,3.0,1,1,1
18508,3.0,1,1,1
15903,3.0,1,1,1
21814,3.0,1,1,1
15945,3.0,1,1,1
14229,3.0,1,1,1
53416,3.0,1,1,1
66213,2.0,1,0,1
106522,2.0,1,0,1
12522,2.0,1,1,0
14069,2.0,1,0,1
99543,2.0,1,0,1
65254,2.0,1,0,1
13655,2.0,1,1,0
57780,2.0,1,1,0
15199,2.0,1,1,0
11768,2.0,1,0,1
12520,2.0,1,1,0
70377,2.0,1,0,1
20540,2.0,1,1,0
12615,2.0,1,0,1
23947,2.0,1,0,1
237979,2.0,1,1,0
20168,2.0,1,0,1
58205,2.0,1,1,0
237926,2.0,1,1,0
18390,2.0,1,0,1
171285,2.0,1,1,0
76044,2.0,1,0,1
16803,2.0,1,1,0
15248,2.0,1,0,1
230259,2.0,1,0,1
17076,2.0,1,0,1
64931,2.0,1,0,1
13821,2.0,1,0,1
21353,2.0,1,0,1
21923,2.0,1,0,1
12514,2.0,1,0,1
11981,2.0,1,1,0
380797,2.0,1,1,0
18423,2.0,1,1,0
22784,2.0,1,0,1
319520,2.0,1,1,0
112407,2.0,1,1,0
12316,2.0,1,0,1
17952,2.0,1,0,1
269582,2.0,1,0,1
21781,2.0,1,0,1
13848,2.0,1,0,1
12442,2.0,1,0,1
243659,2.0,1,0,1
226757,2.0,1,0,1
330166,2.0,1,1,0
12419,2.0,1,0,1
26563,2.0,1,0,1
11534,2.0,1,0,1
13196,2.0,1,0,1
12580,2.0,1,0,1
22393,2.0,1,0,1
217944,2.0,1,0,1
74498,2.0,1,0,1
108800,2.0,1,0,1
211673,2.0,1,0,1
16970,2.0,1,0,1
17385,2.0,1,0,1
234515,2.0,1,0,1
17937,2.0,1,1,0
18227,2.0,1,1,0
212285,2.0,1,0,1
77864,2.0,1,0,1
22051,2.0,1,0,1
