Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0007179,transforming growth factor beta receptor signaling pathway,19_GO:0023052 signaling,-5.1,9.6,7.4,20580,87,172,7,4.1,1.5,11482|14083|17127|22793|68010|224109|278507,Acvrl1|Ptk2|Smad3|Zyx|Bambi|Nrros|Wfikkn2,-0.95,Geneid
GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-4.9,3.1,5.3,20580,730,172,19,11,2.4,11482|12579|14083|15902|17127|18479|18514|18708|19055|20351|21416|22695|26365|50794|68010|223435|228775|252973|329278,Acvrl1|Cdkn2b|Ptk2|Id2|Smad3|Pak1|Pbx1|Pik3r1|Ppp3ca|Sema4a|Tcf7l2|Zfp36|Ceacam1|Klf13|Bambi|Trio|Trib3|Grhl2|Tnn,-0.95,Geneid
Reactome Gene Sets,6,R-MMU-4086398,Ca2+ pathway,,-4.6,14,7.9,20580,42,172,5,2.9,1.3,12322|16842|18587|19055|21416,Camk2a|Lef1|Pde6b|Ppp3ca|Tcf7l2,-0.8,Geneid
GO Biological Processes,19,GO:0003013,circulatory system process,19_GO:0032501 multicellular organismal process,-4.4,3.6,5.2,20580,466,172,14,8.1,2.1,11482|11555|14083|14247|15902|16598|17127|17888|18708|26365|27360|29856|50490|69219,Acvrl1|Adrb2|Ptk2|Fli1|Id2|Klf2|Smad3|Myh6|Pik3r1|Ceacam1|Add3|Smtn|Nox4|Ddah1,-0.76,Geneid
Reactome Gene Sets,6,R-MMU-4641265,Repression of WNT target genes,,-4.2,36,10,20580,10,172,3,1.7,1,16842|21416|21885,Lef1|Tcf7l2|Tle1,-0.76,Geneid
WikiPathways,27,WP512,Id signaling pathway,,-4.2,12,7,20580,51,172,5,2.9,1.3,11482|11910|15902|17127|21416,Acvrl1|Atf3|Id2|Smad3|Tcf7l2,-0.76,Geneid
GO Biological Processes,19,GO:0008015,blood circulation,19_GO:0032501 multicellular organismal process,-4.1,3.6,5,20580,434,172,13,7.6,2,11482|11555|14083|14247|15902|16598|17127|17888|18708|26365|27360|29856|69219,Acvrl1|Adrb2|Ptk2|Fli1|Id2|Klf2|Smad3|Myh6|Pik3r1|Ceacam1|Add3|Smtn|Ddah1,-0.76,Geneid
KEGG Pathway,24,mmu04310,Wnt signaling pathway,,-4,5.7,5.6,20580,169,172,8,4.7,1.6,12322|16842|17127|18752|19055|21416|21885|68010,Camk2a|Lef1|Smad3|Prkcg|Ppp3ca|Tcf7l2|Tle1|Bambi,-0.76,Geneid
GO Biological Processes,19,GO:0071560,cellular response to transforming growth factor beta stimulus,19_GO:0050896 response to stimulus,-4,6.5,5.8,20580,128,172,7,4.1,1.5,11482|14083|17127|22793|68010|224109|278507,Acvrl1|Ptk2|Smad3|Zyx|Bambi|Nrros|Wfikkn2,-0.76,Geneid
GO Biological Processes,19,GO:1901861,regulation of muscle tissue development,19_GO:0032502 developmental process,-3.9,10,6.6,20580,57,172,5,2.9,1.3,11555|16842|17127|21416|329278,Adrb2|Lef1|Smad3|Tcf7l2|Tnn,-0.76,Geneid
