_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.4,GO:0007167,enzyme linked receptor protein signaling pathway,M1,1,0
1,-3.5,GO:1901342,regulation of vasculature development,M1,1,0
1,-2.1,GO:0072132,mesenchyme morphogenesis,M1,1,0
1,-3,GO:0043392,negative regulation of DNA binding,M1,1,0
1,-2,R-MMU-380108,Chemokine receptors bind chemokines,M1,1,0
1,-2.2,WP1261,ErbB signaling pathway,M1,1,0
1,-5.1,GO:0007179,transforming growth factor beta receptor signaling pathway,M1,1,0
1,-3.8,WP85,Focal adhesion,M1,1,0
1,-2.6,GO:0110020,regulation of actomyosin structure organization,M1,1,0
1,-3.2,GO:0001775,cell activation,M1,1,0
1,-2.5,GO:0051100,negative regulation of binding,M1,1,0
1,-3.1,GO:0044042,glucan metabolic process,M1,1,0
1,-2.9,GO:0033555,multicellular organismal response to stress,M1,1,0
1,-2.1,GO:0009409,response to cold,M1,1,0
1,-3.3,GO:0051965,positive regulation of synapse assembly,M1,1,0
1,-2.9,GO:0048634,regulation of muscle organ development,M1,1,0
1,-4.6,R-MMU-4086398,Ca2+ pathway,M1,1,0
1,-2.3,GO:0030835,negative regulation of actin filament depolymerization,M1,1,0
1,-2,mmu04916,Melanogenesis,M1,1,0
1,-2.2,GO:0090257,regulation of muscle system process,M1,1,0
1,-3.1,GO:0006073,cellular glucan metabolic process,M1,1,0
1,-2.4,GO:0050873,brown fat cell differentiation,M1,1,0
1,-3.3,mmu04650,Natural killer cell mediated cytotoxicity,M1,1,0
1,-2.8,GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,M1,1,0
1,-2.1,mmu05205,Proteoglycans in cancer,M1,1,0
1,-2.6,GO:0032231,regulation of actin filament bundle assembly,M1,1,0
1,-2.2,GO:0045638,negative regulation of myeloid cell differentiation,M1,1,0
1,-3.4,mmu05100,Bacterial invasion of epithelial cells,M1,1,0
1,-2.1,GO:0045646,regulation of erythrocyte differentiation,M1,1,0
1,-2.4,GO:0045766,positive regulation of angiogenesis,M1,1,0
1,-2.8,GO:0045599,negative regulation of fat cell differentiation,M1,1,0
1,-2.2,GO:0032870,cellular response to hormone stimulus,M1,1,0
1,-2,GO:0030335,positive regulation of cell migration,M1,1,0
1,-2.8,GO:0006112,energy reserve metabolic process,M1,1,0
1,-2.1,GO:0044057,regulation of system process,M1,1,0
1,-2.3,WP265,Delta-Notch signaling pathway,M1,1,0
1,-4,mmu04310,Wnt signaling pathway,M1,1,0
1,-2.4,mmu05216,Thyroid cancer,M1,1,0
1,-2.5,GO:0010611,regulation of cardiac muscle hypertrophy,M1,1,0
1,-2.2,GO:0046777,protein autophosphorylation,M1,1,0
1,-2.3,GO:0097722,sperm motility,M1,1,0
1,-4.9,GO:0045596,negative regulation of cell differentiation,M1,1,0
1,-3,GO:0050773,regulation of dendrite development,M1,1,0
1,-2.3,GO:0015800,acidic amino acid transport,M1,1,0
1,-2.2,mmu05210,Colorectal cancer,M1,1,0
1,-3.3,GO:0017015,regulation of transforming growth factor beta receptor signaling pathway,M1,1,0
1,-2.1,mmu04350,TGF-beta signaling pathway,M1,1,0
1,-3.1,GO:1901653,cellular response to peptide,M1,1,0
1,-2.2,GO:0060294,cilium movement involved in cell motility,M1,1,0
1,-4.2,WP512,Id signaling pathway,M1,1,0
1,-2.5,R-MMU-74752,Signaling by Insulin receptor,M1,1,0
1,-3.2,GO:1903844,regulation of cellular response to transforming growth factor beta stimulus,M1,1,0
1,-2.1,GO:0030855,epithelial cell differentiation,M1,1,0
1,-2.1,GO:0045429,positive regulation of nitric oxide biosynthetic process,M1,1,0
1,-2.3,GO:0008285,negative regulation of cell population proliferation,M1,1,0
1,-4.2,R-MMU-4641265,Repression of WNT target genes,M1,1,0
1,-2.4,GO:1904018,positive regulation of vasculature development,M1,1,0
1,-2.3,GO:0010762,regulation of fibroblast migration,M1,1,0
1,-2,GO:0071900,regulation of protein serine/threonine kinase activity,M1,1,0
1,-2.8,GO:0051492,regulation of stress fiber assembly,M1,1,0
1,-2.7,GO:0007288,sperm axoneme assembly,M1,1,0
1,-2.4,GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,M1,1,0
1,-2.3,GO:0030317,flagellated sperm motility,M1,1,0
1,-3.1,GO:0005977,glycogen metabolic process,M1,1,0
1,-2.6,R-MMU-389356,CD28 co-stimulation,M1,1,0
1,-3.3,GO:0008217,regulation of blood pressure,M1,1,0
1,-2.6,GO:0045637,regulation of myeloid cell differentiation,M1,1,0
1,-2.1,GO:0022604,regulation of cell morphogenesis,M1,1,0
1,-2,WP113,TGF-beta signaling pathway,M1,1,0
1,-3.3,GO:0035239,tube morphogenesis,M1,1,0
1,-3.3,R-MMU-3858494,Beta-catenin independent WNT signaling,M1,1,0
1,-2.2,GO:0045926,negative regulation of growth,M1,1,0
1,-2,GO:0003007,heart morphogenesis,M1,1,0
1,-2.8,GO:0014066,regulation of phosphatidylinositol 3-kinase signaling,M1,1,0
1,-3.2,GO:1901890,positive regulation of cell junction assembly,M1,1,0
1,-2,mmu04921,Oxytocin signaling pathway,M1,1,0
1,-3.3,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,M1,1,0
1,-2.5,GO:0120316,sperm flagellum assembly,M1,1,0
1,-2.5,GO:0051693,actin filament capping,M1,1,0
1,-2.8,mmu04933,AGE-RAGE signaling pathway in diabetic complications,M1,1,0
1,-2.4,GO:0002287,alpha-beta T cell activation involved in immune response,M1,1,0
1,-2.1,GO:0035082,axoneme assembly,M1,1,0
1,-2.5,GO:0002294,"CD4-positive, alpha-beta T cell differentiation involved in immune response",M1,1,0
1,-3.5,GO:1903670,regulation of sprouting angiogenesis,M1,1,0
1,-3.2,mmu05200,Pathways in cancer,M1,1,0
1,-2,R-MMU-372790,Signaling by GPCR,M1,1,0
1,-3.1,GO:0048660,regulation of smooth muscle cell proliferation,M1,1,0
1,-2.7,GO:0050678,regulation of epithelial cell proliferation,M1,1,0
1,-3,GO:0001678,cellular glucose homeostasis,M1,1,0
1,-2.3,GO:0000904,cell morphogenesis involved in differentiation,M1,1,0
1,-2.3,GO:0048265,response to pain,M1,1,0
1,-2.7,R-MMU-3769402,Deactivation of the beta-catenin transactivating complex,M1,1,0
1,-2.2,GO:0046621,negative regulation of organ growth,M1,1,0
1,-2.9,mmu04062,Chemokine signaling pathway,M1,1,0
1,-2.2,GO:0030155,regulation of cell adhesion,M1,1,0
1,-2.3,GO:0034110,regulation of homotypic cell-cell adhesion,M1,1,0
1,-3,GO:0071375,cellular response to peptide hormone stimulus,M1,1,0
1,-2.3,GO:0050767,regulation of neurogenesis,M1,1,0
1,-3.1,GO:0000902,cell morphogenesis,M1,1,0
1,-2.1,R-MMU-1660499,Synthesis of PIPs at the plasma membrane,M1,1,0
1,-2.2,GO:0048534,hematopoietic or lymphoid organ development,M1,1,0
1,-2.7,GO:0048661,positive regulation of smooth muscle cell proliferation,M1,1,0
1,-2.6,GO:0150116,regulation of cell-substrate junction organization,M1,1,0
1,-2.5,GO:0042093,T-helper cell differentiation,M1,1,0
1,-2.3,GO:0045321,leukocyte activation,M1,1,0
1,-2.2,GO:0002761,regulation of myeloid leukocyte differentiation,M1,1,0
1,-2.6,GO:0110053,regulation of actin filament organization,M1,1,0
1,-2.6,GO:0045668,negative regulation of osteoblast differentiation,M1,1,0
1,-2.2,GO:0007423,sensory organ development,M1,1,0
1,-3,GO:0090287,regulation of cellular response to growth factor stimulus,M1,1,0
1,-2.2,GO:0032869,cellular response to insulin stimulus,M1,1,0
1,-2.7,mmu05146,Amoebiasis,M1,1,0
