_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-5.075986770388483,GO:0023052,signaling,M1,1,GO:0007179 transforming growth factor beta receptor signaling pathway
1,-4.91963187700123,GO:0048519,negative regulation of biological process,M1,1,GO:0045596 negative regulation of cell differentiation
1,-4.408818769221079,GO:0032501,multicellular organismal process,M1,1,GO:0003013 circulatory system process
1,-3.991523258426347,GO:0050896,response to stimulus,M1,1,GO:0071560 cellular response to transforming growth factor beta stimulus
1,-3.945581916246574,GO:0032502,developmental process,M1,1,GO:1901861 regulation of muscle tissue development
1,-3.922991139620258,GO:0008152,metabolic process,M1,1,GO:0043471 regulation of cellular carbohydrate catabolic process
1,-3.8117220909086953,GO:0002376,immune system process,M1,1,GO:0045063 T-helper 1 cell differentiation
1,-3.267522812440814,GO:0050789,regulation of biological process,M1,1,GO:1901888 regulation of cell junction assembly
1,-3.2089216093551407,GO:0048518,positive regulation of biological process,M1,1,GO:1901890 positive regulation of cell junction assembly
1,-3.1786755278222913,GO:0009987,cellular process,M1,1,GO:0001775 cell activation
1,-3.0426426539476163,GO:0065007,biological regulation,M1,1,GO:0001678 cellular glucose homeostasis
1,-2.8404985862770573,GO:0040011,locomotion,M1,1,GO:0060285 cilium-dependent cell motility
1,-2.463405032453185,GO:0051179,localization,M1,1,GO:0046824 positive regulation of nucleocytoplasmic transport
1,-2.351176123025655,GO:0040007,growth,M1,1,GO:0048640 negative regulation of developmental growth
1,-2.345144825685639,GO:0022610,biological adhesion,M1,1,GO:0034110 regulation of homotypic cell-cell adhesion
