_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-5.075986770388483,GO:0007179,M1,1,0,GO Biological Processes,19,transforming growth factor beta receptor signaling pathway,19_GO:0023052 signaling,-5.075986770388483,9.627105052125101,7.402835125822896,20580,87,172,7,4.069767441860465,1.5066012442056365,11482|14083|17127|22793|68010|224109|278507,Acvrl1|Ptk2|Smad3|Zyx|Bambi|Nrros|Wfikkn2,-0.9532319918512059,0,1,1,1,-5.075986770388483,9.627105052125101,
1,-3.991523258426347,GO:0071560,M1,1,0,GO Biological Processes,19,cellular response to transforming growth factor beta stimulus,19_GO:0050896 response to stimulus,-3.991523258426347,6.54342296511628,5.775522016131434,20580,128,172,7,4.069767441860465,1.5066012442056365,11482|14083|17127|22793|68010|224109|278507,Acvrl1|Ptk2|Smad3|Zyx|Bambi|Nrros|Wfikkn2,-0.7630525086600328,0,1,0,0,-5.075986770388483,9.627105052125101,
1,-3.887403333390361,GO:0071559,M1,1,0,GO Biological Processes,19,response to transforming growth factor beta,19_GO:0050896 response to stimulus,-3.887403333390361,6.297429620563037,5.62668175022242,20580,133,172,7,4.069767441860465,1.5066012442056365,11482|14083|17127|22793|68010|224109|278507,Acvrl1|Ptk2|Smad3|Zyx|Bambi|Nrros|Wfikkn2,-0.7630525086600328,0,1,0,0,-5.075986770388483,9.627105052125101,
1,-3.2651624016049454,GO:0017015,M1,1,0,GO Biological Processes,19,regulation of transforming growth factor beta receptor signaling pathway,19_GO:0023052 signaling,-3.2651624016049454,5.93311551028253,4.996293045378816,20580,121,172,6,3.488372093023256,1.3990621224029642,12579|17127|68010|76905|224109|278507,Cdkn2b|Smad3|Bambi|Lrg1|Nrros|Wfikkn2,-0.5177050161711501,0,1,0,0,-5.075986770388483,9.627105052125101,
1,-3.2545595636239826,GO:0007178,M1,1,0,GO Biological Processes,19,transmembrane receptor protein serine/threonine kinase signaling pathway,19_GO:0023052 signaling,-3.2545595636239826,4.33126381142797,4.570914279685148,20580,221,172,8,4.651162790697675,1.6057363806710139,11482|14083|16842|17127|22793|68010|224109|278507,Acvrl1|Ptk2|Lef1|Smad3|Zyx|Bambi|Nrros|Wfikkn2,-0.5177050161711501,0,1,0,0,-5.075986770388483,9.627105052125101,
1,-3.2089216093551407,GO:1903844,M1,1,0,GO Biological Processes,19,regulation of cellular response to transforming growth factor beta stimulus,19_GO:0050896 response to stimulus,-3.2089216093551407,5.7895723930982745,4.911038753409358,20580,124,172,6,3.488372093023256,1.3990621224029642,12579|17127|68010|76905|224109|278507,Cdkn2b|Smad3|Bambi|Lrg1|Nrros|Wfikkn2,-0.49967120243495156,0,1,0,0,-5.075986770388483,9.627105052125101,
1,-3.010684233092017,GO:0090287,M1,1,0,GO Biological Processes,19,regulation of cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-3.010684233092017,3.58953488372093,4.147864417723104,20580,300,172,9,5.232558139534884,1.6979401838251296,11482|12579|17127|17999|21416|68010|76905|224109|278507,Acvrl1|Cdkn2b|Smad3|Nedd4|Tcf7l2|Bambi|Lrg1|Nrros|Wfikkn2,-0.4796720031791027,0,1,0,0,-5.075986770388483,9.627105052125101,
1,-2.8426725813793285,GO:0090092,M1,1,0,GO Biological Processes,19,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,19_GO:0023052 signaling,-2.8426725813793285,3.739098837209302,4.048547390722695,20580,256,172,8,4.651162790697675,1.6057363806710139,11482|12579|17127|21416|68010|76905|224109|278507,Acvrl1|Cdkn2b|Smad3|Tcf7l2|Bambi|Lrg1|Nrros|Wfikkn2,-0.4191909772179314,0,1,0,0,-5.075986770388483,9.627105052125101,
1,-2.37026144648683,GO:0007167,M1,1,0,GO Biological Processes,19,enzyme linked receptor protein signaling pathway,19_GO:0023052 signaling,-2.37026144648683,2.421271422408722,3.224086598861462,20580,593,172,12,6.976744186046512,1.9424862083361787,11482|12826|14083|16842|17127|18479|18708|22793|29815|68010|224109|278507,Acvrl1|Col4a1|Ptk2|Lef1|Smad3|Pak1|Pik3r1|Zyx|Bcar3|Bambi|Nrros|Wfikkn2,-0.19273667711222278,0,1,0,0,-5.075986770388483,9.627105052125101,
1,-4.91963187700123,GO:0045596,M1,1,0,GO Biological Processes,19,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-4.91963187700123,3.1142083466071995,5.339555337666399,20580,730,172,19,11.046511627906977,2.3901758031639244,11482|12579|14083|15902|17127|18479|18514|18708|19055|20351|21416|22695|26365|50794|68010|223435|228775|252973|329278,Acvrl1|Cdkn2b|Ptk2|Id2|Smad3|Pak1|Pbx1|Pik3r1|Ppp3ca|Sema4a|Tcf7l2|Zfp36|Ceacam1|Klf13|Bambi|Trio|Trib3|Grhl2|Tnn,-0.9532319918512059,0,2,1,1,-4.91963187700123,11.730506155950751,
1,-4.179054801668635,WP512,M1,1,0,WikiPathways,27,Id signaling pathway,,-4.179054801668635,11.730506155950751,7.043646193355227,20580,51,172,5,2.9069767441860463,1.2810042404740876,11482|11910|15902|17127|21416,Acvrl1|Atf3|Id2|Smad3|Tcf7l2,-0.7630525086600328,0,2,0,0,-4.91963187700123,11.730506155950751,
1,-2.824173149833037,GO:0045599,M1,1,0,GO Biological Processes,19,negative regulation of fat cell differentiation,19_GO:0048519 negative regulation of biological process,-2.824173149833037,8.1119432400473,5.022167135811341,20580,59,172,4,2.3255813953488373,1.1491903386087494,17127|21416|223435|228775,Smad3|Tcf7l2|Trio|Trib3,-0.41407576545030056,0,2,0,0,-4.91963187700123,11.730506155950751,
1,-2.7954665896655873,GO:0045598,M1,1,0,GO Biological Processes,19,regulation of fat cell differentiation,19_GO:0032502 developmental process,-2.7954665896655873,4.818167629155611,4.294172119284574,20580,149,172,6,3.488372093023256,1.3990621224029642,15902|17127|21416|22695|223435|228775,Id2|Smad3|Tcf7l2|Zfp36|Trio|Trib3,-0.40309797224328225,0,2,0,0,-4.91963187700123,11.730506155950751,
1,-2.5735809258336033,GO:0045668,M1,1,0,GO Biological Processes,19,negative regulation of osteoblast differentiation,19_GO:0048519 negative regulation of biological process,-2.5735809258336033,6.936299292214358,4.534433645835811,20580,69,172,4,2.3255813953488373,1.1491903386087494,15902|17127|68010|329278,Id2|Smad3|Bambi|Tnn,-0.3061510450195982,0,2,0,0,-4.91963187700123,11.730506155950751,
1,-2.0799895349305055,mmu04350,M1,1,0,KEGG Pathway,24,TGF-beta signaling pathway,,-2.0799895349305055,5.037943696450428,3.6214309737534864,20580,95,172,4,2.3255813953488373,1.1491903386087494,12579|15902|17127|68010,Cdkn2b|Id2|Smad3|Bambi,-0.061889757157591395,0,2,0,0,-4.91963187700123,11.730506155950751,
1,-2.04520198866169,GO:0003007,M1,1,0,GO Biological Processes,19,heart morphogenesis,19_GO:0032502 developmental process,-2.04520198866169,3.012799063075122,3.101912494206643,20580,278,172,7,4.069767441860465,1.5066012442056365,11482|13609|15902|17127|17888|17999|252973,Acvrl1|S1pr1|Id2|Smad3|Myh6|Nedd4|Grhl2,-0.04494383625069866,0,2,0,0,-4.91963187700123,11.730506155950751,
1,-4.593835093574746,R-MMU-4086398,M1,1,0,Reactome Gene Sets,6,Ca2+ pathway,,-4.593835093574746,14.244186046511626,7.887638125185517,20580,42,172,5,2.9069767441860463,1.2810042404740876,12322|16842|18587|19055|21416,Camk2a|Lef1|Pde6b|Ppp3ca|Tcf7l2,-0.803526467480403,0,3,1,1,-4.593835093574746,35.895348837209305,
1,-4.180880904005249,R-MMU-4641265,M1,1,0,Reactome Gene Sets,6,Repression of WNT target genes,,-4.180880904005249,35.895348837209305,10.132731449281646,20580,10,172,3,1.744186046511628,0.9981856205435852,16842|21416|21885,Lef1|Tcf7l2|Tle1,-0.7630525086600328,0,3,0,0,-4.593835093574746,35.895348837209305,
1,-4.04512331601874,mmu04310,M1,1,0,KEGG Pathway,24,Wnt signaling pathway,,-4.04512331601874,5.6639603687904225,5.589104073730111,20580,169,172,8,4.651162790697675,1.6057363806710139,12322|16842|17127|18752|19055|21416|21885|68010,Camk2a|Lef1|Smad3|Prkcg|Ppp3ca|Tcf7l2|Tle1|Bambi,-0.7630525086600328,0,3,0,0,-4.593835093574746,35.895348837209305,
1,-3.945581916246574,GO:1901861,M1,1,0,GO Biological Processes,19,regulation of muscle tissue development,19_GO:0032502 developmental process,-3.945581916246574,10.495716034271725,6.590537844996638,20580,57,172,5,2.9069767441860463,1.2810042404740876,11555|16842|17127|21416|329278,Adrb2|Lef1|Smad3|Tcf7l2|Tnn,-0.7630525086600328,0,3,0,0,-4.593835093574746,35.895348837209305,
1,-3.9093525422242945,mmu05213,M1,1,0,KEGG Pathway,24,Endometrial cancer,,-3.9093525422242945,10.314755412991177,6.521563766117658,20580,58,172,5,2.9069767441860463,1.2810042404740876,12550|16842|18708|21416|216033,Cdh1|Lef1|Pik3r1|Tcf7l2|Ctnna3,-0.7630525086600328,0,3,0,0,-4.593835093574746,35.895348837209305,
