Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-7.3,5.2,7.6,20580,730,86,16,19,4.2,11482|12579|14083|15902|17127|18479|18514|18708|19055|20351|21416|22695|26365|223435|228775|329278,Acvrl1|Cdkn2b|Ptk2|Id2|Smad3|Pak1|Pbx1|Pik3r1|Ppp3ca|Sema4a|Tcf7l2|Zfp36|Ceacam1|Trio|Trib3|Tnn,-3.5
Geneid,GO Biological Processes,19,GO:0006468,protein phosphorylation,19_GO:0008152 metabolic process,-6,4.8,6.7,20580,692,86,14,16,4,11482|12322|13631|14083|18479|18679|18708|18752|67071|75292|101320|223435|228775|545156,Acvrl1|Camk2a|Eef2k|Ptk2|Pak1|Phka1|Pik3r1|Prkcg|Rps6ka6|Prkd3|Dyrk4|Trio|Trib3|Kalrn,-2.9
Geneid,WikiPathways,27,WP85,Focal adhesion,,-6,10,8.3,20580,185,86,8,9.3,3.1,12826|14083|14268|18479|18708|22793|320207|329278,Col4a1|Ptk2|Fn1|Pak1|Pik3r1|Zyx|Pik3r5|Tnn,-2.9
Geneid,KEGG Pathway,24,mmu04510,Focal adhesion,,-5.7,9.5,7.9,20580,201,86,8,9.3,3.1,12826|14083|14268|18479|18708|18752|22793|329278,Col4a1|Ptk2|Fn1|Pak1|Pik3r1|Prkcg|Zyx|Tnn,-2.8
Geneid,GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-5.7,4.5,6.3,20580,740,86,14,16,4,11482|12550|12826|13609|14083|14268|15902|16842|17127|17999|18479|18514|20351|21416,Acvrl1|Cdh1|Col4a1|S1pr1|Ptk2|Fn1|Id2|Lef1|Smad3|Nedd4|Pak1|Pbx1|Sema4a|Tcf7l2,-2.8
Geneid,WikiPathways,27,WP512,Id signaling pathway,,-5.6,23,10,20580,51,86,5,5.8,2.5,11482|11910|15902|17127|21416,Acvrl1|Atf3|Id2|Smad3|Tcf7l2,-2.8
Geneid,KEGG Pathway,24,mmu05200,Pathways in cancer,,-5.6,5.3,6.6,20580,543,86,12,14,3.7,12322|12550|12579|12826|14083|14268|16842|17127|18708|18752|21416|216033,Camk2a|Cdh1|Cdkn2b|Col4a1|Ptk2|Fn1|Lef1|Smad3|Pik3r1|Prkcg|Tcf7l2|Ctnna3,-2.8
Geneid,KEGG Pathway,24,mmu05226,Gastric cancer,,-5.5,11,8.1,20580,150,86,7,8.1,2.9,12550|12579|16842|17127|18708|21416|216033,Cdh1|Cdkn2b|Lef1|Smad3|Pik3r1|Tcf7l2|Ctnna3,-2.7
Geneid,GO Biological Processes,19,GO:1901861,regulation of muscle tissue development,19_GO:0032502 developmental process,-5.4,21,9.8,20580,57,86,5,5.8,2.5,11555|16842|17127|21416|329278,Adrb2|Lef1|Smad3|Tcf7l2|Tnn,-2.6
Geneid,GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-5.4,4.3,6.1,20580,783,86,14,16,4,11482|11555|12550|13609|14083|14268|16842|17127|18708|19055|20304|26365|320832|329278,Acvrl1|Adrb2|Cdh1|S1pr1|Ptk2|Fn1|Lef1|Smad3|Pik3r1|Ppp3ca|Ccl5|Ceacam1|Sirpb1a|Tnn,-2.6
Geneid,KEGG Pathway,24,mmu04390,Hippo signaling pathway,,-5.4,11,7.9,20580,157,86,7,8.1,2.9,12550|15902|16842|17127|21416|22630|216033,Cdh1|Id2|Lef1|Smad3|Tcf7l2|Ywhaq|Ctnna3,-2.6
Geneid,KEGG Pathway,24,mmu05213,Endometrial cancer,,-5.4,21,9.7,20580,58,86,5,5.8,2.5,12550|16842|18708|21416|216033,Cdh1|Lef1|Pik3r1|Tcf7l2|Ctnna3,-2.6
